╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
╞Q╤L░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╞Q╤L░╧дC╜хдT╕Ї1~30╕╣,17.46,жэ,,,1010710,дgжa1л╪кл1иожь1,дT╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0960103,168.87,4,2,2,ж│,ж│,9000000,53294,йY╣Dенн▒,0.0,0,,RPPNMLQJQHHFFAE67CA
╖s┐│░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╖s┐│░╧▓yоx╕Ї61~90╕╣,8.92,░╙,,,1010808,дgжa1л╪кл1иожь1,дE╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1010509,96.69,0,0,0,╡L,ж│,6180000,65236,йY╣D╛ў▒ё,16.98,980000,,RPPPMLLMQHHFFBE77CA
╖s┐│░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╖s┐│░╧▓yоx╕Ї61~90╕╣,8.9,░╙,,,1010808,дgжa1л╪кл1иожь1,дQ╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1010509,96.35,0,0,0,╡L,ж│,6580000,70556,йY╣D╛ў▒ё,16.98,980000,,RPQPMLLMQHHFFBE87CA
╖s┐│░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╖s┐│░╧▓yоx╕Ї61~90╕╣,8.92,░╙,,,1010808,дgжa1л╪кл1иожь1,дC╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1010509,96.69,0,0,0,╡L,ж│,5980000,62727,йY╣D╛ў▒ё,16.98,980000,,RPWOMLLMQHHFFBE38CA
дTе┴░╧,й╨жa(дgжa+л╪кл),░к╢пелдTе┴░╧└│к@╕Ї31~60╕╣,62.63,жэ,,,1010706,дgжa1л╪кл1иожь0,е■,дн╝h,│zд╤нэ,,┐√╡м▓V╛одg│y,0680612,277.0,8,6,5,ж│,╡L,8150000,29422,,0.0,0,,RPRNMLPKQHHFFDE18CA
╗ёдs░╧,й╨жa(дgжa+л╪кл),░к╢пел╗ёдs░╧╗ёдs░╧е|о№╡є61~90╕╣,23.97,жэ,,,1010726,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0700415,47.77,2,1,1,ж│,ж│,1300000,27214,,0.0,0,,RPPNMLQJQHHFFBS56CA
дjк└░╧,дgжa,ж`╞[мq991~1020жa╕╣,1274.75,╣A,д@пы╣A╖~░╧,╣Aкке╬жa,1010710,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8030925,6300,,0.0,0,,RPTNMLKLQHHFFDS86DA
дj╝d░╧,дgжa,дsдl│╗мq2851~2880жa╕╣,2049.0,╣A,,,1010716,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,19772850,9650,,0.0,0,,RPPNMLQJQHHFFGS17DA
кL╢щ░╧,й╨жa(дgжa+л╪кл),░к╢пелкL╢щ░╧╝s└│и╜30╛F│╗▄р╖╛119л╤57з╦1~30╕╣,100.0,жэ,,,1010709,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0801001,133.15,4,2,3,ж│,╡L,3150000,23658,,0.0,0,,RPRNMLNLQHHFFGS27DA
дjк└░╧,дgжa,╞[н╡дsмq211~240жa╕╣,557.06,╣A,,,1010719,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5000000,8976,,0.0,0,,RPQNMLSLQHHFFDS37DA
дпкZ░╧,дgжa,пє╝цмq1111~1140жa╕╣,73.36,жэ,,,1010713,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1541000,21005,,0.0,0,,RPPNMLSJQHHFFDS07DA
дпкZ░╧,й╨жa(дgжa+л╪кл),░к╢пелдпкZ░╧ж╦лсз°ел│їл╤1~30╕╣,60.0,жэ,,,1010726,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0660320,68.86,2,1,2,ж│,╡L,1100000,15974,,0.0,0,,RPTNMLNKQHHFFDS07DA
дjк└░╧,й╨жa(дgжa+л╪кл),░к╢пелдjк└░╧╗Aл╠╕Ї61~90╕╣,19.29,жэ,,,1010715,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0780620,65.34,3,2,2,ж│,╡L,1650000,25253,,0.0,0,,RPQNMLQJQHHFFDS96DA
дпкZ░╧,й╨жa(дgжa+л╪кл),░к╢пелдпкZ░╧е├╖sд╗╡є1~30╕╣,35.2,жэ,,,1010713,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0950112,65.21,4,2,2,ж│,╡L,2700000,41405,,0.0,0,,RPRNMLQJQHHFFDS07DA
╕Їж╦░╧,дgжa,дд╡╪мq1111~1140жa╕╣,190.83,ифеL,,,1010719,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1049565,5500,,0.0,0,,RPPNMLRJQHHFFES07DA
