編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLJQHHFFAE37CC,32,45.20,,鋼筋混凝土造,69年4月10日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLNJQHHFFBS56CC,38,156.80,住商用,加強磚造,63年2月28日,三層,一層 二層 三層 騎樓
RPQNMLQJQHHFFAE97CC,6,128.22,住家用,鋼筋混凝土造,95年11月1日,十五層,七層
RPQNMLQJQHHFFCE18CC,14,551.27,商業用,鋼筋混凝土造,87年9月19日,十四層,一層 二層 騎樓 夾層
RPSNMLQJQHHFFCE38CC,12,23.60,住家用,鋼筋混凝土造,89年8月24日,八層,三層
RPRNMLRJQHHFFBE28CC,21,166.73,住商用,鋼造,81年1月10日,二層,一層 二層 騎樓
RPTNMLSJQHHFFAE48CC,21,77.61,住家用,鋼筋混凝土造,81年1月21日,七層,六層
RPPNMLSJQHHFFBS96CC,9,44.77,見其他登記事項,鋼筋混凝土造,92年11月20日,十二層,
RPXNMLTJQHHFFEE76CC,21,33.77,住家用,鋼筋混凝土造,80年10月16日,七層,六層
RPPNMLTJQHHFFCE38CC,7,109.29,住家用,鋼筋混凝土造,94年10月28日,十層,三層
RPQNMLTJQHHFFCE48CC,2,34.16,住家用,鋼筋混凝土造,100年1月25日,十五層,十五層
RPQNMLTJQHHFFCE48CC,2,18.41,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPQNMLKKQHHFFCE67CC,22,37.89,商業用,鋼筋混凝土造,79年3月23日,二十二層,一層
RPPOMLKKQHHFFDE77CC,16,32.50,住家用,鋼筋混凝土造,85年3月25日,十八層,七層 電梯樓梯間
RPSNMLKKQHHFFAS09CC,21,56.45,住家用,鋼筋混凝土造,80年10月10日,八層,六層
RPQNMLLKQHHFFAS98CC,6,173.97,住家用,鋼筋混凝土造,95年5月12日,十三層,十三層
RPSNMLNKQHHFFDE38DC,31,178.14,,鋼筋混凝土造,70年11月19日,十三層,一層 二層 騎樓
RPRNMLNKQHHFFDE18CC,27,91.07,,鋼筋混凝土造,74年10月11日,五層,二層
RPRNMLNKQHHFFAE87CC,9,80.35,住家用,鋼筋混凝土造,92年8月14日,十二層,五層
RPSNMLNKQHHFFBE08CC,15,167.24,住商用,鋼筋混凝土造,86年4月21日,三十五層,一層 二層 三層
RPTNMLNKQHHFFBE18CC,15,234.76,住家用,鋼筋混凝土造,86年4月21日,三十五層,三十四層 三十五層
RPUNMLNKQHHFFBE28CC,22,37.54,,鋼筋混凝土造,79年11月30日,十二層,七層
RPROMLNKQHHFFBE08CC,15,311.91,住家用,鋼筋混凝土造,86年4月21日,三十五層,三十四層 三十五層
RPVNMLOKQHHFFBE48CC,19,283.05,商業用,鋼筋混凝土造,82年3月4日,二十八層,六層
RPWNMLOKQHHFFDE78CC,5,218.17,住商用,鋼筋混凝土造,97年1月28日,五層,一層 二層 三層 四層 五層 騎樓 見其他登記事項
RPRNMLPKQHHFFBE28DC,30,22.68,,鋼筋混凝土造,72年1月29日,十三層,十三層
RPQNMLPKQHHFFAS76CC,19,83.36,住家用,鋼筋混凝土造,83年1月20日,八層,四層
RPQNMLPKQHHFFBE08CC,10,74.19,住家用,鋼筋混凝土造,91年4月3日,十四層,九層
RPROMLQKQHHFFDE58CC,13,30.47,住家用,鋼筋混凝土造,88年7月31日,十四層,九層
RPQNMLRKQHHFFEE58CC,17,236.64,工業用,鋼筋混凝土造,84年5月2日,十三層,三層
RPXNMLRKQHHFFCE56DC,36,97.12,,鋼筋混凝土造,65年12月6日,四層,一層 二層 三層 四層 騎樓
RPROMLRKQHHFFDE78DC,20,230.54,住家用,鋼筋混凝土造,81年7月28日,十九層,四層
RPUNMLRKQHHFFCE78CC,35,121.56,,鋼筋混凝土造,66年11月22日,七層,四層
RPOOMLRKQHHFFAE08CC,5,42.62,住商用,鋼筋混凝土造,96年12月5日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 見其它登記事項
RPQOMLRKQHHFFAE28CC,6,160.90,住商用,鋼筋混凝土造,95年10月13日,十五層,一層 夾層
RPPNMLSKQHHFFAE18CC,33,158.41,,鋼筋混凝土造,68年6月7日,十二層,三層
RPSNMLSKQHHFFAE48CC,16,124.62,住商用,鋼筋混凝土造,85年11月20日,十三層,一層 二層 騎樓 夾層
RPTNMLSKQHHFFDE88CC,18,252.72,商業用,鋼筋混凝土造,83年11月14日,二十三層,四層
RPQNMLTKQHHFFAE38CC,32,45.20,,鋼筋混凝土造,69年4月10日,四層,一層 二層 三層 四層 騎樓 地下層
RPPNMLKLQHHFFAE47CC,6,77.42,住家用,鋼筋混凝土造,95年6月26日,十五層,七層
RPQNMLKLQHHFFAE57CC,28,70.72,,鋼筋混凝土造,73年12月12日,五層,二層
RPRNMLKLQHHFFAE67CC,7,67.85,住家用,鋼筋混凝土造,94年12月13日,十五層,五層
RPQNMLKLQHHFFDE87CC,31,101.22,,鋼筋混凝土造,70年12月21日,十二層,一層 二層 騎樓
RPSNMLLLQHHFFCE18DC,13,93.41,住家用,見其它登記事項,88年2月9日,三十九層,十八層
RPPNMLLLQHHFFAE67DC,9,93.91,住家用,鋼筋混凝土造,93年2月24日,十四層,五層
RPXNMLLLQHHFFBE48CC,15,166.57,住商用,鋼筋混凝土造,86年4月21日,三十五層,一層 二層 三層
RPPOMLLLQHHFFBE77CC,15,.00,住商用,鋼筋混凝土造,86年4月21日,三十五層,一層 二層 三層
RPROMLMLQHHFFBE08CC,25,350.36,,鋼筋混凝土造,76年11月7日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPROMLMLQHHFFBE08CC,25,362.94,,鋼筋混凝土造,76年11月7日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPROMLMLQHHFFBE08CC,25,334.74,,鋼筋混凝土造,76年11月7日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPPPMLMLQHHFFBE97CC,5,36.58,住家用,鋼筋混凝土造,96年5月8日,十五層,七層
RPVNMLMLQHHFFAE28CC,7,24.98,住家用,鋼筋混凝土造,95年2月3日,十四層,五層
RPQOMLMLQHHFFAE87CC,20,214.04,住家用,鋼筋混凝土造,81年7月17日,十四層,三層
RPWNMLMLQHHFFCE58CC,19,170.43,住商用,鋼筋混凝土造,82年7月30日,二十四層,七層
RPQNMLMLQHHFFAS56CC,36,119.38,住商用,加強磚造,65年12月30日,二層,一層 二層 騎樓
RPQNMLMLQHHFFBS66CC,40,66.96,住家用,加強磚造,61年6月10日,二層,一層 二層
RPQNMLMLQHHFFDE08CC,20,63.65,住家用,鋼筋混凝土造,81年6月27日,十二層,八層 走廊
RPUPMLMLQHHFFEE78CC,7,62.79,住家用,鋼筋混凝土造,94年11月14日,十五層,十五層
RPUNMLNLQHHFFEE68CC,14,106.79,商業用,鋼筋混凝土造,87年10月21日,十四層,一層 二層 騎樓
RPUNMLNLQHHFFEE68CC,14,111.66,商業用,鋼筋混凝土造,87年10月21日,十四層,一層 二層 騎樓
RPPNMLNLQHHFFDE08CC,5,134.46,住家用,鋼筋混凝土造,96年9月18日,十四層,三層
RPWNMLNLQHHFFDE78CC,31,70.92,,鋼筋混凝土造,70年5月21日,五層,四層
RPROMLNLQHHFFBS96CC,9,80.62,見其他登記事項,鋼筋混凝土造,92年7月1日,十四層,十一層
RPROMLNLQHHFFBS96CC,9,34.13,見其他登記事項,鋼筋混凝土造,92年7月1日,十四層,
RPVNMLNLQHHFFCE58CC,15,85.48,住家用,鋼筋混凝土造,86年5月27日,二十七層,二十三層
RPXNMLNLQHHFFCE78CC,14,179.52,商業用,鋼筋混凝土造,87年7月14日,二十八層,十三層
RPRNMLNLQHHFFAE97CC,6,57.24,商業用,鋼筋混凝土造,95年10月18日,十五層,一層 夾層 見其它登記事項
RPWNMLNLQHHFFAE48CC,43,143.40,,加強磚造,58年9月2日,三層,一層 二層 三層 騎樓
RPXNMLNLQHHFFAE58CC,32,73.25,,鋼筋混凝土造,69年7月5日,五層,三層
RPWNMLNLQHHFFBE58CC,41,52.86,,鋼筋混凝土加強磚造,60年9月23日,三層,一層 二層 三層 騎樓
RPROMLNLQHHFFBE18CC,15,.00,住家用,鋼筋混凝土造,86年4月21日,三十五層,三十四層
RPTOMLNLQHHFFBE38CC,20,617.89,商業用,鋼骨混凝土造,81年9月14日,二十八層,十九層
RPRNMLOLQHHFFDE38CC,15,113.15,住家用,鋼筋混凝土造,86年7月29日,二十二層,四層
RPPNMLOLQHHFFEE28CC,18,184.13,住商用,鋼筋混凝土造,83年12月10日,二十一層,一層 二層 夾層
RPTNMLPLQHHFFEE78CC,19,129.09,住商用,鋼筋混凝土造,82年12月29日,七層,一層 二層 騎樓
RPTNMLPLQHHFFEE78CC,19,41.11,見使用執照,鋼筋混凝土造,82年12月29日,七層,
RPUNMLPLQHHFFDE78CC,12,112.77,住家用,鋼筋混凝土造,89年4月12日,二十五層,九層
RPRNMLPLQHHFFAE18CC,6,63.66,住商用,鋼筋混凝土造,95年5月17日,十五層,一層 二層 見其它登記事項
RPVNMLPLQHHFFAE58CC,9,93.91,住家用,鋼筋混凝土造,93年2月24日,十四層,五層
RPQNMLRLQHHFFAE28CC,6,110.29,住家用,鋼筋混凝土造,95年10月13日,十五層,八層
RPQNMLRLQHHFFBE38CC,31,126.92,,鋼筋混凝土造,70年12月5日,十二層,十二層
RPTNMLRLQHHFFBE68CC,25,137.28,,鋼筋混凝土造,76年4月20日,十一層,一層 二層 騎樓
RPTNMLRLQHHFFBE68CC,25,14.72,,鋼筋混凝土造,76年4月20日,十一層,
RPPOMLRLQHHFFDE58CC,18,76.71,住家用,鋼筋混凝土造,83年5月23日,二十四層,十五層 電梯樓梯間
RPWNMLRLQHHFFEE66CC,12,241.10,住商用,見使用執照,89年6月23日,十四層,一層 二層
RPQNMLRLQHHFFAS07CC,35,30.00,住商用,加強磚造,66年8月5日,二層,一層 二層 騎樓
RPRNMLRLQHHFFAS17CC,17,78.69,住家用,鋼筋混凝土造,84年11月18日,二十四層,二十二層
RPPNMLRLQHHFFBE38DC,22,36.97,,鋼筋混凝土造,80年1月24日,十二層,地下三層
RPPNMLRLQHHFFBE38DC,22,469.97,,鋼筋混凝土造,80年1月24日,十二層,九層
RPSNMLSLQHHFFES77CC,17,204.10,住商用,鋼筋混凝土造,84年3月27日,四層,一層 二層 三層 四層 騎樓
RPXNMLSLQHHFFAS87CC,6,203.33,住家用,鋼筋混凝土造,95年3月6日,十四層,八層
RPOOMLSLQHHFFAS07CC,16,132.76,見其他登記事項,鋼筋混凝土造,85年11月8日,十六層,十五層
RPSOMLSLQHHFFDE98CC,16,37.29,住家用,鋼筋混凝土造,85年9月7日,十二層,六層
RPVOMLSLQHHFFBE09CC,31,97.20,,鋼筋混凝土造,70年3月3日,五層,一層 二層
RPSNMLTLQHHFFBE78CC,34,49.75,,鋼筋混凝土造,67年11月11日,十二層,三層
RPUNMLTLQHHFFBE98CC,27,92.19,,鋼筋混凝土造,74年5月3日,五層,三層
RPQOMLTLQHHFFBE68CC,28,117.62,,鋼筋混凝土造,73年8月9日,七層,一層 騎樓 地下層
RPWOMLTLQHHFFBE66CC,15,98.06,住家用,鋼筋混凝土造,86年4月21日,三十五層,十一層
RPSNMLTLQHHFFAE68CC,6,99.58,住家用,鋼筋混凝土造,95年3月3日,十五層,十三層
RPOOMLTLQHHFFAE38CC,19,112.75,住家用,鋼筋混凝土造,82年10月16日,十二層,五層
RPXNMLTLQHHFFDE86CC,5,58.73,住商用,鋼筋混凝土造,96年6月28日,五層,一層 二層 三層 四層 五層 騎樓 見其他登記事項
RPQOMLTLQHHFFDE88CC,31,79.46,,鋼筋混凝土造,70年10月20日,五層,
RPROMLTLQHHFFDE98CC,19,119.35,住家用,鋼筋混凝土造,82年4月1日,十六層,六層
RPSOMLTLQHHFFDE09CC,32,104.80,,鋼筋混凝土造,69年9月26日,五層,一層 二層 三層 四層 五層 騎樓
RPWNMLTLQHHFFBS97CC,32,164.78,住商用,鋼筋混凝土造,69年5月31日,七層,一層 二層
RPUNMLTLQHHFFDE66DC,18,82.69,住家用,鋼筋混凝土造,83年5月28日,八層,二層 電梯樓梯間
RPPPMLTLQHHFFEE09DC,5,46.85,見其它登記事項,見其它登記事項,96年10月30日,二層,一層 二層 騎樓
RPOPMLKMQHHFFBS66DC,19,108.00,住商用,鋼筋混凝土造,82年12月3日,六層,一層 二層 騎樓
RPOQMLKMQHHFFBS76DC,5,55.27,見其他登記事項,見其他登記事項,96年12月15日,二十八層,七層
RPOQMLKMQHHFFBS76DC,5,49.68,見其他登記事項,見其他登記事項,96年12月15日,二十八層,
RPPQMLKMQHHFFBS86DC,5,59.69,見其他登記事項,見其他登記事項,96年12月15日,二十八層,十六層
RPPQMLKMQHHFFBS86DC,5,30.76,見其他登記事項,見其他登記事項,96年12月15日,二十八層,
RPSQMLKMQHHFFBS17DC,43,67.32,住家用,加強磚造,58年10月30日,二層,一層 二層
RPRNMLKMQHHFFDE18DC,33,96.10,,鋼筋混凝土造,68年6月25日,五層,三層
RPVNMLKMQHHFFDE58DC,33,97.45,,鋼筋混凝土造,68年6月25日,五層,四層
RPVOMLKMQHHFFDE68DC,3,227.12,商業用,見其它登記事項,99年1月14日,一層,一層
RPXPMLKMQHHFFDE98DC,28,82.69,,鋼筋混凝土造,73年11月27日,三層,一層 二層 三層
RPQNMLKMQHHFFES86CC,18,826.45,住家用,鋼筋混凝土造,83年6月3日,三層,一層 二層 三層 夾層
RPSNMLKMQHHFFDS96CC,20,282.00,工業用,鋼筋混凝土造,81年12月6日,二層,一層 二層 屋頂突出物 地下層
RPSNMLKMQHHFFAS66CC,1,198.35,工業用,見其他登記事項,100年7月15日,一層,一層
RPPOMLKMQHHFFDE97CC,18,105.67,住家用,鋼筋混凝土造,83年5月23日,十八層,三層 電梯樓梯間
