編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLTJQHHFFBJ09DC,竹義段,30.03,都市：住
RPPNMLKKQHHFFBJ97CC,隘興段,36.64,都市：住
RPWNMLQKQHHFFCJ76CC,竹東段竹東小段,56.00,都市：住
RPUNMLMLQHHFFBJ78CC,翰林段,16.52,都市：住
RPWOMLOLQHHFFBJ66CC,嘉興段,.00,都市：住
RPQPMLOLQHHFFBJ78CC,水瀧段,.00,都市：工
RPRPMLOLQHHFFBJ88CC,大學段,.00,都市：住
RPRPMLOLQHHFFBJ88CC,大學段,.00,都市：住
RPTPMLOLQHHFFBJ09CC,縣福段,.00,都市：商
RPVPMLOLQHHFFBJ66CC,文化段,.00,都市：住
RPWPMLOLQHHFFBJ76CC,永興段,.00,都市：商
RPXPMLOLQHHFFBJ86CC,縣華段,.00,都市：商
RPXOMLOLQHHFFBJ86DC,永興段,1.62,非都市： ; 非都市編定：
RPQNMLRLQHHFFCJ98CC,竹中段,.00,都市：住
RPVOMLRLQHHFFBJ86CC,縣華段,.00,都市：住
RPWOMLRLQHHFFBJ96CC,大學段,.00,都市：住
RPXOMLRLQHHFFBJ07CC,大學段,.00,都市：住
RPPPMLRLQHHFFBJ98CC,隘興段,.00,都市：住
RPQPMLRLQHHFFBJ09CC,大學段,.00,都市：住
RPRPMLRLQHHFFBJ56CC,隘興段,.00,都市：住
RPSPMLRLQHHFFBJ66CC,永興段,.00,都市：商
RPTPMLRLQHHFFBJ76CC,新國段,.00,都市：住
RPUPMLRLQHHFFBJ86CC,大學段,.00,都市：商
RPVPMLRLQHHFFBJ96CC,家興段,.00,都市：住
RPVPMLRLQHHFFBJ96CC,家興段,.00,都市：住
RPWPMLRLQHHFFBJ07CC,自強段,.00,都市：住
RPXPMLRLQHHFFBJ17CC,隘興段,.00,都市：住
RPRNMLTLQHHFFBJ56CC,台科段,.00,都市：住
RPSNMLTLQHHFFBJ66CC,公園段,.00,非都市： ; 非都市編定：
RPVOMLTLQHHFFBJ07CC,世興段,5.68,都市：商
RPQNMLTLQHHFFCJ56CC,富林段,.00,都市：農
RPSOMLKMQHHFFCJ78DC,東寧段,15.00,都市：住
RPSOMLKMQHHFFCJ78DC,東寧段,34.00,都市：住
RPSOMLKMQHHFFCJ78DC,東寧段,42.00,都市：住
RPSNMLLMQHHFFCJ68CC,竹東段竹東小段,8.10,都市：其他
RPSNMLLMQHHFFCJ68CC,竹東段竹東小段,2.33,都市：其他
RPSNMLLMQHHFFCJ68CC,竹東段竹東小段,15.79,都市：其他
RPTNMLOJRHHFFCJ88CC,仁愛段,8.84,都市：其他
RPTNMLOJRHHFFCJ88CC,仁愛段,25.36,都市：其他
RPUNMLOJRHHFFBJ88CC,站前段,746.72,都市：住
RPWNMLOJRHHFFBJ09CC,公園段,153.19,都市：住
