編號,車位類別,車位價格,車位面積平方公尺
RPRNMLTJQHHFFBJ09DC,坡道平面,0,
RPPNMLKKQHHFFBJ97CC,坡道平面,0,33.46
RPUNMLMLQHHFFBJ78CC,坡道平面,0,
RPWOMLRLQHHFFBJ96CC,坡道平面,0,
RPXOMLRLQHHFFBJ07CC,坡道平面,0,
RPPPMLRLQHHFFBJ98CC,坡道平面,0,
RPQPMLRLQHHFFBJ09CC,坡道平面,0,
RPRPMLRLQHHFFBJ56CC,坡道平面,0,
RPSPMLRLQHHFFBJ66CC,坡道平面,0,
RPTPMLRLQHHFFBJ76CC,坡道機械,0,
RPUPMLRLQHHFFBJ86CC,坡道平面,0,32.73
RPVPMLRLQHHFFBJ96CC,坡道平面,0,26.34
RPVPMLRLQHHFFBJ96CC,坡道平面,0,30.39
RPWPMLRLQHHFFBJ07CC,坡道平面,0,28.34
RPXPMLRLQHHFFBJ17CC,坡道平面,0,31.89
RPVOMLTLQHHFFBJ07CC,坡道機械,0,18.82
RPQOMLPJRHHFFBJ68CC,坡道平面,0,32.73
RPROMLQJRHHFFBJ88CC,坡道平面,0,
RPTOMLQJRHHFFBJ09CC,坡道平面,0,
RPXOMLQJRHHFFBJ86CC,坡道平面,0,
RPPPMLQJRHHFFBJ78CC,坡道平面,0,
RPQPMLQJRHHFFBJ88CC,坡道平面,0,
RPQPMLQJRHHFFBJ88CC,坡道平面,0,
RPQNMLRJRHHFFBJ78CC,坡道平面,0,
RPRNMLRJRHHFFBJ88CC,升降機械,0,
RPSNMLRJRHHFFBJ98CC,坡道平面,0,
RPTNMLRJRHHFFBJ09CC,坡道平面,0,
RPTNMLRJRHHFFBJ09CC,坡道平面,0,
RPWNMLRJRHHFFBJ76CC,坡道平面,0,
RPRQMLRJRHHFFBJ56CC,升降機械,0,
RPVOMLRJRHHFFBJ86DC,坡道平面,0,28.80
RPTQMLRJRHHFFBJ86DC,坡道平面,0,
RPTNMLNKRHHFFCJ98DC,坡道平面,0,6.93
RPQRMLRKRHHFFBJ66CC,坡道平面,0,30.46
RPTRMLRKRHHFFBJ96CC,坡道機械,0,
RPURMLRKRHHFFBJ07CC,坡道平面,0,
RPWRMLRKRHHFFBJ27CC,坡道平面,0,
RPWRMLRKRHHFFBJ27CC,坡道平面,0,
RPOSMLRKRHHFFBJ56CC,坡道平面,0,
RPXOMLSKRHHFFBJ17CC,坡道平面,0,
RPWNMLKLRHHFFBJ88CC,坡道平面,0,
RPXNMLKLRHHFFBJ98CC,坡道平面,0,
RPOOMLKLRHHFFBJ18CC,坡道平面,0,
RPPOMLKLRHHFFBJ28CC,坡道平面,0,
RPQOMLKLRHHFFBJ38CC,坡道平面,0,
RPRNMLOLRHHFFBJ78CC,坡道機械,0,
RPVPMLNJIIHFFBJ28CC,坡道機械,0,
RPVPMLNJIIHFFBJ28CC,坡道機械,0,
RPOQMLNJIIHFFBJ67CC,坡道平面,0,32.73
RPSQMLNJIIHFFBJ08CC,坡道平面,0,
RPXOMLOJIIHFFBJ48CC,坡道平面,0,
RPOPMLOJIIHFFBJ67CC,坡道平面,0,
RPPPMLOJIIHFFBJ77CC,坡道機械,0,
RPTPMLOJIIHFFBJ18CC,坡道平面,0,
RPVPMLOJIIHFFBJ38CC,坡道平面,0,
RPTQMLOJIIHFFBJ28CC,坡道機械,0,
RPUQMLOJIIHFFBJ38CC,坡道平面,0,
RPWQMLOJIIHFFBJ58CC,坡道平面,0,
RPXQMLOJIIHFFBJ68CC,坡道平面,0,
RPPRMLOJIIHFFBJ97CC,坡道平面,0,
RPQRMLOJIIHFFBJ08CC,坡道平面,0,
RPRNMLOJIIHFFCJ87CC,其他,0,
RPWOMLMKIIHFFBJ28CC,坡道機械,0,
RPOQMLRKIIHFFBJ28DC,一樓平面,1000,
RPQNMLSKIIHFFCJ28CC,坡道平面,0,
RPPOMLSKIIHFFBJ18CC,坡道平面,0,
RPROMLSKIIHFFBJ38CC,坡道機械,0,
RPQQMLTKIIHFFBJ58CC,坡道平面,0,33.34
RPQQMLTKIIHFFBJ58CC,坡道平面,0,29.30
RPRQMLTKIIHFFBJ68CC,坡道平面,0,
RPRQMLTKIIHFFBJ68CC,坡道平面,0,
