編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQTMLMJJIHFFAO68DC,科園段龍山小段,.00,都市：其他
RPQTMLMJJIHFFAO68DC,科園段龍山小段,.00,都市：其他
RPQTMLMJJIHFFAO68DC,科園段龍山小段,.00,都市：其他
RPUNMLPJJIHFFAO68CC,和平段,.00,都市：住
RPWNMLPJJIHFFAO88CC,親仁段二小段,.00,都市：住
RPROMLPJJIHFFAO48CC,民主段,.00,都市：住
RPTOMLPJJIHFFAO68CC,南門段一小段,.00,都市：商
RPTOMLPJJIHFFAO68CC,南門段一小段,.00,都市：商
RPTOMLPJJIHFFAO68CC,南門段一小段,.00,都市：商
RPTOMLPJJIHFFAO68CC,南門段一小段,.00,都市：商
RPVOMLPJJIHFFAO88CC,自由段,.00,都市：住
RPQRMLPJJIHFFAO68CC,親仁段二小段,.00,都市：商
RPURMLPJJIHFFAO09CC,親仁段二小段,.00,都市：住
RPRSMLPJJIHFFAO88CC,光華段,75.00,非都市： ; 非都市編定：
RPUPMLQJJIHFFAO09DC,光華段,.00,都市：住
RPXNMLRJJIHFFAO66DC,復中段,.00,都市：商
RPOOMLRJJIHFFAO48DC,介壽段,.00,都市：住
RPROMLRJJIHFFAO78DC,科園段龍山小段,.00,都市：住
RPROMLRJJIHFFAO78DC,科園段龍山小段,.00,都市：住
RPROMLRJJIHFFAO78DC,科園段龍山小段,.00,都市：住
RPSOMLRJJIHFFAO88DC,介壽段,.00,都市：住
RPTOMLRJJIHFFAO98DC,光華段,.00,都市：住
RPOPMLTJJIHFFAO68CC,中雅段,.00,都市：住
RPQQMLTJJIHFFAO98CC,東明段,29.54,非都市： ; 非都市編定：
RPPPMLNKJIHFFAO28CC,復中段,.00,非都市： ; 非都市編定：
RPTOMLPKJIHFFAO78CC,北門段,.00,非都市： ; 非都市編定：
RPSNMLQKJIHFFAO68CC,復中段,.00,非都市： ; 非都市編定：
RPTNMLQKJIHFFAO78CC,民主段,.00,都市：住
RPOQMLQKJIHFFAO58CC,民主段,.00,都市：住
RPTPMLKLJIHFFAO48CC,長春段,.00,都市：住
RPPPMLNLJIHFFAO38CC,西門段一小段,.00,都市：住
RPSPMLNLJIHFFAO68CC,聚吉段,.00,都市：住
RPWNMLPLJIHFFAO09CC,前溪段,4071.99,都市：農
RPQPMLRLJIHFFAO88CC,長春段,.00,都市：其他
RPPQMLSLJIHFFAO98CC,復中段,.00,都市：商
