鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,景美段一小段661~690地號,27.17,住,,,1000619,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,289.42,3,2,2,有,無,40800000,186197,坡道平面,91.78,4000000,,RPXRMLLJKHIFFAA57CB
中山區,房地(土地+建物)+車位,德惠段四小段601~630地號,5.98,商,,,1011123,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,58.58,0,0,0,無,無,13200000,199005,塔式車位,0.29,1600000,,RPPOMLPJKHIFFCA07CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.7,商,,,1010615,土地9建物1車位2,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,413.91,3,2,3,有,無,110600000,325502,坡道平面,92.56,6000000,,RPVQMLQLKHIFFCA18CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.7,商,,,1010524,土地9建物1車位2,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,414.57,3,2,3,有,無,121000000,357132,坡道平面,92.56,6000000,,RPXQMLQLKHIFFCA38CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.7,商,,,1010808,土地9建物1車位2,九層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,414.57,3,2,3,有,無,105500000,310549,坡道平面,92.56,5500000,,RPORMLQLKHIFFCA57CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.85,商,,,1010916,土地9建物1車位3,十層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,460.85,3,2,3,有,無,111280000,329741,坡道平面,138.84,5100000,,RPPRMLQLKHIFFCA67CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.55,商,,,1020220,土地9建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,368.55,3,2,3,有,無,110680000,332578,坡道平面,46.28,3500000,,RPQRMLQLKHIFFCA77CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.7,商,,,1010515,土地9建物1車位2,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,413.91,3,2,3,有,無,107580000,322328,坡道平面,92.56,4000000,,RPRRMLQLKHIFFCA87CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,26.7,商,,,1020222,土地9建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,414.83,3,2,3,有,無,118600000,357464,坡道平面,92.56,3400000,,RPSRMLQLKHIFFCA97CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1020121,土地9建物1車位2,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,421.39,3,2,3,有,無,101880000,299486,坡道平面,92.56,3400000,,RPTRMLQLKHIFFCA08CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1020118,土地9建物1車位2,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,421.39,3,2,3,有,無,117580000,336283,坡道平面,92.56,7000000,,RPURMLQLKHIFFCA18CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.15,商,,,1010827,土地9建物1車位3,七層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,468.07,3,2,3,有,無,120000000,337150,坡道平面,138.84,9000000,,RPVRMLQLKHIFFCA28CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1010524,土地9建物1車位2,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,421.79,3,2,3,有,無,121000000,349300,坡道平面,92.56,6000000,,RPWRMLQLKHIFFCA38CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1011102,土地9建物1車位2,十層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,422.05,3,2,3,有,無,128000000,367234,坡道平面,92.56,7000000,,RPXRMLQLKHIFFCA48CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1011106,土地9建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,422.05,3,2,3,有,無,125000000,361164,坡道平面,92.56,6000000,,RPOSMLQLKHIFFCA67CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1010711,土地9建物1車位2,十二層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,421.79,3,2,3,有,無,123520000,364851,坡道平面,92.56,3400000,,RPPSMLQLKHIFFCA77CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,30.0,商,,,1020130,土地9建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,422.05,3,2,3,有,無,125500000,359647,坡道平面,92.56,7000000,,RPQSMLQLKHIFFCA87CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,23.25,商,,,1020110,土地9建物1車位1,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,302.47,3,2,2,有,無,77700000,296655,坡道平面,46.28,1700000,,RPRSMLQLKHIFFCA97CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,23.4,商,,,1020116,土地9建物1車位2,七層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,348.75,3,2,2,有,無,79650000,296460,坡道平面,92.56,3700000,,RPSSMLQLKHIFFCA08CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,23.25,商,,,1020102,土地9建物1車位1,八層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,302.47,3,2,2,有,無,79500000,302510,坡道平面,46.28,2000000,,RPTSMLQLKHIFFCA18CB
中山區,房地(土地+建物)+車位,中山段一小段691~720地號,23.4,商,,,1011026,土地9建物1車位2,九層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,,348.75,3,2,2,有,無,84500000,316562,坡道平面,92.56,3400000,,RPUSMLQLKHIFFCA28CB
