編號,車位類別,車位價格,車位面積平方公尺
RPXNMLLJNHIFFBB77CC,坡道機械,0,
RPPOMLMJNHIFFCB27CC,坡道機械,0,13.24
RPTRMLMJNHIFFCB97CC,坡道機械,0,28.49
RPXRMLMJNHIFFCB38CC,坡道平面,0,33.02
RPQPMLMJNHIFFBB37CC,升降機械,0,
RPPPMLNJNHIFFBB37CC,坡道機械,0,
RPPQMLOJNHIFFCB67CC,坡道平面,0,
RPPPMLQJNHIFFAL58CC,坡道平面,0,67.67
RPSVMLRJNHIFFBB68CC,坡道機械,2500,
RPTVMLRJNHIFFBB78CC,坡道機械,2500,
RPTVMLRJNHIFFBB78CC,坡道平面,3000,
RPWVMLRJNHIFFCB56CC,坡道機械,0,
RPSPMLTJNHIFFAB18CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPWRMLTJNHIFFCB98CC,坡道機械,0,22.04
RPOSMLTJNHIFFCB28CC,坡道平面,0,
RPOSMLTJNHIFFCB28CC,坡道平面,0,
RPOSMLTJNHIFFCB28CC,坡道機械,0,
RPOSMLTJNHIFFCB28CC,坡道機械,0,
RPPSMLTJNHIFFCB38CC,坡道機械,0,11.76
RPUOMLTJNHIFFBB38CC,升降機械,0,21.67
RPUTMLTJNHIFFBB88CC,坡道平面,0,11.14
RPXPMLKKNHIFFBB97CC,坡道機械,0,
RPOQMLKKNHIFFBB17CC,坡道平面,0,
RPPPMLKKNHIFFBB27DC,坡道機械,0,24.41
RPROMLNKNHIFFBB57CC,坡道平面,0,
RPWRMLNKNHIFFCB48CC,坡道機械,0,14.61
RPSQMLOKNHIFFCB08CC,坡道平面,0,24.79
RPXPMLPKNHIFFCB58CC,坡道平面,0,24.95
RPTRMLQKNHIFFCB48CC,坡道機械,0,
RPQOMLRKNHIFFBB87CC,坡道機械,0,
RPSSMLLLNHIFFCB08CC,坡道平面,0,
RPSSMLLLNHIFFCB08CC,坡道平面,0,
RPTPMLNLNHIFFBB97CC,坡道平面,0,
RPSRMLOLNHIFFBB18CC,坡道機械,2000,15.94
RPWNMLOLNHIFFFL96CC,坡道平面,0,18.17
RPUOMLRLNHIFFBB38CC,坡道平面,0,31.88
RPXOMLSLNHIFFCB98DC,坡道機械,0,26.73
RPPOMLSLNHIFFAL88CC,坡道平面,0,32.66
RPXQMLTLNHIFFCB56CC,坡道平面,0,
RPPOMLKMNHIFFCB37CC,升降機械,0,
RPVOMLKMNHIFFBB97DC,坡道平面,2500,24.80
RPWOMLKMNHIFFAB87CC,坡道平面,0,29.30
RPRPMLKMNHIFFAB47CC,升降機械,38000,14.05
RPVPMLKMNHIFFAB87CC,坡道平面,0,19.05
RPTOMLLMNHIFFCB87CC,坡道機械,0,22.04
RPOQMLLMNHIFFCB57CC,坡道平面,0,21.35
RPSQMLLMNHIFFCB97CC,坡道平面,0,14.98
RPRNMLLJOHIFFAB17CC,坡道機械,0,21.66
RPUNMLNJOHIFFHL96EC,坡道平面,0,
RPQOMLOJOHIFFCB67CC,坡道平面,0,
RPOOMLPJOHIFFBB47CC,坡道機械,0,6.33
RPVRMLQJOHIFFCB68CC,坡道平面,0,
RPSRMLRJOHIFFCB48CC,坡道平面,0,20.99
RPOSMLRJOHIFFCB18CC,坡道平面,0,22.28
RPTNMLSJOHIFFCB28CC,坡道平面,0,24.79
RPVNMLKKOHIFFBB67CC,坡道平面,0,
RPOOMLLKOHIFFAB07CC,升降機械,0,14.05
RPUOMLLKOHIFFAB67CC,坡道機械,0,
RPRSMLLKOHIFFCB97CC,坡道機械,0,14.60
RPROMLNKOHIFFAB57CC,升降機械,0,14.05
RPUOMLNKOHIFFAB87CC,坡道平面,0,23.83
RPUOMLNKOHIFFAB87CC,坡道平面,0,23.83
RPXOMLNKOHIFFAB18CC,坡道平面,0,
RPXOMLNKOHIFFAB18CC,坡道平面,0,
RPPRMLNKOHIFFAB67CC,坡道平面,0,29.30
RPPRMLNKOHIFFBB77CC,坡道平面,0,
RPUOMLNKOHIFFCB08CC,坡道機械,0,
RPPQMLNKOHIFFCB77CC,升降機械,0,14.08
RPVQMLOKOHIFFCB48CC,坡道機械,0,31.86
RPWQMLOKOHIFFCB58CC,坡道平面,0,37.80
RPSRMLOKOHIFFCB28CC,坡道平面,3000,37.80
RPSTMLRKOHIFFBB68CC,坡道平面,0,
RPWQMLRKOHIFFBB88DC,坡道機械,0,
RPQNMLRKOHIFFAB77CC,坡道機械,0,
RPTNMLRKOHIFFAB08CC,坡道平面,0,47.69
RPVPMLTKOHIFFBB78CC,坡道平面,0,16.51
RPTNMLKLOHIFFCB77DC,坡道平面,0,
RPOQMLKLOHIFFCB47CC,坡道平面,0,24.80
RPVPMLKLOHIFFBB97CC,坡道平面,0,
RPXNMLLLOHIFFCB18CC,坡道機械,0,8.27
RPSNMLLLOHIFFAB47CC,坡道平面,2200,23.00
RPRSMLOLOHIFFCB38CC,坡道平面,0,72.86
RPUSMLOLOHIFFCB68CC,坡道平面,0,75.86
RPPOMLOLOHIFFAB77EC,坡道平面,0,27.59
RPPOMLOLOHIFFAB77EC,坡道平面,0,27.59
RPUNMLPLOHIFFCB28CC,坡道平面,0,
RPUNMLPLOHIFFCB28CC,坡道機械,0,
RPUNMLPLOHIFFCB28CC,坡道機械,0,
RPPSMLPLOHIFFCB28CC,坡道機械,0,14.60
RPSOMLPLOHIFFBB08CC,坡道機械,0,81.33
RPURMLQLOHIFFBB68CC,坡道機械,0,14.28
RPVWMLQLOHIFFCB86DC,坡道平面,0,
RPOTMLRLOHIFFCB58DC,坡道平面,0,
RPOTMLRLOHIFFCB58DC,坡道平面,0,
RPOUMLRLOHIFFCB58CC,坡道機械,0,7.46
RPOUMLRLOHIFFCB58CC,坡道機械,0,7.46
RPUNNLSLOHIFFCB68CC,坡道機械,0,
RPUNNLSLOHIFFCB68CC,坡道機械,0,
RPSONLSLOHIFFCB58CC,坡道平面,0,
RPRNMLSLOHIFFBB18CC,坡道機械,0,
RPSOMLLJPHIFFCB67CC,坡道機械,0,
RPQOMLLJPHIFFAB27CC,坡道機械,0,
RPQOMLLJPHIFFAB27CC,坡道機械,0,
RPQOMLMJPHIFFAB37CC,坡道機械,0,
RPQTMLNJPHIFFBB08CC,一樓平面,0,
RPWNMLNJPHIFFBB18DC,坡道平面,0,20.49
RPVPMLPJPHIFFCB48CC,坡道平面,0,23.21
RPSQMLPJPHIFFCB28CC,坡道機械,0,
RPWOMLPJPHIFFBB38CC,坡道平面,0,
RPUPMLPJPHIFFBB38DC,坡道平面,0,
RPOPMLTJPHIFFCB18CC,坡道機械,0,
RPXNMLKKPHIFFCB08CC,坡道平面,0,
RPXNMLKKPHIFFCB08CC,坡道平面,0,
RPXPMLKKPHIFFCB28CC,升降機械,0,
RPRPMLKKPHIFFBB57CC,坡道機械,0,
RPTPMLKKPHIFFAB67CC,坡道機械,0,18.44
RPTPMLKKPHIFFAB67CC,坡道機械,0,18.44
RPRPMLLKPHIFFAB57CC,坡道平面,0,
RPSOMLLKPHIFFBB77DC,坡道平面,0,26.88
RPQQMLMKPHIFFBB77CC,坡道平面,0,
RPSPMLMKPHIFFCB97CC,坡道平面,0,14.58
RPRQMLMKPHIFFCB97CC,坡道平面,0,23.17
RPWQMLMKPHIFFCB48CC,升降機械,0,10.00
RPWRMLMKPHIFFCB58CC,坡道平面,0,
RPWRMLMKPHIFFCB58CC,坡道平面,0,
RPQPMLMKPHIFFBB77DC,升降平面,0,
RPUOMLMKPHIFFCB18DC,坡道平面,0,
RPVOMLPKPHIFFCB48CC,坡道平面,0,23.14
RPVOMLPKPHIFFCB48CC,坡道平面,0,23.14
RPRNMLQKPHIFFHL07DC,坡道機械,0,
RPWOMLRKPHIFFGL57CC,坡道平面,0,26.15
RPWOMLRKPHIFFGL57CC,坡道平面,0,26.15
RPURMLRKPHIFFBB78CC,坡道平面,0,
RPSPMLTKPHIFFCB68CC,坡道平面,0,21.71
RPTQMLTKPHIFFBB78CC,坡道機械,2500,
RPRSMLMLPHIFFAB08CC,坡道平面,0,
RPVOMLMLPHIFFBB28DC,坡道平面,0,
RPVNMLMLPHIFFCB18CC,坡道機械,0,4.26
RPOPMLNLPHIFFAB57CC,坡道機械,0,11.57
RPPPMLOLPHIFFAB77CC,坡道平面,1000,25.27
RPTPMLOLPHIFFCB38CC,坡道平面,0,
RPPQMLOLPHIFFCB08CC,坡道平面,0,
RPVQMLOLPHIFFCB68CC,升降機械,0,31.05
RPWRMLOLPHIFFCB88CC,坡道機械,0,14.99
RPSOMLQLPHIFFAB18CC,坡道平面,0,22.50
RPSOMLQLPHIFFAB18CC,坡道機械,0,11.25
RPUOMLQLPHIFFAB38CC,升降機械,0,
RPTPMLQLPHIFFCB58CC,坡道機械,0,10.68
RPTPMLQLPHIFFCB58CC,坡道機械,0,10.68
RPTPMLQLPHIFFCB58CC,坡道平面,0,20.27
RPVPMLQLPHIFFCB78CC,坡道平面,0,20.27
RPVPMLQLPHIFFCB78CC,坡道機械,0,10.68
RPVPMLQLPHIFFCB78CC,坡道機械,0,10.68
RPPOMLQLPHIFFBB97CC,坡道機械,0,16.59
RPXPMLTLPHIFFAB09CC,坡道平面,0,9.12
RPRQMLTLPHIFFAB58CC,坡道平面,0,14.05
RPTOMLTLPHIFFAL96CC,升降機械,0,
RPXNMLTLPHIFFFL77CC,一樓平面,0,11.57
RPVNMLTLPHIFFCB88CC,坡道平面,0,24.93
RPWPMLTLPHIFFCB56CC,坡道平面,0,46.58
RPXPMLTLPHIFFCB66CC,坡道平面,0,37.34
RPSQMLTLPHIFFCB88CC,坡道平面,0,33.38
RPPRMLTLPHIFFCB68CC,坡道平面,0,18.57
RPUSMLTLPHIFFCB66CC,坡道平面,0,18.57
RPOTMLTLPHIFFCB78CC,坡道機械,0,13.88
RPORMLKMPHIFFBB67CC,一樓平面,0,22.95
RPSNMLLMPHIFFAB67CC,坡道平面,0,36.67
