編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLNJNHIFFAF77CA,26,107.19,住家用,鋼筋混凝土造,76年8月13日,五層,一層
RPTOMLNJNHIFFAF77CA,26,13.81,見使用執照,鋼筋混凝土造,76年8月13日,五層,
RPUOMLNJNHIFFAF87CA,3,59.55,住家用,見其他登記事項,99年7月15日,四十三層,二十二層
RPUOMLNJNHIFFAF87CA,3,31.87,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPUOMLNJNHIFFAF87CA,3,5.47,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPUOMLNJNHIFFAF87CA,3,13.81,見其他登記事項,見其他登記事項,99年7月15日,四十三層,
RPOQMLNJNHIFFAF47CA,17,86.65,住家用,鋼筋混凝土造,84年11月9日,十七層,三層
RPOQMLNJNHIFFAF47CA,17,3.12,共有部份,鋼筋混凝土造,84年11月9日,十七層,
RPOQMLNJNHIFFAF47CA,17,2.66,共有部份,鋼筋混凝土造,84年11月9日,十七層,
RPOQMLNJNHIFFAF47CA,17,5.57,共有部份,鋼筋混凝土造,84年11月9日,十七層,
RPOQMLNJNHIFFAF47CA,17,.35,住家用,鋼筋混凝土造,84年11月9日,十七層,三層
RPOQMLNJNHIFFAF47CA,17,.00,共有部份,鋼筋混凝土造,84年11月9日,十七層,
RPQPMLQJNHIFFAF87CA,,90.63,住家用,鋼筋混凝土造,,七層,五層
RPQPMLQJNHIFFAF87CA,,17.21,共有部份,鋼筋混凝土造,,七層,
RPOOMLMJNHIFFAF17CA,,69.24,住家用,鋼筋混凝土造,102年1月8日,十三層,五層
RPOOMLMJNHIFFAF17CA,,28.20,見其他登記事項,鋼筋混凝土造,102年1月8日,十三層,
RPWOMLMJNHIFFAF97CA,34,87.30,住家用,鋼筋混凝土造,67年9月12日,五層,五層
RPWPMLMJNHIFFAF08CA,,42.07,共有部份,鋼筋混凝土造,,十四層,
RPWPMLMJNHIFFAF08CA,,172.35,住家用,鋼筋混凝土造,,十四層,三層
RPXPMLMJNHIFFAF18CA,12,130.00,住家用,鋼骨鋼筋混凝土造,90年8月2日,二十六層,二十四層
RPXPMLMJNHIFFAF18CA,12,1.81,共有部份,鋼骨鋼筋混凝土造,90年8月2日,二十六層,
RPXPMLMJNHIFFAF18CA,12,5.93,見其他登記事項,鋼骨鋼筋混凝土造,90年8月2日,二十六層,
RPXPMLMJNHIFFAF18CA,12,22.40,共有部份,鋼骨鋼筋混凝土造,90年8月2日,二十六層,
RPXPMLMJNHIFFAF18CA,12,24.37,見其他登記事項,鋼骨鋼筋混凝土造,90年8月2日,二十六層,
RPSQMLMJNHIFFAF77CA,4,52.27,住家用,鋼骨鋼筋混凝土造,98年7月24日,二十九層,十四層
RPSQMLMJNHIFFAF77CA,4,12.07,共有部份,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPSQMLMJNHIFFAF77CA,4,4.51,共有部份,鋼骨鋼筋混凝土造,98年7月24日,29,
RPSQMLMJNHIFFAF77CA,4,8.60,共有部份,鋼骨鋼筋混凝土造,98年7月24日,二十九層,
RPRSMLMJNHIFFAF87CA,29,74.59,住家用,鋼筋混凝土造,73年7月20日,五層,三層
RPQOMLNJNHIFFAF47CA,7,102.28,住家用,鋼筋混凝土造,95年8月17日,十五層,四層
RPQOMLNJNHIFFAF47CA,7,20.22,共有部份,鋼筋混凝土造,95年8月17日,十五層,
