¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï«n¶®«n¸ô¤G¬q31~60¸¹,14.78,¦í,,,1020620,¤g¦a3«Øª«1¨®¦ì0,¤­¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960629,124.63,2,2,2,¦³,¦³,19000000,152451,,0.0,0,,RPQTMLLJQHIFFAF08CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¤¤¤s¸ô¤@¬q216«Ñ1~30¸¹,22.5,¦í,,,1020609,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020220,247.04000000000002,3,2,2,¦³,¦³,42100000,179577,©Y¹D¾÷±ñ,19.84,1300000,,RPRTMLLJQHIFFAF18CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥Á¥Í¸ô¤T¬q301~330¸¹,3.2,¦í,,,1020626,¤g¦a1«Øª«1¨®¦ì0,¤T¤Q¤C¼h,¤T¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿û°©¿ûµ¬²V¾®¤g³y,0950914,94.24,3,2,2,¦³,¦³,13560000,143873,,0.0,0,¤º§t¿W¥ß²£Åv¤½³],¥¼¥]§t¦b´É¼Æ¤º.»ù®æ§t¼W«Ø.,RPRNMLMJQHIFFAF67CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï§»°ê¸ô31~60¸¹,25.0,¦í,,,1020626,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¥[±j¿j³y,,66.15,3,2,1,¦³,µL,8600000,130008,,0.0,0,¶§¥x¥~±À,RPPPMLMJQHIFFAF67CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥ÁÅv¸ô260«Ñ1§Ë1~30¸¹,27.25,¦í,,,1020704,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¥[±j¿j³y,0631122,76.38,4,2,2,¦³,µL,9230000,120843,,0.0,0,,RPQPMLMJQHIFFAF77CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô¥|¬q271~300¸¹,17.24,¦í,,,1020723,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950817,167.1,3,2,2,¦³,¦³,12050000,72113,©Y¹D¥­­±,34.26,0,»ù®æ§t¼W«Ø¡C,RPWPMLMJQHIFFAF38CA
ªO¾ô°Ï,¨®¦ì,·s¥_¥«ªO¾ô°Ïªø¦¿¸ô¤@¬q361~390¸¹,0.5,¦í,,,1020716,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,34.91,0,0,0,¦³,¦³,1000000,,©Y¹D¥­­±,34.91,1000000,,RPSRMLPJQHIFFAF48CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï«n¶®¦è¸ô¤G¬q123«Ñ1~30¸¹,30.8,¦í,,,1020628,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0701215,100.26,5,1,6,¦³,µL,6750000,67325,,0.0,0,,RPTNMLRJQHIFFAF38CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¿¤¥Á¤j¹D¤T¬q93«Ñ1~30¸¹,50.0,¦í,,,1020628,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¿j³y,,40.0,0,0,0,µL,µL,8800000,220000,,0.0,0,§t¼W«Ø³¡¤À,RPUNMLRJQHIFFAF48CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥Á¥Í¸ô¤T¬q301~330¸¹,3.2,¦í,,,1020716,¤g¦a1«Øª«1¨®¦ì0,¤T¤Q¥|¼h,¤T¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿û°©¿ûµ¬²V¾®¤g³y,0950914,94.24,3,2,2,¦³,¦³,14200000,150663,,0.0,0,»ù®æ§t¼W«Ø.¤º§t¿W¥ß²£Åv¤½³],¥¼¥]§t¦b´É¼Æ¤º.,RPPOMLPJQHIFFAF87CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥Á¥Í¸ô¤G¬q121~150¸¹,5.26,¦í,,,1020712,¤g¦a5«Øª«1¨®¦ì0,¥|¼h,¤Q¤G¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,55.2,1,1,1,¦³,¦³,7500000,135870,,0.0,0,,RPUOMLRJQHIFFAF58CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï©µ¦Nµó31~60¸¹,20.12,¦í,,,1020703,¤g¦a2«Øª«1¨®¦ì0,¤­¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0711015,89.35,2,2,1,¦³,µL,4680000,52378,,0.0,0,,RPXPMLRJQHIFFAF98CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥|¤t¸ô¤G¬q241~270¸¹,4.53,¦í,,,1020717,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤Q¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0810808,41.79,1,1,1,¦³,¦³,4200000,100503,,0.0,0,,RPPNMLSJQHIFFAF08CA
