編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLOJQHIFFEH88DB,河底段,24.12,都市：住
RPSNMLQJQHIFFDH88DB,草湳坡段埔心小段,80.00,都市：住
RPWNMLQJQHIFFDH66DB,草湳坡段埔心小段,62.00,都市：住
RPWNMLQJQHIFFDH66DB,草湳坡段埔心小段,36.00,都市：住
RPSRMLOKQHIFFBH98DB,雙嶺段,31.96,都市：住
RPSRMLOKQHIFFBH98DB,雙嶺段,72.59,都市：住
RPVRMLOKQHIFFBH66DB,雙嶺段,31.96,都市：住
RPVRMLOKQHIFFBH66DB,雙嶺段,72.29,都市：住
RPWRMLOKQHIFFBH76DB,雙嶺段,31.96,都市：住
RPWRMLOKQHIFFBH76DB,雙嶺段,72.29,都市：住
RPOSMLOKQHIFFBH68DB,雙嶺段,31.96,都市：住
RPOSMLOKQHIFFBH68DB,雙嶺段,72.30,都市：住
RPPSMLOKQHIFFBH78DB,雙嶺段,31.96,都市：住
RPPSMLOKQHIFFBH78DB,雙嶺段,69.49,都市：住
RPRSMLOKQHIFFBH98DB,雙嶺段,31.96,都市：住
RPRSMLOKQHIFFBH98DB,雙嶺段,72.29,都市：住
RPSSMLOKQHIFFBH09DB,雙嶺段,31.96,都市：住
RPSSMLOKQHIFFBH09DB,雙嶺段,71.99,都市：住
RPVSMLOKQHIFFBH76DB,雙嶺段,31.96,都市：住
RPVSMLOKQHIFFBH76DB,雙嶺段,71.99,都市：住
RPWSMLOKQHIFFBH86DB,雙嶺段,31.96,都市：住
RPWSMLOKQHIFFBH86DB,雙嶺段,71.99,都市：住
RPXSMLOKQHIFFBH96DB,雙嶺段,31.96,都市：住
RPXSMLOKQHIFFBH96DB,雙嶺段,69.20,都市：住
RPRNMLNLQHIFFFH98EB,大華段,36.07,都市：住
RPSNMLNLQHIFFFH09EB,大華段,35.70,都市：住
RPROMLNLQHIFFFH98DB,大華段,27.41,都市：住
RPSOMLNLQHIFFFH09DB,大華段,36.07,都市：住
RPTOMLNLQHIFFFH56DB,大華段,27.34,都市：住
RPVOMLNLQHIFFFH76DB,大華段,27.34,都市：住
RPWOMLNLQHIFFFH86DB,大華段,27.34,都市：住
RPXOMLNLQHIFFFH96DB,大華段,27.41,都市：住
RPOPMLNLQHIFFFH78DB,大華段,27.05,都市：住
RPPPMLNLQHIFFFH88DB,大華段,27.41,都市：住
RPRPMLNLQHIFFFH09DB,大華段,20.83,都市：住
RPSPMLNLQHIFFFH56DB,大華段,20.83,都市：住
RPTPMLNLQHIFFFH66DB,大華段,20.83,都市：住
RPUPMLNLQHIFFFH76DB,大華段,27.05,都市：住
RPVPMLNLQHIFFFH86DB,大華段,27.41,都市：住
RPWPMLNLQHIFFFH96DB,大華段,27.05,都市：住
RPPNMLOLQHIFFFH78DB,大華段,27.05,都市：住
RPQNMLOLQHIFFFH88DB,大華段,21.20,都市：住
RPRNMLOLQHIFFFH98DB,大華段,20.83,都市：住
RPSNMLOLQHIFFFH09DB,大華段,20.83,都市：住
RPTNMLOLQHIFFFH56DB,大華段,21.20,都市：住
RPUNMLOLQHIFFFH66DB,大華段,32.50,都市：住
RPVNMLOLQHIFFFH76DB,大華段,35.70,都市：住
RPWNMLOLQHIFFFH86DB,大華段,35.70,都市：住
RPXNMLOLQHIFFFH96DB,大華段,36.07,都市：住
RPRNMLOLQHIFFBH58DB,青溪段,6.96,都市：住
RPRNMLOLQHIFFBH58DB,青溪段,6.96,都市：住
RPRNMLOLQHIFFBH58DB,青溪段,6.96,都市：住
RPRNMLOLQHIFFBH58DB,青溪段,6.96,都市：住
RPVPMLPLQHIFFFH07DB,大華段,27.05,都市：住
RPWPMLPLQHIFFFH17DB,大華段,27.41,都市：住
RPXPMLPLQHIFFFH27DB,大華段,27.05,都市：住
RPOQMLPLQHIFFFH09DB,大華段,27.05,都市：住
RPQQMLPLQHIFFFH66DB,大華段,27.41,都市：住
RPRQMLPLQHIFFFH76DB,大華段,27.05,都市：住
RPTQMLPLQHIFFFH96DB,大華段,27.41,都市：住
RPVQMLPLQHIFFFH17DB,大華段,27.41,都市：住
RPWQMLPLQHIFFFH27DB,大華段,20.83,都市：住
RPXQMLPLQHIFFFH37DB,大華段,20.83,都市：住
RPORMLPLQHIFFFH56DB,大華段,27.41,都市：住
RPPRMLPLQHIFFFH66DB,大華段,27.05,都市：住
RPQRMLPLQHIFFFH76DB,大華段,27.05,都市：住
RPRRMLPLQHIFFFH86DB,大華段,27.05,都市：住
RPWRMLPLQHIFFFH37DB,大華段,27.34,都市：住
RPXRMLPLQHIFFFH47DB,大華段,27.05,都市：住
RPOSMLPLQHIFFFH66DB,大華段,21.20,都市：住
RPPSMLPLQHIFFFH76DB,大華段,20.83,都市：住
RPQSMLPLQHIFFFH86DB,大華段,20.83,都市：住
RPSSMLPLQHIFFFH07DB,大華段,35.70,都市：住
RPTSMLPLQHIFFFH17DB,大華段,36.07,都市：住
RPUSMLPLQHIFFFH27DB,大華段,35.70,都市：住
RPVSMLPLQHIFFFH37DB,大華段,36.07,都市：住
RPWSMLPLQHIFFFH47DB,大華段,36.07,都市：住
RPXSMLPLQHIFFFH57DB,大華段,35.70,都市：住
RPOTMLPLQHIFFFH76DB,大華段,36.07,都市：住
RPPTMLPLQHIFFFH86DB,大華段,35.70,都市：住
RPTNMLQLQHIFFFH76DB,大華段,27.34,都市：住
RPUNMLQLQHIFFFH86DB,大華段,27.34,都市：住
RPWNMLQLQHIFFFH07DB,大華段,27.34,都市：住
RPOOMLQLQHIFFFH98DB,大華段,27.71,都市：住
RPQOMLQLQHIFFFH56DB,大華段,27.71,都市：住
RPROMLQLQHIFFFH66DB,大華段,27.34,都市：住
RPVOMLQLQHIFFFH07DB,大華段,27.71,都市：住
RPWOMLQLQHIFFFH17DB,大華段,27.34,都市：住
RPXOMLQLQHIFFFH27DB,大華段,27.34,都市：住
RPOPMLQLQHIFFFH09DB,大華段,27.34,都市：住
RPPPMLQLQHIFFFH56DB,大華段,27.34,都市：住
RPSPMLQLQHIFFFH86DB,大華段,19.16,都市：住
RPTPMLQLQHIFFFH96DB,大華段,19.16,都市：住
RPUPMLQLQHIFFFH07DB,大華段,19.52,都市：住
RPVPMLQLQHIFFFH17DB,大華段,19.16,都市：住
RPWPMLQLQHIFFFH27DB,大華段,19.52,都市：住
RPXPMLQLQHIFFFH37DB,大華段,19.16,都市：住
RPOQMLQLQHIFFFH56DB,大華段,19.16,都市：住
RPPQMLQLQHIFFFH66DB,大華段,27.49,都市：住
RPQQMLQLQHIFFFH76DB,大華段,27.67,都市：住
RPRQMLQLQHIFFFH86DB,大華段,27.67,都市：住
RPTQMLQLQHIFFFH07DB,大華段,27.67,都市：住
RPUQMLQLQHIFFFH17DB,大華段,27.31,都市：住
RPWQMLQLQHIFFFH37DB,大華段,27.67,都市：住
RPQRMLQLQHIFFFH86DB,大華段,27.31,都市：住
RPRRMLQLQHIFFFH96DB,大華段,27.67,都市：住
RPURMLQLQHIFFFH27DB,大華段,27.31,都市：住
RPXRMLQLQHIFFFH57DB,大華段,27.67,都市：住
RPPSMLQLQHIFFFH86DB,大華段,27.31,都市：住
RPQSMLQLQHIFFFH96DB,大華段,27.31,都市：住
RPSSMLQLQHIFFFH17DB,大華段,27.67,都市：住
RPUSMLQLQHIFFFH37DB,大華段,27.31,都市：住
RPVSMLQLQHIFFFH47DB,大華段,27.67,都市：住
RPWSMLQLQHIFFFH57DB,大華段,27.31,都市：住
RPXSMLQLQHIFFFH67DB,大華段,27.67,都市：住
RPOTMLQLQHIFFFH86DB,大華段,27.31,都市：住
RPPTMLQLQHIFFFH96DB,大華段,27.31,都市：住
RPQTMLQLQHIFFFH07DB,大華段,18.62,都市：住
RPRTMLQLQHIFFFH17DB,大華段,18.62,都市：住
RPSTMLQLQHIFFFH27DB,大華段,18.62,都市：住
RPTTMLQLQHIFFFH37DB,大華段,18.62,都市：住
RPUTMLQLQHIFFFH47DB,大華段,18.62,都市：住
RPVTMLQLQHIFFFH57DB,大華段,18.62,都市：住
RPWTMLQLQHIFFFH67DB,大華段,18.62,都市：住
RPXTMLQLQHIFFFH77DB,大華段,18.62,都市：住
RPOUMLQLQHIFFFH96DB,大華段,18.62,都市：住
