編號,車位類別,車位價格,車位面積平方公尺
RPXOMLLJJIIFFDF18CC,坡道平面,0,56.02
RPRNMLLJJIIFFCF37CC,坡道平面,0,
RPRNMLLJJIIFFCF37CC,坡道平面,0,
RPRNMLLJJIIFFCF37CC,坡道平面,0,
RPPNMLNJJIIFFIF97CC,坡道平面,0,24.80
RPVTMLPJJIIFFBF68CC,坡道平面,0,41.78
RPQVMLQJJIIFFBF48CC,坡道平面,0,15.85
RPQNMLRJJIIFFBF77CC,一樓平面,0,
RPQNMLRJJIIFFBF77CC,一樓平面,0,
RPOTMLRJJIIFFBF18CC,坡道平面,0,24.75
RPRTMLRJJIIFFBF48CC,坡道平面,0,
RPSWMLRJJIIFFBF88CC,坡道平面,0,17.07
RPVWMLRJJIIFFBF56CC,坡道平面,0,
RPRNNLRJJIIFFBF97CC,坡道平面,0,38.63
RPSPMLRJJIIFFEF58DC,坡道平面,0,
RPXNMLRJJIIFFCF58CC,坡道平面,0,
RPWOMLSJJIIFFCF78DC,坡道平面,0,31.94
RPWOMLSJJIIFFCF78DC,坡道平面,0,31.94
RPWOMLSJJIIFFCF78DC,坡道平面,0,31.94
RPWOMLSJJIIFFCF78DC,坡道平面,0,31.94
RPWOMLSJJIIFFEF88CC,坡道平面,5000,21.49
RPXNMLLKJIIFFDF18CC,坡道平面,0,40.16
RPUOMLLKJIIFFCF97DC,坡道平面,0,
RPQNMLMKJIIFFHF97CC,坡道平面,3600,47.76
RPXNMLMKJIIFFHF68CC,坡道平面,3600,47.76
RPQOMLMKJIIFFHF08CC,坡道平面,3600,47.76
RPVOMLMKJIIFFHF58CC,坡道平面,3600,47.76
RPQRMLMKJIIFFBF77CC,坡道平面,0,
RPVRMLMKJIIFFBF28CC,坡道平面,0,
RPUSMLMKJIIFFBF28CC,坡道平面,0,15.85
RPVSMLMKJIIFFBF38CC,坡道平面,0,34.01
RPQTMLMKJIIFFBF97CC,坡道平面,0,15.85
RPOUMLMKJIIFFBF87CC,坡道平面,0,
RPOUMLMKJIIFFBF87CC,坡道平面,0,
RPOUMLMKJIIFFBF87CC,坡道平面,0,
RPPVMLNKJIIFFBF18CC,坡道平面,0,32.14
RPQNMLNKJIIFFHF08CC,坡道機械,0,20.09
RPTSMLNKJIIFFHF88CC,坡道平面,0,18.20
RPTSMLNKJIIFFHF88CC,坡道平面,0,18.20
RPWSMLNKJIIFFBF78EC,坡道平面,0,
