編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPJNHJFFBQ78CA,20,85.44,住家用,鋼筋混凝土造,83年5月12日,七層,四層
RPVNMLMJNHJFFCQ56CA,12,99.21,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,五層
RPVNMLMJNHJFFCQ56CA,12,14.17,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPVNMLMJNHJFFCQ56CA,12,33.34,停車空間,鋼筋混凝土造,91年7月25日,五層,
RPUNMLKMNHJFFCQ56CA,32,113.50,住家用,鋼筋混凝土加強磚造,70年12月26日,二層,一層 二層 電梯樓梯間
RPOPMLRJNHJFFDQ66CA,23,220.29,住家用,鋼筋混凝土造,80年5月14日,五層,三層
RPOPMLRJNHJFFDQ66CA,23,105.39,共有部分,鋼筋混凝土造,80年5月14日,五層,
RPPNMLNLNHJFFDQ98CA,6,557.00,見其他登記事項,鋼筋混凝土造,97年8月4日,五層,一層 二層 三層 四層 五層
RPXNMLSLNHJFFDQ67CA,33,114.80,住家用,鋼筋混凝土加強磚造,69年10月16日,二層,一層 二層 騎樓
RPPNMLNJNHJFFEQ88CA,33,98.19,住家用,鋼筋混凝土加強磚造,70年9月5日,二層,一層 二層 騎樓
RPQNMLPJNHJFFDQ56DA,35,103.06,住商用,鋼筋混凝土加強磚造,68年9月29日,二層,一層 二層
RPSNMLRJNHJFFCQ96EA,32,58.35,住家用,鋼筋混凝土加強磚造,70年10月12日,一層,一層
RPRNMLMJNHJFFEQ56EA,23,129.73,住家用,鋼筋混凝土造,80年1月25日,三層,一層 二層 三層
RPUNMLMLNHJFFCQ86EA,1,191.99,住家用,鋼筋混凝土造,102年5月9日,四層,一層 二層 三層 四層
RPVNMLMLNHJFFCQ96EA,1,193.94,住家用,鋼筋混凝土造,102年5月9日,四層,一層 二層 三層 四層
RPTNMLPJNHJFFDQ86DA,20,128.29,住家用,鋼筋混凝土造,82年12月17日,三層,三層 一層 二層
RPQNMLQJNHJFFDQ66DA,18,192.91,見其他登記事項,鋼筋混凝土造,85年3月12日,五層,一層 二層 三層 四層 五層
RPQNMLRKNHJFFDQ76CA,31,139.31,住商用,鋼筋混凝土加強磚造,71年10月7日,三層,一層 二層 三層 騎樓
RPQNMLLKNHJFFDQ78CA,19,198.57,住家用,鋼筋混凝土造,84年5月18日,四層,一層 二層 三層 四層
RPOOMLQJNHJFFDQ09CA,31,127.71,住家用,鋼筋混凝土加強磚造,72年3月3日,三層,一層 二層 三層
RPQNMLPJNHJFFBQ88CA,8,54.79,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPQNMLPJNHJFFBQ88CA,8,36.33,共有部分,鋼筋混凝土造,95年8月28日,,
RPRNMLPJNHJFFBQ98CA,8,54.78,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPRNMLPJNHJFFBQ98CA,8,35.66,共有部分,鋼筋混凝土造,95年8月28日,,
RPSNMLPJNHJFFBQ09CA,8,32.94,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPSNMLPJNHJFFBQ09CA,8,28.36,共有部分,鋼筋混凝土造,95年8月28日,,
RPSNMLPJNHJFFBQ09CA,8,38.54,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPSNMLPJNHJFFBQ09CA,8,30.25,共有部分,鋼筋混凝土造,95年8月28日,,
RPUNMLTJNHJFFDQ27CA,43,49.95,住家用,見其他登記事項,60年1月15日,一層,一層
RPVNMLMKNHJFFDQ76CA,15,132.56,見其他登記事項,鋼筋混凝土造,88年5月31日,三層,一層 二層 三層
RPPNMLRKNHJFFDQ66CA,21,122.48,住家用,加強磚造,82年5月17日,二層,一層 二層
RPPNMLOKNHJFFEQ66EA,29,11.80,住家用,鋼筋混凝土加強磚造,73年10月4日,二層,一層 二層 騎樓
RPQOMLNJOHJFFCQ56EA,20,140.82,住家用,鋼筋混凝土造,82年11月3日,三層,一層 二層 三層
RPUNMLQJNHJFFDQ07DA,34,65.84,住家用,磚造,69年5月28日,一層,一層
RPTNMLSJNHJFFDQ17DA,35,90.68,住家用,鋼筋混凝土加強磚造,68年2月17日,二層,一層 二層 騎樓
RPRNMLTJNHJFFEQ07CA,35,115.62,見其他登記事項,見其他登記事項,68年8月31日,二層,一層 二層 屋頂突出物
RPQNMLTJNHJFFBQ76DA,19,70.31,住家用,鋼筋混凝土造,83年11月15日,七層,二層
RPQNMLTJNHJFFBQ76DA,19,23.12,見其他登記事項,鋼筋混凝土造,83年11月15日,七層,
RPRNMLNJOHJFFDQ09CA,5,164.37,見其他登記事項,鋼筋混凝土造,98年5月15日,三層,一層 二層 三層 見其他登記事項
RPWNMLTJNHJFFBQ27CA,23,124.09,住商用,鋼筋混凝土造,80年4月18日,三層,一層 二層 三層
RPXNMLTJNHJFFBQ37CA,29,95.68,住商用,鋼筋混凝土加強磚造,73年12月31日,二層,一層 二層
RPOOMLTJNHJFFBQ56CA,4,221.13,住商用,鋼筋混凝土造,98年11月11日,四層,一層 二層 三層 四層
RPOOMLTJNHJFFBQ56CA,4,.88,見其他登記事項,鋼筋混凝土造,98年11月11日,二層,一層 二層
RPPNMLLKNHJFFBQ48CA,18,110.91,住家用,鋼筋混凝土造,85年8月15日,十四層,三層
RPPNMLLKNHJFFBQ48CA,18,42.79,見其他登記事項,鋼筋混凝土造,85年8月15日,十四層,
RPTNMLMKNHJFFCQ09CA,1,178.70,見其他登記事項,鋼筋混凝土造,102年10月23日,三層,一層 二層 三層 見其他登記事項
RPVNMLMKNHJFFCQ66CA,20,104.70,住家用,鋼筋混凝土造,82年12月14日,七層,三層
RPVNMLMKNHJFFCQ66CA,20,9.47,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPVNMLMKNHJFFCQ66CA,20,9.90,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPTNMLNKNHJFFCQ56CA,34,115.33,住商用,鋼筋混凝土加強磚造,69年8月4日,二層,一層 二層 騎樓 電梯樓梯間
RPVNMLRKNHJFFCQ17CA,19,334.32,住家用,鋼筋混凝土造,83年12月30日,三層,一層 二層 三層
RPPNMLMJOHJFFDQ78CA,32,123.88,住家用,鋼筋混凝土加強磚造,70年12月22日,三層,一層 二層 三層
RPSNMLNLNHJFFDQ66CA,86,35.26,住家用,竹造,17年10月1日,一層,一層
RPQNMLKMNHJFFDQ88CA,23,235.20,住商用,鋼筋混凝土造,80年3月20日,四層,一層 二層 三層 四層
RPTNMLTJNHJFFDQ27DA,32,97.00,住家用,鋼筋混凝土加強磚造,71年9月10日,二層,一層 二層
RPPNMLMKNHJFFDQ98EA,12,170.00,住家用,鋼筋混凝土造,91年8月16日,4,一層 二層 三層 四層
RPPNMLMKNHJFFCQ78DA,1,276.22,見其他登記事項,鋼筋混凝土造,102年7月22日,三層,一層 二層 三層 見其他登記事項
RPXNMLTJNHJFFDQ57CA,1,194.55,住家用,鋼筋混凝土造,103年1月16日,四層,一層 二層 三層 四層
RPOOMLTJNHJFFDQ76CA,1,201.94,住家用,鋼筋混凝土造,103年1月16日,四層,一層 二層 三層 四層
RPPNMLNKNHJFFDQ88CA,33,89.63,住商用,鋼筋混凝土加強磚造,70年10月17日,二層,一層 二層 騎樓
RPQOMLRLNHJFFCQ86CA,12,103.84,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,四層
RPQOMLRLNHJFFCQ86CA,12,15.40,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPQOMLRLNHJFFCQ86CA,12,33.34,停車空間,鋼筋混凝土造,91年7月25日,五層,
RPPNMLNKNHJFFCQ78CA,19,141.02,住商用,鋼筋混凝土造,84年1月13日,三層,一層 二層 三層 電梯樓梯間
RPSNMLTJNHJFFBQ86CA,8,77.27,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPSNMLTJNHJFFBQ86CA,8,45.28,共有部份,鋼筋混凝土造,95年8月28日,,
RPSNMLTJNHJFFBQ86CA,8,22.39,住家用,鋼筋混凝土造,95年8月28日,八層,五層
RPSNMLTJNHJFFBQ86CA,8,6.54,共有部份,鋼筋混凝土造,95年8月28日,,
RPSNMLTJNHJFFBQ86CA,8,8.89,共有部份,鋼筋混凝土造,95年8月28日,,
RPTNMLTJNHJFFBQ96CA,8,51.58,商業用,鋼筋混凝土造,95年8月28日,八層,一層
RPTNMLTJNHJFFBQ96CA,8,35.66,共有部份,鋼筋混凝土造,95年8月28日,,
RPPNMLRKNHJFFCQ56CA,33,98.81,住家用,鋼筋混凝土加強磚造,70年10月15日,二層,一層 二層
RPQNMLTKNHJFFCQ96DA,,211.41,見其他登記事項,鋼筋混凝土造,103年2月24日,三層,一層 二層 三層 見其他登記事項
RPPNMLOKNHJFFCQ09EA,31,.25,國民住宅,鋼筋混凝土造,72年3月12日,五層,一層
RPPNMLOKNHJFFCQ09EA,31,7.86,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPPNMLOKNHJFFCQ09EA,31,61.08,國民住宅,鋼筋混凝土造,72年3月12日,五層,五層
RPPNMLOKNHJFFCQ09EA,31,7.92,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPQNMLOKNHJFFCQ56EA,31,.25,國民住宅,鋼筋混凝土造,72年3月12日,五層,一層
RPQNMLOKNHJFFCQ56EA,31,7.86,共有部份,鋼筋混凝土造,72年3月12日,五層,
