¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¤¤¦è°Ï¤¤¤s¸ô61~90¸¹,7.02,°Ó,,,1030620,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840725,106.07,2,2,1,¦³,¦³,4800000,45253,©Y¹D¥­­±,0.0,0,,RPTNMLOJQHJFFAD97CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¥ÃµØ¤Kµó121~150¸¹,171.0,¦í,,,1030607,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0761117,347.87,8,2,8,¦³,µL,6700000,19260,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPOMLPJQHJFFAD77CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°p¥­¸ô181~210¸¹,18.71,¦í,,,1030715,¤g¦a1«Øª«1¨®¦ì1,¤­¼h¡A¤»¼h,¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850907,201.26000000000002,3,2,2,¦³,¦³,6801000,33792,©Y¹D¥­­±,0.0,0,,RPQNMLRJQHJFFAD97CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï©M½n¸ô¤­¬q181~210¸¹,165.41,¦í,,,1030716,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1020409,444.4,5,3,7,¦³,µL,41180000,92664,,0.0,0,,RPROMLKLQHJFFAD67CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¨|¥­¸ô31~60¸¹,20.3,¦í,,,1010403,¤g¦a1«Øª«1¨®¦ì0,¤Q¥|¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1021225,139.53,3,2,2,¦³,¦³,4600000,32968,,0.0,0,,RPTNMLKMQHJFFAD87CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¨|¥­¸ô61~90¸¹,14.07,¦í,,,1010910,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1021125,123.7,1,2,1,¦³,¦³,3695500,29875,©Y¹D¥­­±,30.14,0,,RPSNMLLJRHJFFAD67CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¨|¥­¸ô61~90¸¹,14.07,¦í,,,1010910,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1021125,123.95,1,2,1,¦³,¦³,3655300,29490,©Y¹D¥­­±,30.14,0,,RPTNMLLJRHJFFAD77CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¨|¥­¸ô31~60¸¹,27.06,¦í,,,1021025,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h¡A¤Q¥|¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1021225,212.82,3,2,2,¦³,¦³,9257600,43500,©Y¹D¥­­±,30.14,0,,RPUNMLLJRHJFFAD87CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï²W¤¤¨½¦w¤¤¸ô¥|¬q151~180¸¹,84.47,¦í,,,1030701,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,1001104,189.74,4,2,4,¦³,µL,8500000,44798,,0.0,0,,RPPNMLPJQHJFFBD77CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¦w©M¸ô¤@¬q123«Ñ1~30¸¹,118.9,¦í,,,1030721,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020918,213.93,5,2,4,¦³,µL,14000000,65442,,0.0,0,¨p«´¤é´Á:103.06.21,RPROMLRJQHJFFBD28CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¤j¸t¤@µó101«Ñ1~30¸¹,128.96,¦í,,,1030606,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020726,212.48,5,2,3,¦³,µL,9400000,44239,,0.0,0,¨p«´¤é´Á:103.05.10,RPSOMLRJQHJFFBD38CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï®ü¦ú¸ô¤@¬q372«Ñ1~30¸¹,91.75,¦í,,,1030728,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0921231,171.3,6,2,3,¦³,µL,9840000,57443,,0.0,0,,RPTOMLSJQHJFFBD58CA
¦w«n°Ï,¤g¦a,«n¿³¬q511~540¦a¸¹,624.78,¹A,,,1030729,¤g¦a5«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3205100,5130,,0.0,0,¦aÄy²M²z¥N¬°¼Ð°â¨ú±o,RPPNMLOKQHJFFBD77CA
¦w«n°Ï,¤g¦a,¬ì¤u¬q721~750¦a¸¹,16129.56,¤u,,,1030714,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,197365592,12236,,0.0,0,,RPQNMLRLQHJFFBD28CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¦w©M¸ô¤@¬q220«Ñ129§Ë1~30¸¹,81.03,¦í,,,1030726,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030326,195.91,4,2,4,¦³,µL,8800000,44919,,0.0,0,,RPQNMLTLQHJFFBD48CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ï·s³£¸ô520«Ñ61~90¸¹,11.68,¦í,,,1030726,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0720204,72.61,1,1,1,¦³,¦³,420000,5784,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLOJQHJFFCD77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ï°·±d¸ô¤@¬q391«Ñ1~30¸¹,16.83,¨ä¥L,,,1030629,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0710201,62.97,2,1,1,¦³,µL,1890000,30014,,0.0,0,,RPPOMLRJQHJFFCD18CA
