編號,車位類別,車位價格,車位面積平方公尺
RPWNMLPKQHJFFBG09EA,坡道平面,0,
RPRNMLSJQHJFFAG48CA,一樓平面,0,
RPSNMLRJQHJFFBG78EA,坡道平面,0,
RPRPMLOKQHJFFAG38CA,一樓平面,0,
RPOOMLSKQHJFFBG48CA,坡道平面,0,
RPSNMLSJQHJFFBG88EA,升降平面,0,
RPPNMLOKQHJFFBG28EA,坡道平面,0,
RPUNMLNKQHJFFBG48CA,坡道機械,0,
RPPRMLKLQHJFFAG08CA,坡道機械,0,
RPTOMLMKQHJFFAG28CA,坡道機械,0,
RPVNMLTKQHJFFBG76EA,一樓平面,0,
RPQNMLNKQHJFFBG28EA,坡道平面,0,
RPPPMLNKQHJFFBG38EA,坡道機械,0,
RPSNMLTJRHJFFAG98EA,坡道機械,0,
RPUNMLPKQHJFFAG58CA,一樓平面,0,
RPUNMLSKQHJFFAG88CA,坡道平面,0,15.00
RPUNMLSKQHJFFAG88CA,坡道平面,0,15.00
RPQNMLQKQHJFFAG28CA,坡道平面,0,
RPXOMLTKQHJFFBG86CA,坡道平面,0,
RPOPMLTKQHJFFBG68CA,坡道平面,0,
RPOPMLTKQHJFFBG68CA,坡道平面,0,
RPTNMLMLQHJFFAG48EA,坡道平面,0,
RPQNMLSLQHJFFAG58CA,坡道平面,0,
RPPOMLLLQHJFFAG87CA,坡道平面,0,44.81
RPPOMLLLQHJFFAG87CA,坡道平面,0,44.82
RPVQMLKKRHJFFBG68CA,坡道平面,0,
RPVQMLKKRHJFFBG68CA,坡道平面,0,
RPRNMLNLQHJFFBG28CA,升降機械,0,
RPSOMLSLQHJFFBG98CA,坡道平面,0,
RPVNMLRLQHJFFBG66EA,坡道平面,0,
RPTNMLLJRHJFFBG38EA,坡道機械,0,
RPOOMLRLQHJFFBG48CA,坡道平面,0,
RPRNMLLJRHJFFBG18EA,升降機械,0,
RPXNMLMJRHJFFAG58CA,坡道平面,0,
RPQPMLTLQHJFFAG88CA,坡道平面,0,
RPUPMLLJRHJFFBG48CA,坡道平面,0,
RPUNMLLKRHJFFAG48EA,坡道平面,0,
RPVRMLTLQHJFFBG07CA,一樓平面,0,
RPTQMLTJRHJFFBG66CA,坡道平面,0,
RPXNMLMKRHJFFBG98EA,坡道機械,0,
RPPOMLNJRHJFFAG97CA,坡道平面,0,
RPSQMLTJRHJFFBG56CA,坡道平面,0,
RPVNMLQKRHJFFBG98CA,坡道平面,0,
RPWNMLQLRHJFFAG09CA,一樓平面,0,
RPVPMLTJRHJFFAG66CA,坡道平面,0,
RPPNMLNLRHJFFAG28EA,坡道平面,0,
RPRQMLKKRHJFFBG28CA,坡道機械,0,
RPROMLMLRHJFFBG38CA,坡道平面,0,
RPWNMLSJIIJFFBG38CA,坡道平面,0,
RPQQMLMJIIJFFBG47CA,坡道平面,0,
RPXNMLSKRHJFFBG76CA,坡道平面,0,
RPRNMLMLRHJFFBG28CA,坡道平面,0,
RPWPMLLKRHJFFBG78CA,坡道平面,0,
RPWNMLLKRHJFFAG48CA,其他,0,
