¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥xªF¥«,¤g¦a,«Ø©M¬q1591~1620¦a¸¹,1639.18,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1030713,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1930000,1177,,0.0,0,,RPRNMLPJQHJFFAV07CA
¥xªF¥«,¤g¦a,Â×·½¬q1081~1110¦a¸¹,4758.04,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1030603,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5300000,1114,,0.0,0,,RPUNMLPJQHJFFAV37CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]§Ó¯è¸ô¤@¬q477«Ñ61~90¸¹,123.55,¦í,,,1030621,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030120,225.66,4,2,5,¦³,µL,8100000,35895,,0.0,0,,RPWNMLPJQHJFFAV57CA
¨õ«n¶m,¤g¦a,§Q®a¬q5251~5280¦a¸¹,2118.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1030718,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2620000,1237,,0.0,0,,RPPOMLLKQHJFFAV66CA
¥xªF¥«,¤g¦a,ª¾¥»¬q7891~7920¦a¸¹,2500.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1030707,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4450000,1780,,0.0,0,,RPWNMLPLQHJFFAV77CA
ªøÀØ¶m,¤g¦a,ªøÀØ¬q181~210¦a¸¹,305.0,,­·´º°Ï,ªL·~¥Î¦a,1030716,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,118950,390,,0.0,0,,RPSNMLPJQHJFFBV27CA
ªøÀØ¶m,¤g¦a,¤¤ÀØ¬q±½§O¤p¬q181~210¦a¸¹,2910.0,,­·´º°Ï,¹Aªª¥Î¦a,1030716,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3600000,1237,,0.0,0,,RPSNMLRJQHJFFBV47CA
ªFªe¶m,¤g¦a,¥_¨Î¨½¬q541~570¦a¸¹,2585.27,,­·´º°Ï,¹Aªª¥Î¦a,1030612,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4800000,1857,,0.0,0,,RPTNMLSJQHJFFBV67CA
³À³¥¶m,¤g¦a,³À³¥¬q871~900¦a¸¹,3024.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1030721,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3900000,1290,,0.0,0,,RPPNMLPJQHJFFCV07CA
¤Ó³Â¨½¶m,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤¨õ«n¶mÀs¬u¸ô53«Ñ1~30¸¹,8.08,¦í,,,1030717,¤g¦a2«Øª«1¨®¦ì0,¥|¼h,¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830930,37.61,1,1,1,¦³,¦³,680000,18080,,0.0,0,,RPPNMLPKQHJFFDV27CA
¦¨¥\Âí,¤g¦a,¥É´ä¬q631~660¦a¸¹,5816.32,,­·´º°Ï,¹Aªª¥Î¦a,1020705,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6785700,1167,,0.0,0,,RPPNMLNJQHJFFBV86DA
¦¨¥\Âí,¤g¦a,¦¨¥\¬q481~510¦a¸¹,19.18,¦í,,,1030721,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,200000,10428,,0.0,0,,RPPNMLRJQHJFFBV27DA
¦¨¥\Âí,¤g¦a,©¾´¼¬q91~120¦a¸¹,118.54,¦í,,,1030709,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1000000,8436,,0.0,0,,RPQNMLRJQHJFFBV37DA
¦¨¥\Âí,«Øª«,»OªF¿¤¦¨¥\Âí2¾F©M¥­¸ô31~60¸¹,0.0,,,,1030709,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0700720,68.09,1,1,1,¦³,µL,40700,598,,0.0,0,,RPRNMLRJQHJFFBV47DA
¦À¤W¶m,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤¦À¤W¶m³°¦w1~30¸¹,126.05,,¤@¯ë¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1030604,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0740322,44.66,2,1,1,¦³,µL,400000,8957,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPQNMLQJQHJFFCV37DA
Ãö¤sÂí,¤g¦a,¤é¥X¬q721~750¦a¸¹,2030.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1030725,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,600000,296,,0.0,0,,RPSNMLQJQHJFFCV57DA
¥xªF¥«,¤g¦a,Â×¤u¬q61~90¦a¸¹,3052.02,¤u,,,1030729,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,21943000,7190,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPVNMLRJQHJFFAV77DA
ªFªe¶m,¤g¦a,«n¨Î¨½¬q301~330¦a¸¹,3651.99,,­·´º°Ï,¹Aªª¥Î¦a,1030624,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10000000,2738,,0.0,0,,RPPNMLSJQHJFFBV27CA
¦¨¥\Âí,¤g¦a,³£Â×¬q841~870¦a¸¹,5681.34,,­·´º°Ï,¹Aªª¥Î¦a,1030721,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7000000,1232,,0.0,0,,RPPNMLOLQHJFFBV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]Á{®ü¸ô¤@¬q159«Ñ4§Ë1~30¸¹,64.0,¦í,,,1030707,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0670424,85.34,3,2,2,¦³,µL,3500000,41012,,0.0,0,,RPWNMLRJQHJFFAV77CA
¥xªF¥«,¤g¦a,´I©£¬q361~390¦a¸¹,6953.36,,­·´º°Ï,¹Aªª¥Î¦a,1030514,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10700000,1539,,0.0,0,,RPPNMLSJQHJFFAV17CA
¥xªF¥«,¤g¦a,·s¥Í¬q91~120¦a¸¹,90.0,¦í,,,1030717,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1360000,15111,,0.0,0,,RPROMLPJQHJFFAV17CA
