編號,車位類別,車位價格,車位面積平方公尺
RPWOMLTKJIJFFBJ56CB,坡道平面,0,3.53
RPTPMLTKJIJFFBJ98CB,坡道平面,0,3.53
RPWPMLTKJIJFFBJ66CB,坡道平面,0,3.53
RPPQMLTKJIJFFBJ68CB,坡道平面,0,3.53
RPQQMLTKJIJFFBJ78CB,坡道平面,0,3.53
RPRQMLTKJIJFFBJ88CB,坡道平面,0,3.53
RPSQMLTKJIJFFBJ98CB,坡道平面,0,3.53
RPVQMLTKJIJFFBJ66CB,坡道平面,0,3.53
RPWQMLTKJIJFFBJ76CB,坡道平面,0,3.53
RPXQMLTKJIJFFBJ86CB,坡道平面,0,3.53
RPORMLTKJIJFFBJ68CB,坡道平面,0,3.53
RPPRMLTKJIJFFBJ78CB,坡道平面,0,3.53
RPRRMLTKJIJFFBJ98CB,坡道平面,0,3.53
RPTRMLTKJIJFFBJ56CB,坡道平面,0,3.53
RPURMLTKJIJFFBJ66CB,坡道機械,0,2.24
RPVRMLTKJIJFFBJ76CB,坡道機械,0,24.40
RPWRMLTKJIJFFBJ86CB,坡道平面,0,3.53
RPXRMLTKJIJFFBJ96CB,坡道平面,0,3.53
RPQSMLTKJIJFFBJ98CB,坡道平面,0,3.53
RPSSMLTKJIJFFBJ56CB,坡道平面,0,3.53
RPUSMLTKJIJFFBJ76CB,坡道平面,0,3.35
RPVSMLTKJIJFFBJ86CB,坡道平面,0,3.35
RPXSMLTKJIJFFBJ07CB,坡道平面,0,3.35
RPOTMLTKJIJFFBJ88CB,坡道機械,0,2.24
RPPTMLTKJIJFFBJ98CB,坡道機械,0,2.24
RPQTMLTKJIJFFBJ09CB,坡道機械,0,2.24
RPRTMLTKJIJFFBJ56CB,坡道機械,0,2.24
RPSTMLTKJIJFFBJ66CB,坡道機械,0,2.24
RPTTMLTKJIJFFBJ76CB,坡道機械,0,2.24
RPUTMLTKJIJFFBJ86CB,坡道機械,0,2.24
RPRNMLKLJIJFFBJ77CB,坡道平面,0,3.35
RPSNMLKLJIJFFBJ87CB,坡道平面,0,3.35
RPWNMLKLJIJFFBJ28CB,坡道平面,0,3.35
RPXNMLKLJIJFFBJ38CB,坡道平面,0,3.35
RPOOMLKLJIJFFBJ57CB,坡道平面,0,3.35
RPPOMLKLJIJFFBJ67CB,坡道機械,0,2.24
RPROMLKLJIJFFBJ87CB,坡道平面,0,2.24
RPSOMLKLJIJFFBJ97CB,坡道機械,0,2.24
RPTOMLKLJIJFFBJ08CB,坡道機械,0,2.24
RPWOMLKLJIJFFBJ38CB,坡道機械,0,2.24
RPOPMLKLJIJFFBJ67CB,坡道平面,0,2.24
RPPPMLKLJIJFFBJ77CB,坡道平面,0,3.35
RPRPMLKLJIJFFBJ97CB,坡道機械,0,2.24
RPSPMLKLJIJFFBJ08CB,坡道機械,0,2.24
RPTPMLKLJIJFFBJ18CB,坡道機械,0,2.24
RPUPMLKLJIJFFBJ28CB,坡道平面,0,3.35
RPVPMLKLJIJFFBJ38CB,坡道平面,0,3.35
RPWPMLKLJIJFFBJ48CB,坡道機械,0,2.24
RPXPMLKLJIJFFBJ58CB,坡道機械,0,2.24
RPOQMLKLJIJFFBJ77CB,坡道機械,0,2.24
RPPQMLKLJIJFFBJ87CB,坡道機械,0,2.24
RPQQMLKLJIJFFBJ97CB,坡道機械,0,2.24
RPRQMLKLJIJFFBJ08CB,坡道機械,0,2.24
RPSQMLKLJIJFFBJ18CB,坡道機械,0,2.24
RPTQMLKLJIJFFBJ28CB,坡道機械,0,2.24
RPUQMLKLJIJFFBJ38CB,坡道平面,0,3.35
RPVQMLKLJIJFFBJ48CB,坡道機械,0,2.24
RPWQMLKLJIJFFBJ58CB,坡道平面,0,3.35
RPXQMLKLJIJFFBJ68CB,坡道機械,0,2.24
RPORMLKLJIJFFBJ87CB,坡道機械,0,2.24
RPPRMLKLJIJFFBJ97CB,坡道機械,0,2.24
RPRRMLKLJIJFFBJ18CB,坡道機械,0,2.24
RPSRMLKLJIJFFBJ28CB,坡道機械,0,2.24
RPVRMLKLJIJFFBJ58CB,坡道平面,0,3.35
RPWRMLKLJIJFFBJ68CB,坡道平面,0,3.35
RPXRMLKLJIJFFBJ78CB,坡道平面,0,3.35
RPOSMLKLJIJFFBJ97CB,坡道平面,0,3.35
RPPSMLKLJIJFFBJ08CB,坡道平面,0,3.35
RPQSMLKLJIJFFBJ18CB,坡道平面,0,3.35
RPRSMLKLJIJFFBJ28CB,坡道平面,0,3.35
RPTSMLKLJIJFFBJ48CB,坡道平面,0,3.35
RPUSMLKLJIJFFBJ58CB,坡道平面,0,3.35
RPQNMLPLJIJFFBJ18CB,坡道平面,0,3.53
RPRNMLPLJIJFFBJ28CB,坡道平面,0,3.53
RPTNMLPLJIJFFBJ48CB,坡道平面,0,3.53
