╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞╔]д╤▓╗╕Ї215л╤1~30╕╣,21.54,жэ,,,1030917,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбA├M╝╙,дK╝h,й▒н▒(й▒╛Q),жэ░╙е╬,┐√╡м▓V╛одg│y,0840825,129.9,0,0,2,ж│,╡L,4020000,30947,,0.0,0,,RPSOMLPJJIJFFAN48CA
кт╢щ╢m,дgжa,╖s┐д╔▄мq391~420жa╕╣,2.19,,дsйYжaлOи|░╧,╣Aкке╬жa,1030901,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13200,6027,,0.0,0,,RPTNMLQJJIJFFAN58CA
кт╢щ╢m,дgжa,╖s┐д╔▄мq391~420жa╕╣,153.25,,дsйYжaлOи|░╧,╣Aкке╬жa,1030901,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,927000,6049,,0.0,0,,RPUNMLQJJIJFFAN68CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞╔]н^дh╕Ї133л╤1~30╕╣,112.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1031019,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690801,134.74,6,2,3,ж│,╡L,5500000,40819,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPVNMLQJJIJFFAN78CA
кт╢щ╢m,дgжa,▓MдЇмq1321~1350жa╕╣,1496.52,╣A,,,1030811,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,25000000,16705,,0.0,0,,RPWOMLQJJIJFFAN98CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞╔]оH╢з╡є53л╤23з╦1~30╕╣,96.87,жэ,,,1031023,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0961114,260.68,5,2,3,ж│,ж│,13500000,51788,,0.0,0,,RPQNMLRJJIJFFAN38CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞╔]ж█▒jлn╕Ї391~420╕╣,94.0,жэ,,,1031019,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0930225,208.4,0,0,0,╡L,╡L,13800000,66219,,0.0,0,м░┤Lнл┼vзQдH┴Їиp┼vеD▒iбAжaмFдh╡LкkдJл╬▓{│ї░╔мdбAе╤┼vзQдH┤ги╤л╪кл▓{кpоцз╜╣ъ╗┌╕ъ░TбAи╤жaмFдhе╙│°╡n┐¤бCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPPOMLQJJIJFFAN28CA
╣№д╞ел,й╨жa(дgжa+л╪кл),╣№д╞┐д╣№д╞╔]ж╦йM╕Ї211~240╕╣,96.0,жэ,,,1030829,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0780830,171.7,4,2,2,ж│,╡L,8500000,49505,,0.0,0,,RPWNMLMKJIJFFAN58CA
╣№д╞ел,й╨жa(дgжa+л╪кл)+иожь,╣№д╞┐д╣№д╞╔]└s▓Cе_╕Ї301~330╕╣,30.69,жэ,,,1031006,дgжa3л╪кл1иожь1,дC╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0810724,204.35,3,1,2,ж│,ж│,5300000,25936,йY╣Dенн▒,0.0,0,,RPQNMLRKJIJFFAN48CA
иqдЇ╢m,й╨жa(дgжa+л╪кл),╣№д╞┐диqдЇ╢mе┴е═╡є631~660╕╣,63.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1031016,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0730711,118.2,4,1,3,ж│,╡L,3800000,32149,,0.0,0,┐╦д═╢бдзецйЎбCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPPNMLTKJIJFFAN58CA
