¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
°¨¤½¥«,¤g¦a,ªF½Ã¬q901~930¦a¸¹,85.01,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040131,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,425037,5000,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPVOMLNJKHKFFAX07CA
°¨¤½¥«,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤°¨¤½É]¶§©ú¸ô1~30¸¹,44.65,¦í,,,1031230,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0610101,63.96,2,0,3,¦³,µL,7200000,112570,,0.0,0,,RPPNMLOJKHKFFAX09CA
´ò¦è¶m,¤g¦a,ªL§ë¥_¬q751~780¦a¸¹,192.6,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1031225,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,500000,2596,,0.0,0,,RPPNMLPJKHKFFAX56CA
°¨¤½¥«,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤°¨¤½É]¥Û¬u1~30¸¹,359.68,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040126,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±jªÅ¤ß¿j³y,0600105,99.33,3,2,1,¦³,µL,8830000,88896,,0.0,0,,RPSNMLKKKHKFFAX09CA
´ò¦è¶m,¤g¦a,«n¼d¥_¬q1171~1200¦a¸¹,795.24,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1040119,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1034000,1300,,0.0,0,,RPXNMLOJKHKFFAX27CA
°¨¤½¥«,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤°¨¤½É]ªL´Ë¸ô81«Ñ1~30¸¹,54.98,¦í,,,1040126,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±jªÅ¤ß¿j³y,0640318,73.08,5,2,3,¦³,µL,4260000,58292,,0.0,0,,RPUNMLPJKHKFFAX07CA
°¨¤½¥«,©Ð¦a(¤g¦a+«Øª«),¼ê´ò¿¤°¨¤½É]ªL´Ë¸ô15«Ñ1~30¸¹,10.99,¦í,,,1031231,¤g¦a4«Øª«1¨®¦ì0,¤T¼h,¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840707,41.980000000000004,1,1,1,¦³,µL,1600000,38113,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPQNMLQJKHKFFAX86DA
°¨¤½¥«,¤g¦a,°ê¦v¬q541~570¦a¸¹,230.27,¦í,,,1031231,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3400000,14765,,0.0,0,,RPTOMLNJKHKFFAX07EA
°¨¤½¥«,¤g¦a,¦w¦v¬q601~630¦a¸¹,487.14,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1031231,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,839900,1724,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPSNMLOJKHKFFAX96EA
´ò¦è¶m,¤g¦a,ªL§ë¥_¬q691~720¦a¸¹,1942.62,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1040203,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,800000,412,,0.0,0,,RPWNMLLKKHKFFAX17EA
°¨¤½¥«,¤g¦a,¤å¼d¬q721~750¦a¸¹,1197.58,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1031230,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6882000,5747,,0.0,0,,RPOOMLPJKHKFFAX66DA
°¨¤½¥«,¤g¦a,¥úºa¬q451~480¦a¸¹,67.82,¦í,,,1040127,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3905000,57579,,0.0,0,·î¹s¦a©Î¦³¦X¨Ö¨Ï¥Î¤§¥æ©ö¡C,RPRNMLQJKHKFFAX96DA
°¨¤½¥«,¤g¦a,ÅK½u¬q901~930¦a¸¹,599.22,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1031227,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1850000,3087,,0.0,0,,RPPNMLTJKHKFFAX07DA
