編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSPMLOJNHKFFAB67CA,19,23.28,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,十四層
RPSPMLOJNHKFFAB67CA,19,5.12,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPSPMLOJNHKFFAB67CA,19,6.02,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPSOMLPJNHKFFAB67CA,20,19.09,住家用,鋼筋混凝土造,84年1月13日,十九層,四層
RPSOMLPJNHKFFAB67CA,20,3.14,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,6.87,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,23.31,住家用,鋼筋混凝土造,84年1月13日,十九層,四層
RPSOMLPJNHKFFAB67CA,20,3.84,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,8.40,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,17.33,住家用,鋼筋混凝土造,84年1月13日,十九層,五層
RPSOMLPJNHKFFAB67CA,20,2.84,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLPJNHKFFAB67CA,20,6.24,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPWOMLPJNHKFFAB08CA,36,61.87,住家用,鋼筋混凝土造,68年5月17日,五層,四層
RPQNMLQJNHKFFAB47CA,33,98.81,住家用,鋼筋混凝土造,70年10月1日,五層,四層
RPXNMLQJNHKFFAB18CA,10,73.41,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,九層
RPXNMLQJNHKFFAB18CA,10,13.97,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPXNMLQJNHKFFAB18CA,10,24.78,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPSNMLRJNHKFFAB77CA,16,51.85,住家用,鋼筋混凝土造,87年9月30日,十二層,五層
RPSNMLRJNHKFFAB77CA,16,14.09,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPSNMLSJNHKFFAB87CA,22,20.39,住家用,鋼筋混凝土造,82年6月11日,七層,六層
RPSNMLSJNHKFFAB87CA,22,9.45,共有部份,鋼筋混凝土造,82年6月11日,七層,
RPXOMLPKNHKFFAB28CA,19,27.49,見其他登記事項,鋼筋混凝土造,85年6月27日,二十一層,十六層
RPXOMLPKNHKFFAB28CA,19,14.25,見其他登記事項,鋼筋混凝土造,85年6月27日,二十一層,
RPPNMLTKNHKFFAB77CA,,53.98,住家用,磚造,,二層,一層 二層
RPPNMLKLNHKFFAB96CA,16,61.70,住家用,鋼筋混凝土造,87年12月19日,九層,九層
RPPNMLKLNHKFFAB96CA,16,8.20,共有部份,鋼筋混凝土造,87年12月19日,九層,
RPPNMLKLNHKFFAB96CA,16,35.42,共有部份,鋼筋混凝土造,87年12月19日,九層,
RPRRMLKLNHKFFAB57CA,26,121.57,住家用,鋼筋混凝土造,77年11月4日,三層,一層 二層 三層
RPVNMLLLNHKFFAB67CA,2,56.41,見其他登記事項,鋼筋混凝土造,104年2月17日,十四層,
RPVNMLLLNHKFFAB67CA,2,83.80,見其他登記事項,鋼筋混凝土造,104年2月17日,十四層,一層 騎樓 見其他登記事項
RPWNMLLLNHKFFAB77CA,2,58.21,見其他登記事項,鋼筋混凝土造,104年2月17日,十四層,
RPWNMLLLNHKFFAB77CA,2,89.11,見其他登記事項,鋼筋混凝土造,104年2月17日,十四層,一層 騎樓 見其他登記事項
RPPNMLMLNHKFFAB17CA,24,118.86,住家用,鋼筋混凝土造,80年8月8日,七層,二層
RPPNMLMLNHKFFAB17CA,24,40.56,共有部份,鋼筋混凝土造,80年8月8日,七層,
RPWNMLNLNHKFFAB97CA,17,108.94,見其他登記事項,鋼筋混凝土造,86年11月11日,八層,一層 二層 騎樓
RPWNMLNLNHKFFAB97CA,17,13.34,共有部份,鋼筋混凝土造,86年11月11日,八層,
RPWNMLNLNHKFFAB97CA,17,26.72,見其他登記事項,鋼筋混凝土造,86年11月11日,八層,
RPPOMLOJNHKFFBB37CA,42,26.01,住家用,鋼筋混凝土加強磚造,61年12月1日,二層,一層 二層
RPPOMLOJNHKFFBB37CA,42,26.01,住家用,鋼筋混凝土加強磚造,61年12月1日,二層,一層 二層
RPTOMLOJNHKFFBB77CA,,333.96,見其它登記事項,鋼筋混凝土造,103年11月7日,五層,一層 二層 三層 四層 五層 見其它登記事項
RPRPMLOJNHKFFBB67CA,17,119.19,住家用,鋼筋混凝土造,87年8月25日,九層,一層
RPRPMLOJNHKFFBB67CA,17,39.62,共有部份,鋼筋混凝土造,87年8月25日,九層,
RPRPMLOJNHKFFBB67CA,17,13.99,共有部份,鋼筋混凝土造,87年8月25日,九層,
RPUOMLPJNHKFFBB97CA,7,87.86,住家用,鋼筋混凝土造,97年1月22日,十五層,二層
RPUOMLPJNHKFFBB97CA,7,18.20,共有部份,鋼筋混凝土造,97年1月22日,十五層,
RPUOMLPJNHKFFBB97CA,7,39.88,共有部份,鋼筋混凝土造,97年1月22日,十五層,
RPUNMLRJNHKFFBB08CA,1,82.54,住家用,鋼筋混凝土造,103年10月22日,十二層,二層
RPUNMLRJNHKFFBB08CA,1,44.29,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPUNMLRJNHKFFBB08CA,1,16.43,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPVNMLRJNHKFFBB18CA,1,82.04,住家用,鋼筋混凝土造,103年10月22日,十二層,十二層
RPVNMLRJNHKFFBB18CA,1,44.07,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPVNMLRJNHKFFBB18CA,1,19.79,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPWNMLRJNHKFFBB28CA,1,82.04,住家用,鋼筋混凝土造,103年10月22日,十二層,三層
RPWNMLRJNHKFFBB28CA,1,44.07,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPWNMLRJNHKFFBB28CA,1,19.79,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPXNMLRJNHKFFBB38CA,1,82.04,住家用,鋼筋混凝土造,103年10月22日,十二層,二層
RPXNMLRJNHKFFBB38CA,1,44.18,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPXNMLRJNHKFFBB38CA,1,18.52,見其它登記事項,鋼筋混凝土造,103年10月22日,十二層,
RPXOMLRJNHKFFBB48CA,22,74.43,住家用,鋼筋混凝土造,82年9月4日,七層,四層
RPXOMLRJNHKFFBB48CA,22,13.32,共有部份,鋼筋混凝土造,82年9月4日,七層,
RPPPMLRJNHKFFBB77CA,24,90.15,住家用,鋼筋混凝土造,79年12月28日,八層,六層
RPPPMLRJNHKFFBB77CA,24,13.65,共有部份,鋼筋混凝土造,79年12月28日,八層,
RPPPMLRJNHKFFBB77CA,24,18.43,見其它登記事項,鋼筋混凝土造,79年12月28日,八層,地下層
RPQPMLPJNHKFFBB67CA,22,91.83,住家用,鋼筋混凝土造,82年8月7日,七層,四層
RPQPMLPJNHKFFBB67CA,22,38.11,共有部份,鋼筋混凝土造,82年8月7日,七層,
RPRPMLPJNHKFFBB77CA,2,62.93,住家用,鋼筋混凝土造,102年7月25日,二十二層,五層
RPRPMLPJNHKFFBB77CA,2,16.93,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPRPMLPJNHKFFBB77CA,2,40.71,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPPSMLRJNHKFFBB08CA,16,109.67,住家用,鋼筋混凝土造,88年6月4日,十四層,三層
RPPSMLRJNHKFFBB08CA,16,47.48,共有部份,鋼筋混凝土造,88年6月4日,十四層,
RPPSMLRJNHKFFBB08CA,16,14.99,共有部份,鋼筋混凝土造,88年6月4日,十四層,
RPUOMLSJNHKFFBB28CA,21,146.07,住商用,鋼筋混凝土造,82年12月14日,八層,一層 二層
RPUOMLSJNHKFFBB28CA,21,46.44,共有部份,鋼筋混凝土造,82年12月14日,八層,
RPSPMLSJNHKFFBB18CA,,109.37,住家用,鋼筋混凝土造,103年11月6日,十五層,五層
RPSPMLSJNHKFFBB18CA,,31.25,見其它登記事項,鋼筋混凝土造,103年11月6日,十五層,
RPSPMLSJNHKFFBB18CA,,48.29,見其它登記事項,鋼筋混凝土造,103年11月6日,十五層,
RPXPMLSJNHKFFBB68CA,33,92.34,住家用,鋼筋混凝土造,70年12月31日,五層,三層
RPWNMLMKNHKFFBB87CA,1,117.46,住家用,鋼筋混凝土造,103年12月23日,十九層,三層
RPWNMLMKNHKFFBB87CA,1,11.92,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPWNMLMKNHKFFBB87CA,1,21.74,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPWNMLMKNHKFFBB87CA,1,43.00,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPWOMLMKNHKFFBB97CA,1,135.35,住家用,鋼筋混凝土造,103年12月23日,十九層,十四層
RPWOMLMKNHKFFBB97CA,1,13.75,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPWOMLMKNHKFFBB97CA,1,25.05,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPWOMLMKNHKFFBB97CA,1,72.59,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPSPMLMKNHKFFBB67CA,1,150.24,住家用,鋼筋混凝土造,103年12月23日,十九層,十三層
RPSPMLMKNHKFFBB67CA,1,15.27,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPSPMLMKNHKFFBB67CA,1,27.80,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPSPMLMKNHKFFBB67CA,1,75.05,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPUPMLMKNHKFFBB87CA,1,147.44,住家用,鋼筋混凝土造,103年12月23日,十九層,三層
RPUPMLMKNHKFFBB87CA,1,14.97,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPUPMLMKNHKFFBB87CA,1,27.28,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPUPMLMKNHKFFBB87CA,1,74.60,見其它登記事項,鋼筋混凝土造,103年12月23日,十九層,
RPUPMLPKNHKFFBB18CA,22,89.07,住家用,鋼筋混凝土造,81年11月13日,七層,四層
RPUPMLPKNHKFFBB18CA,22,16.63,共有部份,鋼筋混凝土造,81年11月13日,七層,
RPVPMLPKNHKFFBB28CA,29,104.14,住家用,鋼筋混凝土造,75年4月29日,二層,一層 二層
RPVPMLMLNHKFFBB08CA,10,79.11,住家用,見其它登記事項,94年2月1日,十五層,三層
RPVPMLMLNHKFFBB08CA,10,70.54,共有部份,見其它登記事項,94年2月1日,十五層,
RPTQMLMLNHKFFBB97CA,22,84.57,住家用,鋼筋混凝土造,81年12月1日,八層,四層
RPTQMLMLNHKFFBB97CA,22,26.29,共有部份,鋼筋混凝土造,81年12月1日,八層,
RPUUMLRLNHKFFBB98CA,16,.72,共有部份,鋼筋混凝土造,88年6月16日,二十層,
RPUUMLRLNHKFFBB98CA,16,21.25,住家用,鋼筋混凝土造,88年6月16日,二十層,十三層
