¶mÂí¥«°Ï,¯²¸î¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¯²¸î¦~¤ë¤é,¯²¸îµ§´É¼Æ,¯²¸î¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,¦³µLªþ³Ã­Ñ,Á`ÃB¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,¯²ª÷Á`ÃB¤¸,³Æµù,½s¸¹
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ïªe«n¸ô¤G¬q391~420¸¹,37.85,¦í,,,1040704,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,5,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0710227,39.15,0,0,0,µL,µL,µL,39800,1017,,0.0,0,­ì©e°U­n¥X¯²½d³ò¬°¤@¼Ó+¦a¤U¼h,¦ý¦]¦a¤U«Çº|¤ô,¬G¥u©Ó¯²1¼Ó©±­±,RPPNMLMJQHKFFCB67CC
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï±R¼w¤G¸ô¤@¬q186«Ñ31~60¸¹,12.79,¦í,,,1040730,¤g¦a3«Øª«1¨®¦ì0,¤C¼h,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811110,74.69,2,2,1,¦³,µL,¦³,13500,181,,0.0,0,,RPPPMLNJQHKFFBB87CC
¤j¨½°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤j¨½°Ï¤¤¿³¸ô¤@¬q2«Ñ81§Ë31~60¸¹,668.11,¤u,,,1040731,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,2,¤u¼t,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0750305,476.23,0,0,0,µL,µL,µL,85000,,,0.0,0,,RPXNMLNJQHKFFGL37CC
¤Ó¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤Ó¥­°Ï²»¶¶¸ô¤@¬q31~60¸¹,22.31,¦í,,,1040715,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020401,151.86,3,2,2,¦³,¦³,µL,17000,112,,0.0,0,,RPSOMLNJQHKFFHL07CC
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤½À]¸ô63«Ñ1~30¸¹,21.46,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0720830,97.42,3,2,2,¦³,µL,¦³,12000,123,,0.0,0,,RPQOMLNJQHKFFAB87DC
¤Ó¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤Ó¥­°Ï¨|­^µó31~60¸¹,43.4,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,6,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830517,234.32,2,1,1,¦³,¦³,µL,10000,43,,0.0,0,,RPUOMLNJQHKFFHL37DC
¨F³À°Ï,¤g¦a,«n¶Õ§|¬q®H¤l¤p¬q151~180¦a¸¹,635.0,¦í,,,1040801,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,µL,21000,33,,0.0,0,,RPXNMLOJQHKFFCL07CC
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤å¤ß¸ô¥|¬q631~660¸¹,20.91,¦í,,,1040701,¤g¦a1«Øª«1¨®¦ì1,¤@¼h,24,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0860416,150.98,1,0,0,µL,¦³,¦³,43000,285,©Y¹D¾÷±ñ,14.01,0,,RPPQMLOJQHKFFBB08CC
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï©¾©ú«n¸ô91~120¸¹,11.68,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0951222,114.32000000000001,1,2,1,¦³,¦³,¦³,30000,262,¤É­°¾÷±ñ,14.05,0,,RPXNMLOJQHKFFAB48CC
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤½¯q¸ô151~180¸¹,188.0,¦í,,,1040724,¤g¦a2«Øª«2¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,4,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0690624,533.9,0,5,5,¦³,µL,µL,200000,375,,0.0,0,¥Á°ê104¦~10¤ë1¤é°_¦Ü106¦~9¤ë30¤é¨C¤ë¯²ª÷·s¥x¹ô20¸U¤¸¡A¥Á°ê106¦~10¤ë1¤é°_¦Ü108¦~9¤ë30¤é¨C¤ë¯²ª÷·s¥x¹ô20.6¸U¤¸¡A¥Á°ê108¦~10¤ë1¤é°_¦Ü110¦~9¤ë30¤é¨C¤ë¯²ª÷·s¥x¹ô21.22¸U¤¸¡A¥Á°ê110¦~10¤ë1¤é°_¦Ü112¦~9¤ë30¤é¨C¤ë¯²ª÷·s¥x¹ô21.85¸U¤¸¡C,RPPOMLOJQHKFFAB77CC
