¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«©²¤å¸ô121~150¸¹,35.8,¦í,,,1040723,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¥|¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030904,70.41,2,1,2,¦³,¦³,3200000,45448,,0.0,0,,RPWNMLNJQHKFFAP86CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥««OÉÜ¨½«Oªø¸ô31~60¸¹,142.74,¤u,,,1040713,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0970428,258.68,5,3,4,¦³,µL,9500000,36725,,0.0,0,,RPVNMLOJQHKFFAP86CA
¥j§|¶m,¤g¦a,·sÉÜ¬q61~90¦a¸¹,4883.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1040713,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4800000,983,,0.0,0,,RPVNMLPJQHKFFAP96CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¥ú©ú¸ô24«Ñ1~30¸¹,223.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040703,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0790315,164.99,4,3,2,¦³,µL,5300000,32123,,0.0,0,,RPQNMLTLQHKFFAP07CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤æ¤»¤G¸ô331~360¸¹,140.82,¦í,,,1020629,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040106,238.33,5,1,6,¦³,µL,13016200,54614,,0.0,0,1.¦@2¤H¡A¦@¦P«ù¦³¡C2.¥»Á`»ù«Y¼W«Ø¤§«á»ù®æ¡C,RPVOMLLJRHKFFAP76CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤æ¤»¤G¸ô391~420¸¹,198.94,¦í,,,1020715,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040106,333.57,6,3,3,¦³,µL,14700000,44069,,0.0,0,1.¥»¶R½æÁ`»ù«Y¼W«Ø«á¤§»ù®æ¡C,RPPOMLLJRHKFFAP78CA
¤æ«nÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ«nÂíÃÀ³N¥@®a31~60¸¹,128.1,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1040611,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820810,224.16,5,2,3,¦³,¦³,2400000,10707,,0.0,0,¤G¿Ëµ¥¯S®íÃö«Y¤§¥æ©ö¡C,RPQNMLLKQHKFFBP88CA
¤g®wÂí,¤g¦a,¶V´ä¬q571~600¦a¸¹,691.84,¦í,,,1040723,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,14649727,21175,,0.0,0,,RPSNMLOJQHKFFDP86CA
ªê§ÀÂí,¤g¦a,ªê·s¬q811~840¦a¸¹,51.44,°Ó,,,1040702,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1250000,24300,,0.0,0,,RPPOMLOJQHKFFDP66CA
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªê§ÀÂíÑM¤º¨½ÑM¤º121~150¸¹,106.98,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040706,¤g¦a5«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960531,165.06,4,2,3,¦³,µL,5200000,31504,,0.0,0,,RPUNMLQJQHKFFDP27CA
