╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
╖и▒Ў░╧,й╨жa(дgжa+л╪кл),оч╢щел╖и▒Ў░╧░клC╕Ї32л╤1~30╕╣,826.45,,дu╖~░╧,дB║╪л╪┐vе╬жa,1040914,дgжa1л╪кл1иожь0,д@╝h,д@╝h,дu╝t,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1000322,499.47,5,0,3,ж│,╡L,44500000,,,0.0,0,,RPTNMLQJJIKFFDH38CA
╖и▒Ў░╧,й╨жa(дgжa+л╪кл),оч╢щел╖и▒Ў░╧дддs╕Ї125л╤31~60╕╣,32.0,жэ,,,1041020,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0661012,65.25,4,2,2,ж│,╡L,1500000,22989,,0.0,0,дG┐╦╡еецйЎ,RPVNMLPJJIKFFDH68EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,6.59,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29675,4503,,0.0,0,,RPTNMLNLJIKFFDH48EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,2.2,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9892,4496,,0.0,0,,RPUNMLNLJIKFFDH58EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,6.59,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29675,4503,,0.0,0,,RPVNMLNLJIKFFDH68EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,2.2,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9892,4496,,0.0,0,,RPWNMLNLJIKFFDH78EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,32.97,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,148374,4500,,0.0,0,,RPXNMLNLJIKFFDH88EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,6.59,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29675,4503,,0.0,0,,RPOOMLNLJIKFFDH08EA
╖и▒Ў░╧,дgжa,▒Ў╢щмq61~90жa╕╣,10.99,,д@пы╣A╖~░╧,ец│qе╬жa,1041022,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,49458,4500,,0.0,0,,RPPOMLNLJIKFFDH18EA
╖и▒Ў░╧,й╨жa(дgжa+л╪кл),оч╢щел╖и▒Ў░╧дддs╕Ї125л╤31~60╕╣,76.0,жэ,,,1040930,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0651129,91.94,4,2,3,ж│,╡L,6500000,70698,,0.0,0,,RPPNMLTJJIKFFDH48EA
─кж╦░╧,дgжa,лnдsмq31~60жa╕╣,511.63,дu,,,1040123,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,32453000,63431,,0.0,0,,RPXNMLTJJIKFFEH76EA
─кж╦░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел─кж╦░╧лn╢╢д╗╡є1~30╕╣,17.97,жэ,,,1040926,дgжa1л╪кл1иожь2,д@╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0900801,130.74,3,2,1,ж│,ж│,7750000,59278,йY╣Dенн▒,0.0,0,,RPSQMLPJJHLFFEH78EA
дK╝w░╧,й╨жa(дgжa+л╪кл),оч╢щелдK╝w░╧е├┬╫╕Ї226л╤31~60╕╣,27.59,дu,,,1041010,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),дu╖~е╬,┐√╡м▓V╛одg│y,0810723,120.18,4,1,2,ж│,╡L,4200000,34948,,0.0,0,,RPPNMLOJJIKFFFH18EA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧╡╪▓╗дT╡є80л╤1~30╕╣,20.5,жэ,,,1040920,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0670119,20.38,3,1,2,ж│,╡L,500000,24534,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPXRMLMJJIKFFBH78EA
дj╖╦░╧,й╨жa(дgжa+л╪кл),оч╢щелдj╖╦░╧м№дs╕Їд@мq151~180╕╣,100.0,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1041006,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0691110,134.26,2,1,1,ж│,╡L,806000,6003,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLPJJIKFFCH58EA
└s╝ц░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел└s╝ц░╧дQд@д└╕Ї109л╤1~30╕╣,33.13,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1041019,дgжa1л╪кл1иожь1,дC╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840506,130.48,3,2,2,ж│,╡L,2900000,22226,йY╣Dенн▒,31.4,0,,RPQNMLRLJIKFFCH48EA
╖и▒Ў░╧,й╨жa(дgжa+л╪кл),оч╢щел╖и▒Ў░╧йMен╕Ї18л╤1з╦1~30╕╣,62.71,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1040930,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0700428,91.76,3,2,2,ж│,╡L,3500000,38143,,0.0,0,,RPTOMLOJJIKFFDH38DA
дK╝w░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдK╝w░╧дj┤╝╕Ї121~150╕╣,27.45,жэ,,,1040817,дgжa1л╪кл1иожь1,дG╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1001118,209.25,4,2,2,ж│,ж│,12400000,59259,йY╣Dенн▒,0.0,0,,RPUNMLTJJIKFFFH09DA
ен┬э░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелен┬э░╧дд┬╫╕Їдs│╗мq1~30╕╣,26.48,жэ,,,1040929,дgжa1л╪кл1иожь1,е|╝h,дQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1010731,173.93,3,2,2,ж│,ж│,7000000,40246,йY╣Dенн▒,0.0,0,,RPVNMLOJJIKFFGH78DA
ен┬э░╧,дgжa,жNжwмq1261~1290жa╕╣,112.77,,╢mз°░╧,дA║╪л╪┐vе╬жa,1040708,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2261057,20050,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLQLJIKFFGH56DA
ен┬э░╧,дgжa,жNжwмq1261~1290жa╕╣,109.28,,╢mз°░╧,дA║╪л╪┐vе╬жa,1040708,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2195241,20088,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWNMLQLJIKFFGH66DA
ен┬э░╧,й╨жa(дgжa+л╪кл),оч╢щелен┬э░╧дд┬╫╕Ї181~210╕╣,5.09,жэ,,,1041019,дgжa1л╪кл1иожь0,дQдн╝h,дQдK╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0860501,42.58,0,0,1,╡L,ж│,1800000,42273,,0.0,0,,RPUNMLNJJIKFFGH58DA
ен┬э░╧,й╨жa(дgжa+л╪кл),оч╢щелен┬э░╧└Їлn╕ЇдGмq241~270╕╣,10.04,жэ,,,1041020,дgжa2л╪кл1иожь0,дQе|╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840421,106.24000000000001,3,2,1,ж│,╡L,4000000,37651,,0.0,0,,RPQPMLMJKIKFFGH38DA
оч╢щ░╧,дgжa,жшк∙мq811~840жa╕╣,51.2,ифеL,,,1041005,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,58594,,0.0,0,ж@ж│кл╗Pд╜ж@│]мIе╬жa,RPWPMLMJJIKFFAH38EA
└tдs░╧,дgжa,лnоr│╗мq│пнэз|дpмq271~300жa╕╣,1613.0,ифеL,,,1041015,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,1860,,0.0,0,,RPSNMLOJJIKFFAH97EA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дде┐╕Ї1381~1410╕╣,12.9,жэ,,,1040928,дgжa1л╪кл1иожь1,дQ╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830803,131.56,3,2,2,ж│,ж│,7900000,60049,йY╣Dенн▒,0.0,0,╝Wл╪д╬еeе╬╜d│Є:╢зеx,RPXNMLTJKIKFFAH09EA
оч╢щ░╧,иожь,оч╢щелоч╢щ░╧▓°╖q╕ЇдGмq151~180╕╣,0.57,жэ,,,1041005,дgжa0л╪кл0иожь1,д@╝h,дQе|╝h,ифеL,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0920819,30.5,0,0,0,ж│,ж│,900000,,йY╣Dенн▒,0.0,900000,,RPVPMLLKKIKFFAH38EA
оч╢щ░╧,дgжa,░ъ╗┌мq31~60жa╕╣,10.99,ифеL,,,1041026,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,600000,54595,,0.0,0,,RPQNMLNJJIKFFAH57DA
