編號,車位類別,車位價格,車位面積平方公尺
RPUPMLLJKHLFFCA67CC,坡道平面,0,
RPUPMLLJKHLFFCA67CC,坡道平面,0,
RPUPMLLJKHLFFCA67CC,坡道平面,0,
RPUPMLLJKHLFFCA67CC,坡道平面,0,
RPUPMLLJKHLFFCA67CC,坡道平面,0,
RPPQMLLJKHLFFCA27CC,坡道平面,0,26.66
RPVRMLLJKHLFFCA97CC,坡道平面,0,38.72
RPVOMLLJKHLFFEA87CC,坡道平面,0,
RPWOMLLJKHLFFEA97CC,坡道平面,0,
RPSPMLLJKHLFFEA67CC,坡道平面,0,34.49
RPWNMLLJKHLFFFA97CC,坡道平面,0,38.90
RPTNMLMJKHLFFFA77CC,坡道平面,0,
RPUPMLMJKHLFFEA97CC,坡道平面,0,
RPUNMLMJKHLFFDA67CC,坡道平面,0,7.49
RPUNMLMJKHLFFDA67CC,坡道平面,0,7.49
RPVNMLMJKHLFFDA77CC,升降機械,0,
RPVNMLMJKHLFFDA77CC,升降機械,0,
RPWNMLMJKHLFFDA87CC,坡道平面,0,
RPWQMLMJKHLFFCA08CC,坡道平面,3600,40.00
RPOOMLNJKHLFFDA27CC,坡道平面,0,
RPUPMLNJKHLFFDA97CC,坡道平面,0,35.92
RPUPMLNJKHLFFDA97CC,坡道平面,0,35.92
RPXPMLNJKHLFFEA38CC,升降機械,0,17.32
RPXPMLNJKHLFFEA38CC,升降機械,0,17.32
RPWNMLNJKHLFFBA87DC,升降平面,0,29.58
RPSNMLNJKHLFFFA87DC,坡道平面,0,
RPPPMLNJKHLFFAA17CC,坡道平面,0,38.62
RPWNMLOJKHLFFFA28CC,坡道平面,0,
RPWOMLOJKHLFFEA28CC,其他,0,
RPWPMLOJKHLFFCA18CC,坡道平面,0,
RPWPMLOJKHLFFCA18CC,坡道平面,0,
RPWPMLOJKHLFFCA18CC,坡道平面,0,
RPXPMLOJKHLFFCA28CC,塔式車位,0,.46
RPSPMLPJKHLFFCA87CC,坡道平面,0,
RPSNMLPJKHLFFBA57CC,坡道平面,0,
RPSNMLPJKHLFFBA57CC,坡道平面,0,
RPQPMLPJKHLFFEA87CC,坡道平面,0,
RPPNMLPJKHLFFBA37DC,坡道平面,0,
RPPNMLMKKHLFFEA37CC,坡道平面,0,23.40
RPPNMLMKKHLFFFA47CC,坡道平面,0,
RPQNMLMKKHLFFFA57CC,坡道機械,0,
RPQNMLMKKHLFFFA57CC,坡道機械,0,
RPUNMLPKKHLFFEA18CC,坡道平面,0,32.92
RPUNMLPKKHLFFEA18CC,坡道平面,0,32.92
RPUNMLPKKHLFFEA18CC,坡道平面,0,32.92
RPTOMLPKKHLFFEA18CC,坡道平面,0,
RPUOMLPKKHLFFEA28CC,坡道平面,0,
RPPNMLPKKHLFFDA57CC,坡道平面,0,32.96
RPUNMLQKKHLFFBA97CC,坡道平面,7000,38.16
RPRNMLQKKHLFFEA97CC,坡道平面,0,48.50
RPSNMLQKKHLFFCA87CC,升降機械,0,34.51
RPTNMLQKKHLFFCA97CC,坡道機械,0,6.76
RPWNMLQKKHLFFCA28CC,坡道平面,0,52.24
RPTOMLQKKHLFFCA08CC,坡道機械,0,13.07
RPQNMLRKKHLFFAA57CC,升降平面,0,
RPOPMLRKKHLFFCA77CC,坡道平面,0,
RPOPMLRKKHLFFCA77CC,坡道平面,0,
RPUNMLRKKHLFFEA38CC,坡道平面,0,31.98
RPWNMLRKKHLFFEA58CC,坡道平面,0,36.90
RPSOMLRKKHLFFBA97CC,坡道機械,0,
RPSOMLRKKHLFFBA97CC,坡道機械,0,
RPSOMLRKKHLFFBA97CC,坡道機械,0,
RPPOMLSKKHLFFDA97CC,坡道平面,0,63.11
RPQNMLSKKHLFFCA87CC,坡道平面,0,
RPWNMLSKKHLFFCA48CC,坡道機械,0,
RPWNMLSKKHLFFCA48CC,坡道機械,0,
RPVOMLSKKHLFFCA48CC,坡道平面,0,48.16
RPROMLTKKHLFFDA28CC,坡道平面,6667,
RPVNMLKLKHLFFDA77CC,升降機械,0,
RPPNMLKLKHLFFEA27CC,坡道平面,0,10.30
RPSNMLKLKHLFFEA57CC,坡道平面,0,33.00
RPTNMLMLKHLFFFA97CC,坡道平面,0,47.87
RPRNMLMLKHLFFBA37CC,坡道平面,0,
RPUNMLMLKHLFFDA87CC,坡道平面,0,
RPXNMLMLKHLFFDA18CC,坡道平面,0,
RPXNMLMLKHLFFDA18CC,坡道平面,0,
RPRNMLMLKHLFFCA47CC,坡道平面,0,33.06
RPSNMLMLKHLFFCA57CC,坡道平面,0,
RPSNMLMLKHLFFCA57CC,坡道平面,0,
RPSNMLMLKHLFFCA57CC,坡道平面,0,
RPQOMLMLKHLFFCA47CC,坡道平面,0,40.96
RPVNMLNLKHLFFAA77CC,塔式車位,0,
RPQOMLNLKHLFFAA37CC,坡道平面,0,36.27
RPROMLNLKHLFFAA47CC,升降機械,0,
RPSOMLNLKHLFFAA67DC,坡道平面,0,44.91
RPPOMLOLKHLFFBA47CC,坡道平面,0,36.35
RPVPMLOLKHLFFCA28CC,坡道平面,0,30.52
RPOQMLOLKHLFFCA67CC,坡道平面,0,
RPROMLPLKHLFFEA08CC,坡道平面,0,33.07
RPUNMLQLKHLFFFA48CC,坡道平面,0,52.41
RPWOMLQLKHLFFFA78CC,坡道平面,0,
RPQPMLQLKHLFFEA18CC,坡道平面,0,106.26
RPUPMLQLKHLFFEA58CC,坡道平面,0,14.99
RPXPMLQLKHLFFEA88CC,坡道平面,0,52.13
RPXPMLQLKHLFFEA88CC,坡道平面,0,52.13
RPQSMLQLKHLFFEA48CC,坡道平面,0,
RPQPMLQLKHLFFDA08CC,坡道平面,12600,34.44
RPQPMLQLKHLFFDA08CC,坡道平面,12600,34.44
RPQPMLQLKHLFFDA08CC,坡道平面,12600,34.44
RPPPMLLJLHLFFEA47CC,坡道平面,0,33.17
RPVNMLLJLHLFFCA67CC,坡道平面,0,33.76
RPSOMLLJLHLFFCA47CC,坡道平面,0,
RPUOMLLJLHLFFCA67CC,坡道機械,0,
RPPOMLMJLHLFFCA37DC,坡道平面,0,36.57
RPPOMLMJLHLFFCA37DC,坡道平面,0,36.57
RPTPMLMJLHLFFCA77CC,坡道平面,0,30.48
RPTPMLMJLHLFFCA77CC,坡道平面,0,30.48
RPOQMLMJLHLFFCA37CC,坡道平面,0,31.77
RPQQMLMJLHLFFCA57CC,坡道平面,0,51.92
RPRNMLMJLHLFFDA47CC,坡道平面,0,
RPOOMLMJLHLFFBA07CC,升降機械,0,15.11
RPPOMLNJLHLFFBA27CC,坡道平面,0,
RPPOMLNJLHLFFBA27CC,坡道平面,0,
RPPOMLNJLHLFFBA27CC,坡道機械,0,
RPQOMLNJLHLFFBA37CC,坡道平面,0,
RPQOMLNJLHLFFBA37CC,坡道機械,0,
RPTOMLNJLHLFFCA77CC,坡道平面,0,34.49
RPVPMLNJLHLFFCA08CC,坡道機械,0,
RPTOMLOJLHLFFBA87DC,升降機械,0,13.31
RPWNMLRJLHLFFAA18CC,坡道平面,0,
RPROMLRJLHLFFDA08CC,坡道平面,0,
RPVNMLRJLHLFFCA28CC,坡道平面,0,
RPVNMLRJLHLFFCA28CC,坡道平面,0,
RPQNMLSJLHLFFFA18CC,升降機械,3500,30.84
RPUNMLKKLHLFFCA57CC,坡道平面,0,
RPROMLKKLHLFFEA57CC,坡道平面,0,36.90
RPTOMLKKLHLFFEA77CC,坡道平面,0,36.90
RPVNMLKKLHLFFEA97DC,坡道平面,0,
RPPNMLKKLHLFFAA86CC,升降平面,0,
RPOPMLLKLHLFFDA37CC,坡道平面,0,36.43
RPPPMLLKLHLFFDA47CC,坡道平面,0,39.68
RPVOMLLKLHLFFEA08CC,坡道平面,0,
RPQNMLLKLHLFFCA27CC,坡道平面,0,
RPWNMLLKLHLFFCA87CC,一樓平面,0,
RPPQMLLKLHLFFCA47CC,坡道平面,0,
RPOOMLOKLHLFFDA57CC,坡道平面,0,38.42
RPOPMLOKLHLFFDA67CC,坡道平面,0,14.97
RPVNMLOKLHLFFCA08CC,坡道平面,0,
RPUOMLOKLHLFFCA08CC,坡道平面,0,26.66
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPPPMLOKLHLFFCA67CC,坡道平面,2500,
RPSNMLOKLHLFFFA08CC,塔式車位,0,
RPWNMLOKLHLFFFA48CC,升降機械,0,
RPOOMLPKLHLFFCA57CC,坡道平面,0,
RPXOMLPKLHLFFCA48CC,坡道平面,0,
RPXOMLPKLHLFFCA48CC,坡道平面,0,
RPXOMLPKLHLFFCA48CC,坡道平面,0,
RPXOMLPKLHLFFCA48CC,坡道平面,0,
RPXOMLPKLHLFFCA48CC,坡道平面,0,
RPQQMLPKLHLFFCA97CC,坡道平面,0,
RPRNMLPKLHLFFDA87CC,坡道平面,0,
RPUOMLPKLHLFFDA28CC,坡道平面,0,14.97
RPVPMLPKLHLFFDA48CC,坡道平面,0,51.95
RPRNMLQKLHLFFEA08CC,坡道平面,0,25.83
RPQNMLQKLHLFFBA67CC,坡道機械,0,
RPQNMLQKLHLFFBA67CC,坡道機械,0,
RPQNMLQKLHLFFCA77CC,坡道平面,0,
RPQNMLQKLHLFFCA77CC,坡道平面,0,
RPQNMLQKLHLFFCA77CC,坡道平面,0,
RPRNMLQKLHLFFCA87CC,坡道平面,3000,
RPRNMLQKLHLFFCA87CC,坡道平面,3000,
RPVRMLQKLHLFFCA68CC,坡道平面,0,
RPVRMLQKLHLFFCA68CC,坡道平面,0,
RPVRMLQKLHLFFCA68CC,坡道平面,0,
RPPNMLQKLHLFFAA47CC,坡道平面,0,42.65
RPPNMLQKLHLFFAA47CC,坡道平面,0,42.65
RPRNMLRKLHLFFBA87CC,坡道平面,0,15.51
RPRNMLRKLHLFFBA87CC,坡道平面,0,13.47
RPPPMLRKLHLFFEA18CC,坡道平面,0,32.00
RPQPMLRKLHLFFEA28CC,坡道平面,0,32.00
RPROMLSKLHLFFDA28CC,坡道平面,0,
RPROMLSKLHLFFDA28CC,坡道平面,0,
RPROMLSKLHLFFDA28CC,坡道平面,0,
RPOOMLSKLHLFFCA87CC,坡道平面,0,
RPOPMLSKLHLFFCA97CC,坡道平面,0,37.46
RPPPMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPOQMLLLLHLFFEA67CC,坡道平面,0,
RPXNMLLLLHLFFBA97CC,升降機械,0,21.49
RPVNMLLLLHLFFDA97CC,升降機械,0,
RPPPMLLLLHLFFCA47CC,坡道平面,0,34.55
RPPPMLLLLHLFFCA47CC,坡道平面,0,34.55
RPPPMLLLLHLFFCA47CC,坡道平面,0,34.55
RPPPMLLLLHLFFCA47CC,坡道平面,0,34.55
RPTPMLLLLHLFFCA87CC,坡道平面,0,25.02
RPPQMLLLLHLFFCA57CC,坡道平面,0,
RPQQMLLLLHLFFCA67CC,升降機械,0,
RPQQMLLLLHLFFCA67CC,升降機械,0,
RPOOMLLLLHLFFFA57CC,坡道平面,10000,51.83
RPOOMLLLLHLFFFA57CC,坡道平面,10000,44.61
RPPOMLMLLHLFFCA47CC,坡道平面,0,
RPPOMLMLLHLFFCA47CC,坡道平面,0,
RPSOMLMLLHLFFCA77CC,升降機械,0,
RPTNMLNLLHLFFEA08CC,坡道平面,0,38.32
RPUNMLNLLHLFFBA87CC,升降機械,0,
RPPOMLNLLHLFFBA47CC,坡道平面,6000,32.17
RPVNMLNLLHLFFDA18CC,坡道平面,0,
RPVNMLNLLHLFFDA18CC,坡道平面,0,
RPPOMLNLLHLFFDA67CC,坡道平面,0,52.20
RPWOMLNLLHLFFDA38CC,塔式車位,5500,15.78
RPOPMLNLLHLFFDA67CC,坡道平面,0,33.87
RPQOMLNLLHLFFCA67CC,升降機械,0,52.70
RPPPMLNLLHLFFCA67CC,坡道平面,0,
RPPPMLNLLHLFFCA67CC,坡道平面,0,
RPTNMLNLLHLFFFA18CC,坡道平面,0,33.60
RPVNMLNLLHLFFFA38CC,升降機械,0,
RPPNMLOLLHLFFCA57CC,坡道平面,0,
RPRNMLOLLHLFFCA77CC,坡道平面,0,
RPRNMLOLLHLFFCA77CC,坡道平面,0,
RPOPMLOLLHLFFCA67CC,坡道平面,0,31.40
RPRPMLOLLHLFFCA97CC,坡道平面,0,
RPRQMLOLLHLFFCA08CC,升降機械,0,19.24
RPRQMLOLLHLFFCA08CC,升降機械,0,19.24
RPOOMLPLLHLFFEA87CC,坡道平面,5000,
RPSNMLPLLHLFFDA08CC,坡道平面,0,37.30
RPVNMLPLLHLFFDA38CC,坡道平面,0,12.50
RPQPMLPLLHLFFCA97CC,坡道平面,0,77.00
RPQPMLPLLHLFFCA97CC,坡道平面,0,77.00
RPQPMLPLLHLFFCA97CC,坡道平面,0,77.00
RPRPMLPLLHLFFCA08CC,坡道平面,0,77.00
RPRPMLPLLHLFFCA08CC,坡道平面,0,77.00
RPRPMLPLLHLFFCA08CC,坡道平面,0,77.00
RPWPMLPLLHLFFCA58CC,坡道平面,0,37.73
RPWPMLPLLHLFFCA58CC,坡道平面,0,37.74
RPPNMLSLLHLFFFA28CC,坡道平面,800,
RPQNMLSLLHLFFAA87CC,坡道機械,0,
RPUNMLSLLHLFFDA58CC,坡道平面,0,
RPRNMLSLLHLFFEA38CC,坡道平面,0,
RPUNMLSLLHLFFEA68CC,坡道平面,0,44.96
RPUNMLSLLHLFFEA68CC,坡道平面,0,44.96
RPTPMLSLLHLFFEA78CC,升降平面,0,44.93
RPUPMLSLLHLFFEA88CC,坡道平面,0,37.49
RPRNMLSLLHLFFCA18CC,坡道平面,0,
RPOQMLSLLHLFFCA18CC,一樓平面,0,
RPOQMLSLLHLFFCA18CC,一樓平面,0,
RPOQMLSLLHLFFCA18CC,一樓平面,0,
RPRNMLTLLHLFFEA48CC,坡道平面,5000,18.31
RPSNMLTLLHLFFEA58CC,坡道平面,0,44.96
RPSNMLTLLHLFFEA58CC,坡道平面,0,44.96
RPQNMLTLLHLFFDA28CC,坡道平面,0,
RPQOMLTLLHLFFDA38CC,坡道平面,0,38.42
RPTOMLTLLHLFFDA68CC,坡道平面,0,34.38
RPUOMLTLLHLFFDA78CC,坡道平面,0,34.70
RPVPMLKMLHLFFDA18CC,坡道機械,0,
RPRQMLKMLHLFFDA87CC,坡道平面,8000,
RPRQMLKMLHLFFDA87CC,坡道平面,8000,
RPSQMLKMLHLFFDA97CC,坡道平面,0,
RPWNMLKMLHLFFEA18CC,坡道平面,0,34.40
RPXNMLKMLHLFFEA28CC,坡道平面,0,32.00
RPQOMLKMLHLFFEA67CC,坡道平面,0,
RPVRMLKMLHLFFCA28CC,坡道機械,3675,17.50
RPPOMLLMLHLFFCA47CC,坡道平面,0,
RPSOMLLMLHLFFCA77CC,坡道平面,5000,
RPUOMLLMLHLFFCA97CC,坡道平面,0,
RPUOMLLMLHLFFCA97CC,坡道平面,0,
RPUOMLLMLHLFFCA97CC,坡道平面,0,
RPUOMLLMLHLFFCA97CC,坡道平面,0,
RPXNMLLMLHLFFBA08CC,升降機械,0,
RPXNMLLMLHLFFBA08CC,升降機械,0,
RPVNMLLMLHLFFDA08CC,坡道平面,3000,
RPOOMLLJMHLFFFA47CC,升降機械,0,51.71
RPVOMLLJMHLFFEA08CC,坡道平面,0,38.00
