¶mÂí¥«°Ï,¯²¸î¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¯²¸î¦~¤ë¤é,¯²¸îµ§´É¼Æ,¯²¸î¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,¦³µLªþ³Ã­Ñ,Á`ÃB¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,¯²ª÷Á`ÃB¤¸,³Æµù,½s¸¹
­d¶®°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«­d¶®°Ï·s¥ú¸ô62«Ñ1~30¸¹,3.66,¦í,,,1050201,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¤E¼h,35,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860421,113.88,2,2,1,¦³,¦³,¦³,12000,105,©Y¹D¥­­±,12.65,0,,RPRNMLLJKHLFFBE47CC
­d¶®°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«­d¶®°Ï«C¦~¤@¸ô391~420¸¹,162.0,°Ó,,,1050127,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,,¿ûµ¬²V¾®¤g³y,0650612,74.23,0,2,1,¦³,µL,¦³,42000,566,,0.0,0,,RPSNMLLJKHLFFBE57CC
·s¿³°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«·s¿³°Ï¤­ºÖ¤G¸ô121~150¸¹,82.0,°Ó,,,1050101,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,6,©±­±(©±¾Q),¨£¨Ï¥Î°õ·Ó,¿ûµ¬²V¾®¤g³y,0721015,189.9,0,0,0,µL,¦³,¦³,70000,369,,0.0,0,105¡B106¦~¡A¨C¤ë¯²ª÷7¸U¤¸¾ã107¦Ü109¦~¡A¨C¤ë¯²ª÷7.5¸U¤¸¾ã110¦~¡A¨C¤ë¯²ª÷8.5¸U¤¸¾ã,RPUNMLLJKHLFFBE77CC
­d¶®°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«­d¶®°Ï«Ø°ê¤@¸ô181~210¸¹,35.62,°Ó,,,1031215,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),,¿ûµ¬²V¾®¤g³y,0660622,58.53,0,0,0,µL,µL,µL,10000,171,,0.0,0,,RPPOMLLJKHLFFBE37CC
­d¶®°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«­d¶®°Ï·s¥ú¸ô62«Ñ1~30¸¹,2.7,°Ó,,,1050114,¤g¦a1«Øª«1¨®¦ì0,¤Q¤C¼h,35,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860421,126.69,3,2,2,¦³,¦³,¦³,12000,95,,0.0,0,,RPQOMLLJKHLFFBE47CC
·s¿³°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«·s¿³°Ï¥Á¥Í¤G¸ô31~60¸¹,6.63,°Ó,,,1050126,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¤K¼h,41,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0900326,254.98000000000002,3,2,2,¦³,¦³,¦³,40000,157,©Y¹D¥­­±,16.86,0,,RPSOMLLJKHLFFBE67CC
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ïªe¦è¤@¸ô1441~1470¸¹,29.92,¦í,,,1050131,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,22,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0990504,278.1,3,2,2,¦³,¦³,¦³,29000,104,,0.0,0,,RPVNMLLJKHLFFAE77CC
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¸Î°êµó61~90¸¹,16.24,¦í,,,1031222,¤g¦a1«Øª«1¨®¦ì0,¤Q¤­¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950316,135.99,3,2,2,¦³,¦³,¦³,22000,162,,0.0,0,§tµ|,RPXNMLLJKHLFFAE97CC
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°Ï¬ü³NªF¤Kµó91~120¸¹,13.64,¦í,,,1050131,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1011107,122.44,2,1,1,¦³,µL,¦³,22000,180,©Y¹D¾÷±ñ,17.35,0,,RPQOMLLJKHLFFAE37CC
«eÂí°Ï,«Øª«,°ª¶¯¥««eÂí°Ï¦ò¤¤¸ô61~90¸¹,0.0,°Ó,,,1050130,¤g¦a0«Øª«1¨®¦ì1,¤K¼h,14,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0800301,178.18,0,0,0,µL,¦³,µL,13000,73,©Y¹D¥­­±,0.0,0,¯²ª÷§tB2/10¸¹©Y¹D¥­­±¨®¦ì.(´«¬ù),RPUNMLLJKHLFFCE87CC
«eÂí°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥««eÂí°Ï­^©ú¸ô5«Ñ1~30¸¹,19.65,¦í,,,1050113,¤g¦a1«Øª«1¨®¦ì1,¤Q¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020918,158.76999999999998,2,2,2,¦³,¦³,µL,23000,145,©Y¹D¥­­±,24.41,0,,RPTOMLLJKHLFFCE87CC
«eÂí°Ï,«Øª«,°ª¶¯¥««eÂí°Ïºë©¾µó114«Ñ2§Ë1~30¸¹,30.5,¦í,,,1050201,¤g¦a0«Øª«1¨®¦ì0,¤­¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),,¿ûµ¬²V¾®¤g³y,0700305,75.24,3,2,2,¦³,µL,µL,6000,80,,0.0,0,,RPUOMLLJKHLFFCE97CC
«eÂí°Ï,«Øª«,°ª¶¯¥««eÂí°Ï¤¤¤s¤G¸ô1~30¸¹,0.0,°Ó,,,1050126,¤g¦a0«Øª«1¨®¦ì0,¤G¤Q¥|¼h,28,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0870714,194.17,3,1,0,¦³,¦³,¦³,23100,119,,0.0,0,,RPWOMLLJKHLFFCE18CC
¤T¥Á°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤T¥Á°Ï«Ø¤u¸ô361~390¸¹,28.42,°Ó,,,1050131,¤g¦a2«Øª«1¨®¦ì0,¥|¼h,4,¤½´J(5¼Ó§t¥H¤UµL¹q±è),,¿ûµ¬²V¾®¤g³y,0661109,66.04,3,2,2,¦³,µL,µL,9000,136,,0.0,0,,RPPNMLLJKHLFFDE47CC
¤T¥Á°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤T¥Á°Ï¥¿©¾¸ô211~240¸¹,58.0,¦í,,,1050127,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,,¿ûµ¬²V¾®¤g³y,0660426,55.69,1,0,1,¦³,µL,¦³,7500,135,,0.0,0,,RPUNMLLJKHLFFDE97CC
¤T¥Á°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤T¥Á°Ï«n»O¸ô195§Ë1~30¸¹,3.0,°Ó,,,1050114,¤g¦a1«Øª«1¨®¦ì0,¤G¤Q¤@¼h,25,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿û°©¿ûµ¬²V¾®¤g³y,0870929,39.66,2,1,1,¦³,¦³,¦³,12000,303,,0.0,0,,RPXNMLLJKHLFFDE28CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¥ß¤å¸ô91~120¸¹,6.24,°Ó,,,1050102,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030327,84.06,2,1,1,¦³,¦³,¦³,18000,214,,0.0,0,,RPROMLLJKHLFFEE87CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¥ªÀç°Ï¥ß¤j¸ô181~210¸¹,12.75,°Ó,,,1050107,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030227,152.81,3,2,2,¦³,¦³,¦³,22000,144,©Y¹D¥­­±,14.86,0,,RPSOMLLJKHLFFEE97CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¥ªÀç°Ï³Õ·R¥|¸ô361~390¸¹,8.09,°Ó,,,1050105,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¥|¼h,24,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1021202,166.87,3,2,2,¦³,¦³,¦³,35000,210,©Y¹D¾÷±ñ,10.55,0,,RPTOMLLJKHLFFEE08CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï«O¹tµó31~60¸¹,7.68,°Ó,,,1050115,¤g¦a1«Øª«1¨®¦ì0,¤Q¤­¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1031104,100.44,2,1,1,¦³,¦³,¦³,23000,229,,0.0,0,,RPUOMLLJKHLFFEE18CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¥ªÀç°Ï´¿¤l¸ô274«Ñ1~30¸¹,19.06,¦í,,,1050118,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¨£¨ä¥¦µn°O¨Æ¶µ,1040410,156.68,3,2,2,¦³,¦³,¦³,25000,160,©Y¹D¥­­±,19.9,0,,RPVOMLLJKHLFFEE28CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï´¿¤l¸ô274«Ñ1~30¸¹,11.29,¦í,,,1050122,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¨£¨ä¥¦µn°O¨Æ¶µ,1040410,86.17,2,2,1,¦³,¦³,¦³,15000,174,,0.0,0,,RPWOMLLJKHLFFEE38CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¥ß¤å¸ô61~90¸¹,6.7,°Ó,,,1050123,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030327,85.37,2,1,1,¦³,µL,¦³,20000,234,,0.0,0,,RPOPMLLJKHLFFEE67CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¤å¤Ñ¸ô121~150¸¹,10.3,°Ó,,,1050109,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1021111,144.0,3,2,2,¦³,¦³,¦³,28000,194,,0.0,0,,RPSPMLLJKHLFFEE08CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï³Õ·R¤G¸ô391~420¸¹,11.04,¦í,,,1050116,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,26,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870217,141.93,3,2,2,¦³,¦³,¦³,25000,176,,0.0,0,,RPUPMLLJKHLFFEE28CC
»ñ¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«»ñ¤s°Ï»ñ«n¤@¸ô1~30¸¹,167.0,¦í,,,1050127,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0930916,238.65,7,2,2,¦³,µL,¦³,19000,80,,0.0,0,,RPWNMLLJKHLFFGE48CC
©£¤s°Ï,«Øª«,°ª¶¯¥«©£¤s°Ï¬h¾ôªF¸ô18«Ñ1~30¸¹,84.0,¦í,,,1050127,¤g¦a0«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0940926,93.97,0,0,0,µL,µL,µL,15000,160,,0.0,0,¥u¥X¯²1¡B2¼Ó¡C,RPSOMLLJKHLFFFE08CC
