編號,車位類別,車位價格,車位面積平方公尺
RPWNMLKKQHLFFHL17CB,坡道平面,1150000,19.17
RPXNMLKKQHLFFHL27CB,坡道平面,1200000,21.24
RPOOMLLKQHLFFHL56CB,坡道平面,1150000,19.17
RPPOMLLKQHLFFHL66CB,坡道機械,700000,9.67
RPPOMLLKQHLFFHL66CB,坡道機械,600000,9.67
RPQOMLLKQHLFFHL76CB,坡道平面,1200000,21.24
RPROMLLKQHLFFHL86CB,坡道平面,1200000,21.24
RPSOMLLKQHLFFHL96CB,坡道機械,700000,9.47
RPTOMLLKQHLFFHL07CB,坡道機械,750000,9.41
RPTOMLLKQHLFFHL07CB,坡道機械,800000,9.41
RPUOMLLKQHLFFHL17CB,坡道機械,750000,9.41
RPVOMLLKQHLFFHL27CB,坡道平面,1150000,19.17
RPWOMLLKQHLFFHL37CB,坡道平面,1150000,19.17
RPUNMLMKQHLFFHL17CB,坡道平面,1150000,19.17
RPVNMLMKQHLFFHL27CB,坡道平面,1200000,6.43
RPWNMLMKQHLFFHL37CB,坡道機械,700000,9.41
RPXNMLMKQHLFFHL47CB,坡道平面,1150000,19.17
RPOOMLMKQHLFFHL66CB,坡道平面,1200000,21.24
RPROMLMKQHLFFHL96CB,坡道平面,1150000,19.17
RPSOMLMKQHLFFHL07CB,坡道機械,700000,9.67
RPSOMLMKQHLFFHL07CB,坡道平面,1150000,19.17
RPTOMLMKQHLFFHL17CB,坡道機械,700000,9.67
RPTOMLMKQHLFFHL17CB,坡道機械,600000,9.67
RPUOMLMKQHLFFHL27CB,坡道平面,1200000,21.24
RPUOMLMKQHLFFHL27CB,坡道機械,800000,9.41
RPRNMLPLQHLFFHL27CB,坡道機械,750000,9.41
RPTNMLPLQHLFFHL47CB,坡道平面,1150000,19.17
RPUNMLPLQHLFFHL57CB,坡道平面,1200000,21.24
RPUNMLPLQHLFFHL57CB,坡道機械,700000,9.41
RPVNMLPLQHLFFHL67CB,坡道平面,1200000,21.24
RPXNMLPLQHLFFHL87CB,坡道機械,700000,9.67
RPXNMLPLQHLFFHL87CB,坡道機械,600000,9.67
RPQOMLPLQHLFFHL27CB,坡道機械,700000,9.67
RPQOMLPLQHLFFHL27CB,坡道機械,600000,9.67
RPROMLPLQHLFFHL37CB,坡道機械,700000,9.47
RPSOMLPLQHLFFHL47CB,坡道平面,1200000,21.24
RPUOMLPLQHLFFHL67CB,坡道平面,1150000,19.17
RPVOMLPLQHLFFHL77CB,坡道機械,700000,9.47
RPVOMLPLQHLFFHL77CB,坡道機械,600000,9.47
RPTNMLOKIILFFHL56CB,坡道平面,1150000,19.17
RPUNMLOKIILFFHL66CB,坡道機械,380000,9.41
RPVNMLOKIILFFHL76CB,坡道機械,700000,9.67
RPVNMLOKIILFFHL76CB,坡道機械,600000,9.67
RPWNMLOKIILFFHL86CB,坡道機械,380000,9.41
RPXNMLOKIILFFHL96CB,坡道平面,1150000,19.17
RPOOMLOKIILFFHL78CB,坡道機械,700000,9.47
RPPOMLOKIILFFHL88CB,坡道機械,600000,9.41
RPQOMLOKIILFFHL98CB,坡道機械,600000,9.47
RPROMLOKIILFFHL09CB,坡道機械,700000,9.47
RPSOMLOKIILFFHL56CB,坡道機械,600000,9.47
RPTOMLOKIILFFHL66CB,坡道平面,1200000,21.24
RPUOMLOKIILFFHL76CB,坡道機械,700000,9.47
RPVNMLTKIILFFHL27CB,坡道機械,600000,9.47
RPWNMLTKIILFFHL37CB,坡道機械,600000,9.41
RPOOMLTKIILFFHL66CB,坡道機械,700000,9.67
RPOOMLTKIILFFHL66CB,坡道機械,600000,9.67
RPPOMLTKIILFFHL76CB,坡道機械,600000,9.47
RPQOMLTKIILFFHL86CB,坡道機械,700000,9.47
RPROMLTKIILFFHL96CB,坡道機械,700000,9.41
RPSOMLTKIILFFHL07CB,坡道平面,1200000,21.24
RPTOMLTKIILFFHL17CB,坡道機械,600000,9.47
RPUOMLTKIILFFHL27CB,坡道機械,700000,9.47
RPWOMLTKIILFFHL47CB,坡道機械,700000,9.41
RPXOMLTKIILFFHL57CB,坡道機械,700000,9.47
RPOPMLTKIILFFHL76CB,坡道平面,1150000,19.17
RPQPMLTKIILFFHL96CB,坡道機械,600000,9.67
RPPNMLKLIILFFHL48CB,坡道機械,700000,9.41
RPQNMLKLIILFFHL58CB,坡道機械,600000,9.41
RPRNMLKLIILFFHL68CB,坡道機械,700000,9.41
RPSNMLKLIILFFHL78CB,坡道機械,600000,9.67
RPTNMLKLIILFFHL88CB,坡道機械,600000,9.41
RPXNMLKLIILFFHL66CB,坡道機械,700000,9.41
RPOOMLKLIILFFHL48CB,坡道機械,600000,9.41
RPPOMLKLIILFFHL58CB,坡道機械,700000,9.67
RPQOMLKLIILFFHL68CB,坡道平面,1200000,21.24
RPROMLKLIILFFHL78CB,坡道機械,600000,9.47
RPSOMLKLIILFFHL88CB,坡道機械,700000,9.47
RPTOMLKLIILFFHL98CB,坡道機械,700000,9.47
RPUOMLKLIILFFHL09CB,坡道機械,700000,9.47
RPUOMLKLIILFFHL09CB,坡道機械,600000,9.47
RPVOMLKLIILFFHL56CB,坡道機械,600000,9.41
RPWOMLKLIILFFHL66CB,坡道平面,1200000,21.24
RPWNMLLLIILFFHL66CB,坡道機械,600000,9.67
RPXNMLLLIILFFHL76CB,坡道機械,600000,9.47
RPOOMLLLIILFFHL58CB,坡道機械,700000,9.41
RPPOMLLLIILFFHL68CB,坡道平面,1200000,21.24
RPQOMLLLIILFFHL78CB,坡道平面,1200000,21.24
RPROMLLLIILFFHL88CB,坡道平面,1200000,21.24
RPSOMLLLIILFFHL98CB,坡道機械,600000,9.47
RPTOMLLLIILFFHL09CB,坡道機械,600000,9.41
RPUOMLLLIILFFHL56CB,坡道平面,1150000,19.17
RPWOMLLLIILFFHL76CB,坡道機械,600000,9.47
RPXOMLLLIILFFHL86CB,坡道機械,700000,9.41
RPOPMLLLIILFFHL68CB,坡道機械,700000,9.67
RPPPMLLLIILFFHL78CB,坡道機械,700000,9.41
RPPPMLLLIILFFHL78CB,坡道機械,600000,9.41
RPRPMLLLIILFFHL98CB,坡道機械,700000,9.47
RPSPMLLLIILFFHL09CB,坡道機械,700000,9.67
RPSPMLLLIILFFHL09CB,坡道機械,600000,9.67
RPTPMLLLIILFFHL56CB,坡道機械,700000,9.47
RPUPMLLLIILFFHL66CB,坡道平面,1150000,19.17
RPVPMLLLIILFFHL76CB,坡道機械,600000,9.47
RPXNMLOLIILFFHL07CB,坡道機械,600000,9.61
RPPOMLOLIILFFHL98CB,坡道機械,700000,9.67
RPQOMLOLIILFFHL09CB,坡道機械,600000,9.61
RPROMLOLIILFFHL56CB,坡道機械,700000,95.96
RPSOMLOLIILFFHL66CB,坡道平面,1150000,19.17
RPPRMLQLIILFFBB87CB,坡道平面,850000,23.72
RPQRMLQLIILFFBB97CB,坡道機械,350000,15.55
RPRRMLQLIILFFBB08CB,坡道機械,450000,15.55
RPSRMLQLIILFFBB18CB,坡道機械,350000,15.55
RPTRMLQLIILFFBB28CB,坡道機械,350000,15.55
RPVRMLQLIILFFBB48CB,坡道機械,350000,15.55
RPVRMLQLIILFFBB48CB,坡道機械,450000,15.55
RPWRMLQLIILFFBB58CB,坡道機械,350000,15.55
RPWRMLQLIILFFBB58CB,坡道機械,450000,15.55
RPXRMLQLIILFFBB68CB,坡道機械,450000,15.55
RPOSMLQLIILFFBB87CB,坡道機械,350000,15.55
RPOSMLQLIILFFBB87CB,坡道平面,450000,15.55
RPPOMLRLIILFFBB67CB,坡道平面,750000,21.68
RPSOMLRLIILFFBB97CB,坡道機械,350000,15.55
RPSOMLRLIILFFBB97CB,坡道機械,450000,15.55
RPTOMLRLIILFFBB08CB,坡道平面,800000,23.72
RPUOMLRLIILFFBB18CB,坡道平面,850000,23.72
RPQPMLRLIILFFBB87CB,坡道平面,800000,23.72
RPRPMLRLIILFFBB97CB,坡道機械,350000,15.55
RPRPMLRLIILFFBB97CB,坡道機械,450000,15.55
RPXPMLRLIILFFBB58CB,坡道機械,450000,15.55
RPXPMLRLIILFFBB58CB,坡道機械,350000,15.55
RPOQMLRLIILFFBB77CB,坡道機械,450000,15.55
RPOQMLRLIILFFBB77CB,坡道機械,350000,15.55
RPPQMLRLIILFFBB87CB,坡道機械,450000,15.55
RPRQMLRLIILFFBB08CB,坡道機械,450000,15.55
RPRQMLRLIILFFBB08CB,坡道平面,800000,23.72
RPOSMLRLIILFFBB97CB,坡道平面,800000,23.72
RPPSMLRLIILFFBB08CB,坡道平面,800000,23.72
RPQSMLRLIILFFBB18CB,坡道平面,750000,21.68
RPRSMLRLIILFFBB28CB,坡道平面,850000,23.72
RPWSMLRLIILFFBB78CB,坡道平面,800000,23.72
RPOTMLRLIILFFBB08CB,坡道機械,450000,15.55
RPSTMLRLIILFFBB48CB,坡道機械,450000,15.55
RPTTMLRLIILFFBB58CB,坡道平面,750000,21.68
RPUTMLRLIILFFBB68CB,坡道平面,850000,23.72
RPWTMLRLIILFFBB88CB,坡道機械,350000,15.55
RPWTMLRLIILFFBB88CB,坡道機械,450000,15.55
RPSUMLRLIILFFBB58CB,坡道平面,800000,23.72
RPSUMLRLIILFFBB58CB,坡道機械,450000,15.55
RPTUMLRLIILFFBB68CB,坡道平面,750000,21.68
RPUUMLRLIILFFBB78CB,坡道平面,750000,21.68
RPVUMLRLIILFFBB88CB,坡道平面,800000,23.72
RPWUMLRLIILFFBB98CB,坡道平面,800000,23.72
RPXUMLRLIILFFBB09CB,坡道平面,800000,23.72
RPXUMLRLIILFFBB09CB,坡道平面,800000,23.72
RPOVMLRLIILFFBB28CB,坡道平面,850000,23.72
RPPVMLRLIILFFBB38CB,坡道平面,850000,23.72
RPQVMLRLIILFFBB48CB,坡道平面,800000,23.72
RPRVMLRLIILFFBB58CB,坡道平面,850000,23.72
RPUNMLRLIILFFHL07CB,坡道平面,1200000,21.24
RPWNMLRLIILFFHL27CB,坡道機械,600000,9.47
RPXNMLRLIILFFHL37CB,坡道機械,700000,9.47
RPOOMLRLIILFFHL56CB,坡道平面,600000,9.47
RPPOMLRLIILFFHL66CB,坡道機械,600000,9.47
RPQOMLRLIILFFHL76CB,坡道平面,1200000,21.24
RPROMLRLIILFFHL86CB,坡道機械,600000,9.67
RPSOMLRLIILFFHL96CB,坡道機械,700000,9.61
RPTOMLRLIILFFHL07CB,坡道機械,600000,9.47
RPWOMLRLIILFFHL37CB,坡道機械,700000,9.61
RPXOMLRLIILFFHL47CB,坡道機械,600000,9.67
RPOPMLRLIILFFHL66CB,坡道機械,600000,9.47
RPOOMLSLIILFFHL66CB,坡道機械,600000,9.47
RPPOMLSLIILFFHL76CB,坡道機械,700000,9.47
RPQOMLSLIILFFHL86CB,坡道機械,700000,9.47
RPRNMLTLIILFFBB97CB,坡道平面,800000,23.72
RPRNMLTLIILFFBB97CB,坡道平面,800000,23.72
RPSNMLTLIILFFBB08CB,坡道機械,450000,15.55
RPVNMLTLIILFFBB38CB,坡道平面,750000,21.68
RPWNMLTLIILFFBB48CB,坡道平面,850000,23.72
RPXNMLTLIILFFBB58CB,坡道機械,450000,15.55
RPOOMLTLIILFFBB77CB,坡道平面,750000,21.68
RPPOMLTLIILFFBB87CB,坡道平面,800000,23.72
RPQOMLTLIILFFBB97CB,坡道機械,450000,15.55
RPSOMLTLIILFFBB18CB,坡道機械,450000,15.55
RPTOMLTLIILFFBB28CB,坡道機械,450000,15.55
RPUOMLTLIILFFBB38CB,坡道機械,350000,15.55
RPVOMLTLIILFFBB48CB,坡道機械,450000,15.55
RPWOMLTLIILFFBB58CB,坡道機械,450000,15.55
RPXOMLTLIILFFBB68CB,坡道機械,450000,15.55
RPOPMLTLIILFFBB87CB,坡道機械,450000,15.55
RPPPMLTLIILFFBB97CB,坡道機械,350000,15.55
RPPPMLTLIILFFBB97CB,坡道機械,450000,15.55
RPQPMLTLIILFFBB08CB,坡道機械,450000,15.55
