編號,車位類別,車位價格,車位面積平方公尺
RPXSMLMJQHLFFAF09CA,坡道平面,0,39.44
RPPQMLLJQHLFFAF97CA,坡道機械,0,
RPTNMLMJQHLFFAF18CA,坡道平面,1200000,1.60
RPWOMLMJQHLFFAF58CA,坡道平面,2600000,26.73
RPTNMLPJQHLFFAF48CA,坡道平面,0,38.09
RPPNMLTJQHLFFAF48CA,坡道平面,1760000,39.17
RPQOMLNJQHLFFBF18CA,坡道平面,0,
RPROMLNJQHLFFBF28CA,坡道平面,0,34.79
RPQNMLOJQHLFFBF18CA,坡道平面,0,32.56
RPQNMLOJQHLFFBF18CA,坡道平面,0,32.56
RPTNMLPJQHLFFBF58CA,坡道平面,1600000,28.72
RPTNMLLKQHLFFBF28CA,坡道平面,1900000,39.97
RPQQMLLKQHLFFBF28CA,坡道平面,1900000,39.97
RPRQMLLKQHLFFBF38CA,坡道平面,1900000,39.97
RPOOMLLKQHLFFBF87CA,坡道平面,1900000,39.97
RPVQMLQKQHLFFBF66CA,坡道平面,2250000,33.05
RPUNMLTKQHLFFBF56CA,坡道平面,2100000,43.16
RPXNMLTKQHLFFBF86CA,坡道平面,2000000,37.08
RPTPMLOLQHLFFBF88CA,坡道平面,0,27.44
RPQNMLKLJILFFBF37CA,坡道平面,0,27.74
RPQOMLMJQHLFFCF18CA,坡道平面,0,29.93
RPUOMLMJQHLFFCF58CA,一樓平面,0,13.99
RPVNMLMJQHLFFDF68CA,坡道平面,1000000,38.71
RPUNMLNJQHLFFDF68CA,坡道平面,0,
RPOPMLPJQHLFFDF48CA,坡道平面,0,39.01
RPSNMLQJQHLFFDF78CA,坡道機械,0,
RPWOMLSJQHLFFDF86CA,坡道平面,0,24.33
RPXNMLRKQHLFFDF86CA,坡道平面,0,
RPXNMLRKQHLFFDF86CA,坡道平面,0,
RPQNMLMLRHLFFDF48CA,坡道平面,600000,28.10
RPQNMLNJQHLFFEF38CA,坡道平面,0,41.27
RPUOMLNJQHLFFEF88CA,坡道平面,0,32.40
RPQOMLTJQHLFFEF09CA,坡道平面,0,29.88
RPOSMLKKQHLFFEF48CA,坡道平面,1250000,27.65
RPVQMLLKQHLFFEF09CA,坡道平面,0,24.35
RPQNMLKLQHLFFEF28CA,坡道平面,0,24.76
RPQNMLKLQHLFFEF28CA,坡道平面,0,24.76
RPQNMLQLQHLFFEF88CA,坡道平面,0,33.30
RPQNMLTLQHLFFEF56CA,坡道平面,0,31.45
RPQPMLLJQHLFFGF58CA,坡道平面,0,41.09
RPQOMLMJQHLFFGF58CA,坡道平面,0,41.90
RPVNMLOJQHLFFGF56CA,坡道平面,1900000,30.00
RPRNMLSJQHLFFGF56CA,坡道平面,2350000,33.45
RPRNMLSJQHLFFGF56CA,坡道平面,2350000,33.45
RPROMLLKQHLFFGF68CA,升降平面,0,
RPQOMLQKQHLFFGF09CA,坡道平面,2100000,28.31
RPRPMLQLQHLFFGF76CA,坡道平面,2050000,31.45
RPSPMLLJQHLFFHF88CA,坡道平面,0,40.30
RPPQMLMJQHLFFHF78CA,坡道平面,0,28.81
RPQNMLNLQHLFFHF88CA,坡道平面,1000000,38.75
RPPPMLTLQHLFFHF96CA,坡道機械,1050000,40.10
RPQNMLPKQHLFFIF09CA,坡道平面,0,36.93
RPQNMLPKQHLFFIF09CA,坡道平面,0,36.93
RPPOMLQKQHLFFIF56CA,坡道平面,0,40.50
RPQNMLPLQHLFFIF56CA,坡道平面,0,25.72
RPVPMLSJQHLFFBF76DA,坡道平面,0,
RPXQMLLKQHLFFBF09DA,坡道平面,0,22.92
RPXPMLPKQHLFFBF76DA,坡道平面,0,34.76
RPWNMLMJQHLFFEF98DA,坡道機械,0,20.13
RPVNMLOJQHLFFAF78EA,坡道平面,0,
RPSOMLMJQHLFFBF48EA,坡道機械,0,
RPQNMLMKRHLFFCF48EA,坡道平面,0,
RPRNMLMKRHLFFCF58EA,坡道平面,0,18.37
SPRNMLMKRHLFFCF68EA,坡道平面,0,18.37
UPRNMLMKRHLFFCF88EA,坡道平面,0,18.37
