編號,車位類別,車位價格,車位面積平方公尺
RPPNMLNJQHLFFFK98DA,坡道平面,800000,
RPTNMLNJQHLFFDK09CA,坡道機械,0,7.30
RPUNMLNJQHLFFDK56CA,坡道機械,0,7.30
RPPNMLKKQHLFFDK48CA,坡道平面,0,
RPVNMLLKQHLFFFK76CA,坡道平面,0,
RPWNMLSJQHLFFDK27CA,坡道平面,800000,
RPOOMLOLQHLFFDK98CA,坡道平面,0,
RPRNMLMJRHLFFDK88CA,坡道平面,800000,
RPUNMLSJQHLFFFK27CA,一樓平面,0,
RPPNMLMKQHLFFFK88CA,一樓平面,0,
RPQNMLTJQHLFFDK76CA,坡道機械,0,7.30
RPRNMLTJQHLFFDK86CA,坡道機械,0,7.30
RPXNMLQLQHLFFBK17CA,坡道平面,0,
RPSOMLTKQHLFFFK37CA,坡道機械,0,9.96
RPRNMLQKQHLFFFK86CA,坡道平面,0,
RPRNMLPKQHLFFDK56CA,坡道平面,1000000,16.00
RPXNMLMLQHLFFDK96CA,一樓平面,0,15.18
RPQOMLMLQHLFFDK98CA,一樓平面,0,15.18
RPROMLMLQHLFFDK09CA,一樓平面,0,15.18
RPSOMLMLQHLFFDK56CA,一樓平面,0,15.18
RPTOMLMLQHLFFDK66CA,一樓平面,0,15.18
RPUOMLQLQHLFFDK17CA,一樓平面,0,
RPWNMLPLQHLFFDK17CA,坡道平面,0,
RPWOMLKMQHLFFDK86CA,一樓平面,0,
RPUNMLRKQHLFFDK07CA,坡道機械,0,
RPTOMLLKQHLFFDK09CA,一樓平面,0,
RPTNMLQKQHLFFDK86CA,升降機械,0,
RPSNMLMKQHLFFFK56CA,坡道機械,0,
RPPNMLTJRHLFFFK96CA,一樓平面,0,
RPPNMLSKQHLFFDK66CA,一樓平面,0,
RPQNMLNLQHLFFCK88CA,升降機械,0,
RPWNMLRKQHLFFDK27CA,坡道機械,0,7.30
RPXNMLRKQHLFFDK37CA,坡道機械,0,7.30
RPXNMLPLQHLFFDK27CA,一樓平面,0,
RPRNMLLMQHLFFDK98CA,一樓平面,0,
RPXNMLNLQHLFFFK27CA,坡道平面,900000,
RPXNMLSKQHLFFBK27CA,一樓平面,0,
RPTNMLTJRHLFFBK96CA,坡道平面,0,
RPUNMLTJRHLFFBK07CA,坡道平面,0,
RPQNMLMLQHLFFDK88CA,坡道機械,0,7.30
RPTNMLMLQHLFFDK56CA,坡道機械,0,7.30
RPUNMLMLQHLFFDK66CA,坡道機械,0,7.30
RPSNMLPLQHLFFFK96CA,坡道平面,0,
RPQNMLPLQHLFFDK56CA,一樓平面,0,
RPPNMLPKRHLFFDK09CA,坡道平面,0,
RPOOMLSJRHLFFFK86CA,一樓平面,0,
RPXNMLRJRHLFFFK57CA,坡道平面,900000,26.43
RPUNMLPLQHLFFFK17CA,坡道平面,0,
RPQNMLNJRHLFFDK88CA,坡道平面,0,15.19
RPRNMLNJRHLFFDK98CA,坡道平面,0,15.19
RPVNMLPLQHLFFDK07CA,坡道機械,0,
RPXNMLOKRHLFFDK17CA,坡道平面,0,15.19
RPSNMLMKRHLFFBK88CA,一樓平面,0,
RPTNMLMKRHLFFBK98CA,一樓平面,0,
RPUNMLMKRHLFFBK09CA,一樓平面,0,
RPVNMLMKRHLFFBK56CA,一樓平面,0,
RPWNMLMKRHLFFBK66CA,一樓平面,0,
RPXNMLMKRHLFFBK76CA,一樓平面,0,
RPOOMLMKRHLFFBK58CA,一樓平面,0,
RPUNMLQLQHLFFBK86CA,坡道平面,0,
RPRNMLKLRHLFFBK68CA,坡道平面,0,5.73
RPRNMLTLQHLFFDK07CA,一樓平面,0,
RPSNMLTLQHLFFDK17CA,坡道機械,0,7.30
RPPNMLTLQHLFFDK86CA,坡道機械,0,7.30
RPRNMLPJRHLFFDK56CA,坡道平面,0,15.19
RPTNMLNJRHLFFDK56CA,坡道平面,0,15.19
RPUNMLNJRHLFFDK66CA,坡道平面,0,15.19
