╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFеле┴╛╟╕Ї16л╤61~90╕╣,39.99,жэ,,,1050715,дgжa1л╪кл1иожь0,дG╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),░ъе┴жэжv,┐√╡м▓V╛одg│y,0710717,76.04,3,2,2,ж│,╡L,2700000,35508,,0.0,0,,RPROMLLJQHLFFAT76CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел╝sкF╕Ї991~1020╕╣,27.65,жэ,,,1050713,дgжa1л╪кл1иожь0,д╗╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821204,187.58,4,2,2,ж│,ж│,3250000,17326,,0.0,0,,RPSOMLMJQHLFFAT96CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелеjкQжшл╤361~390╕╣,67.54,жэ,,,1050630,дgжa3л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0890725,167.01,4,2,3,ж│,╡L,4390000,26286,,0.0,0,,RPOPMLNJQHLFFAT76CA
┼яме╢m,й╨жa(дgжa+л╪кл),л╠кF┐д┼яме╢mе┴▒┌╕ЇйM│╟л╤31~60╕╣,106.85,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050720,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0840309,167.32,3,2,3,ж│,╡L,3700000,22113,,0.0,0,,RPQPMLNJQHLFFAT96CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелд╜╢╘╡є150л╤1~30╕╣,164.0,жэ,,,1050711,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0641226,96.0,2,2,2,ж│,╡L,4920000,51250,,0.0,0,,RPXNMLSJQHLFFAT97CA
к°кv╢m,дgжa,┐│╡╪мq841~870жa╕╣,2600.79,,д@пы╣A╖~░╧,╣Aкке╬жa,1050622,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6320000,2430,,0.0,0,,RPTNMLMKQHLFFAT07CA
л╠кF╔],й╨жa(дgжa+л╪кл)+иожь,л╠кF┐дл╠кFелдjкZ╕Ї403л╤1~30╕╣,11.77,жэ,,,1050704,дgжa1л╪кл1иожь1,дE╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0870825,129.86,3,2,2,ж│,ж│,2650000,20407,йY╣D╛ў▒ё,0.0,0,,RPPOMLMKQHLFFAT76CA
дEжp╢m,й╨жa(дgжa+л╪кл),л╠кF┐ддEжp╢m┤Iдп╡є301~330╕╣,82.06,жэ,,,1050711,дgжa3л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0830818,179.75,4,2,2,ж│,╡L,3500000,19471,,0.0,0,,RPXNMLMLQHLFFAT57CA
fa72оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╞QоH╢mе·╡╪╕Ї1~30╕╣,60.93,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050705,дgжa2л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0560401,71.76,3,2,2,ж│,╡L,2700000,37625,,0.0,0,,RPSNMLLJQHLFFBT86CA
░к╛Ё╢m,дgжa,┬┬╝dмq121~150жa╕╣,328.0,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050715,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,590400,1800,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLPJQHLFFBT96CA
