編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLNKJIMFFBA27CC,49,22.56,住家用,鋼筋混凝土造,57年8月16日,五層,
RPUNMLNKJIMFFAA67CC,45,33.94,住家用,鋼筋混凝土造,61年6月27日,六層,
RPVOMLNKJIMFFFA38CC,,204.24,,鋼筋混凝土造,,十二層,
RPWNMLNKJIMFFAA87CC,30,70.55,商業用,鋼筋混凝土造,77年1月12日,十二層,
RPWNMLNKJIMFFAA87CC,30,20.45,共有部分,鋼筋混凝土造,77年1月12日,十二層,
RPSOMLNKJIMFFFA08CC,27,312.92,商業用,鋼筋混凝土造,80年3月1日,十二層,
RPSOMLNKJIMFFFA08CC,27,23.68,共有部分,鋼筋混凝土造,80年3月1日,十二層,
RPUOMLNKJIMFFFA28CC,49,76.42,住家用,加強磚造,57年9月17日,四層,
RPPNMLLKJIMFFBA07CC,8,53.34,住家用,見其他登記事項,98年7月24日,十八層,
RPPNMLLKJIMFFBA07CC,8,15.89,共有部分,見其他登記事項,98年7月24日,十八層,
RPPNMLLKJIMFFBA07CC,8,.11,共有部分,見其他登記事項,98年7月24日,十八層,
RPPNMLLKJIMFFBA07CC,8,7.76,共有部分,見其他登記事項,98年7月24日,十八層,
RPWOMLNKJIMFFBA08CC,8,70.76,住家用,鋼筋混凝土造,99年4月1日,十三層,
RPWOMLNKJIMFFBA08CC,8,24.41,見其他登記事項,鋼筋混凝土造,99年4月1日,十三層,
RPWOMLNKJIMFFBA08CC,8,18.79,見其他登記事項,鋼筋混凝土造,99年4月1日,十三層,
RPVNMLNKJIMFFAA77CC,50,25.63,,加強磚造,56年5月19日,五層,
RPTOMLNKJIMFFFA18CC,27,242.20,見使用執照,鋼筋混凝土造,79年9月1日,十二層,
RPTOMLNKJIMFFFA18CC,27,73.47,共有部分,鋼筋混凝土造,79年9月1日,十二層,
RPSNMLNKJIMFFEA87CC,8,202.31,住家用,鋼筋混凝土造,98年7月7日,十二層,
RPSNMLNKJIMFFEA87CC,8,86.05,共有部分,鋼筋混凝土造,98年7月7日,十二層,
RPSNMLNKJIMFFEA87CC,8,33.17,共有部分,鋼筋混凝土造,98年7月7日,十二層,
RPXNMLNKJIMFFEA38CC,10,122.12,住家用,鋼筋混凝土造,96年5月21日,十五層,
RPXNMLNKJIMFFEA38CC,10,11.49,共有部分,鋼筋混凝土造,96年5月21日,十五層,
RPXNMLNKJIMFFEA38CC,10,61.79,共有部分,鋼筋混凝土造,96年5月21日,十五層,
RPXOMLNKJIMFFFA58CC,,240.42,,加強磚造,,三層,
RPTNMLNKJIMFFCA87DC,17,300.56,工業用,鋼筋混凝土造,89年11月13日,十層,
RPOQMLNKJIMFFCA67DC,8,45.35,住家用,見其他登記事項,99年4月9日,十五層,
RPPOMLNKJIMFFEA67CC,21,122.22,住家用,鋼筋混凝土造,85年8月23日,六層,
RPPOMLNKJIMFFEA67CC,21,45.35,共有部分,鋼筋混凝土造,85年8月23日,六層,
RPPOMLNKJIMFFEA67CC,21,16.04,共有部分,鋼筋混凝土造,85年8月23日,六層,
RPUOMLNKJIMFFCA97CC,26,236.02,住家用,鋼筋混凝土造,81年1月3日,八層,
RPUOMLNKJIMFFCA97CC,26,31.08,共有部分,鋼筋混凝土造,81年1月3日,八層,
RPVOMLNKJIMFFCA08CC,11,160.41,見其他登記事項,鋼筋混凝土造,95年7月24日,十三層,
RPVOMLNKJIMFFCA08CC,11,96.55,共有部分,鋼筋混凝土造,95年7月24日,十三層,
RPVOMLNKJIMFFCA08CC,11,146.87,共有部分,鋼筋混凝土造,95年7月24日,十三層,
RPOOMLNKJIMFFCA37CC,9,39.45,見其他登記事項,鋼筋混凝土造,98年3月12日,八層,
RPOOMLNKJIMFFCA37CC,9,20.71,共有部分,鋼筋混凝土造,98年3月12日,八層,
RPOOMLNKJIMFFCA37CC,9,1.16,共有部分,鋼筋混凝土造,98年3月12日,八層,
RPOOMLNKJIMFFCA37CC,9,19.37,停車空間,鋼筋混凝土造,98年3月12日,八層,
RPOOMLNKJIMFFCA37CC,9,.09,共有部分,鋼筋混凝土造,98年3月12日,八層,
RPOOMLNKJIMFFCA37CC,9,10.61,共有部分,鋼筋混凝土造,98年3月12日,八層,
RPXNMLNKJIMFFCA18CC,10,86.63,住家用,鋼筋混凝土造,96年8月10日,十三層,
RPXNMLNKJIMFFCA18CC,10,13.51,共有部分,鋼筋混凝土造,96年8月10日,十三層,
RPXNMLNKJIMFFCA18CC,10,20.86,共有部分,鋼筋混凝土造,96年8月10日,十三層,
RPPOMLNKJIMFFCA47CC,11,105.03,住家用,鋼筋混凝土造,95年12月21日,十五層,
RPPOMLNKJIMFFCA47CC,11,35.19,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPPOMLNKJIMFFCA47CC,11,6.80,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPPOMLNKJIMFFCA47CC,11,39.50,共有部分,鋼筋混凝土造,95年12月21日,十五層,
RPSPMLNKJIMFFCA87CC,20,233.00,商業用,鋼骨鋼筋混凝土造,86年6月30日,十八層,
RPSPMLNKJIMFFCA87CC,20,19.70,共有部分,鋼骨鋼筋混凝土造,86年6月30日,十八層,
RPSPMLNKJIMFFCA87CC,20,10.06,共有部分,鋼骨鋼筋混凝土造,86年6月30日,十八層,
RPSPMLNKJIMFFCA87CC,20,41.56,共有部分,鋼骨鋼筋混凝土造,86年6月30日,十八層,
RPTPMLNKJIMFFCA97CC,35,109.33,住家用,鋼筋混凝土造,71年7月2日,五層,
RPQOMLNKJIMFFCA57CC,28,28.82,見使用執照,鋼筋混凝土造,78年5月17日,十五層,
RPRPMLNKJIMFFCA77CC,9,476.55,見其他登記事項,鋼筋混凝土造,97年6月20日,十層,
RPRPMLNKJIMFFCA77CC,9,111.17,共有部分,鋼筋混凝土造,97年6月20日,十層,
RPRPMLNKJIMFFCA77CC,9,68.53,共有部分,鋼筋混凝土造,97年6月20日,十層,
RPRPMLNKJIMFFCA77CC,9,115.17,共有部分,鋼筋混凝土造,97年6月20日,十二層,
RPVPMLNKJIMFFCA18CC,5,176.07,住家用,鋼筋混凝土造,101年6月1日,十四層,
RPVPMLNKJIMFFCA18CC,5,46.07,見其他登記事項,鋼筋混凝土造,101年6月1日,十四層,
RPVPMLNKJIMFFCA18CC,5,31.49,見其他登記事項,鋼筋混凝土造,101年6月1日,十四層,
RPVPMLNKJIMFFCA18CC,5,84.86,見其他登記事項,鋼筋混凝土造,101年6月1日,十四層,
RPWNMLNKJIMFFDA18CC,5,62.99,住家用,鋼筋混凝土造,102年2月22日,十三層,
RPWNMLNKJIMFFDA18CC,5,30.87,見其他登記事項,鋼筋混凝土造,102年2月22日,十三層,
RPWNMLNKJIMFFDA18CC,5,21.93,見其他登記事項,鋼筋混凝土造,102年2月22日,十三層,
RPOOMLNKJIMFFDA47CC,9,51.39,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPOOMLNKJIMFFDA47CC,9,19.23,共有部分,見其他登記事項,98年3月31日,十八層,
RPOOMLNKJIMFFDA47CC,9,7.39,共有部分,鋼筋混凝土造,98年3月31日,十八層,
RPTNMLNKJIMFFDA87CC,5,581.77,住家用,見其他登記事項,101年9月3日,十五層,
RPTNMLNKJIMFFDA87CC,5,189.19,見其他登記事項,見其他登記事項,101年9月3日,十五層,
