編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLLKJIMFFBB17CC,12,236.45,見其他登記事項,鋼筋混凝土造,94年9月8日,四層,
RPTNMLNKJIMFFAB67CC,11,95.72,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPTNMLNKJIMFFAB67CC,11,20.18,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPTNMLNKJIMFFAB67CC,11,14.34,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPQQMLNKJIMFFBB77CC,3,90.11,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPQQMLNKJIMFFBB77CC,3,20.79,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPQQMLNKJIMFFBB77CC,3,21.36,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPPOMLNKJIMFFFB87CC,23,152.51,住家用,鋼筋混凝土造,83年8月10日,三層,
RPQNMLOKJIMFFHB18CC,12,226.67,見其他登記事項,鋼筋混凝土造,95年3月20日,四層,
RPSQMLNKJIMFFBB97CC,3,82.54,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPSQMLNKJIMFFBB97CC,3,19.04,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPSQMLNKJIMFFBB97CC,3,19.57,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPUNMLNKJIMFFAB77CC,11,101.64,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPUNMLNKJIMFFAB77CC,11,21.44,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPUNMLNKJIMFFAB77CC,11,15.22,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPOOMLNKJIMFFFB77CC,32,213.89,住商用,鋼筋混凝土造,74年5月30日,三層,
RPTOMLOKJIMFFBB97CC,34,45.43,住家用,鋼筋混凝土造,72年9月24日,四層,
RPRNMLOKJIMFFHB28CC,12,230.58,見其他登記事項,鋼筋混凝土造,95年3月20日,四層,
RPSOMLOKJIMFFBB87CC,22,33.12,商業用,鋼筋混凝土造,84年8月14日,十六層,
RPSOMLOKJIMFFBB87CC,22,.31,共有部份,鋼筋混凝土造,84年8月14日,十六層,
RPSOMLOKJIMFFBB87CC,22,6.79,共有部份,鋼筋混凝土造,84年8月14日,十六層,
RPWNMLOKJIMFFAB08CC,22,19.15,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPWNMLOKJIMFFAB08CC,22,3.92,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPWNMLOKJIMFFAB08CC,22,4.42,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPWNMLOKJIMFFAB08CC,22,1.06,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPWNMLOKJIMFFAB08CC,22,1.69,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPVOMLOKJIMFFAB08CC,21,244.69,見其他登記事項,鋼筋混凝土造,85年6月28日,十三層,
RPVOMLOKJIMFFAB08CC,21,70.71,見其他登記事項,鋼筋混凝土造,85年6月28日,十三層,
RPWPMLOKJIMFFAB28CC,11,131.16,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWPMLOKJIMFFAB28CC,11,8.83,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPOPMLOKJIMFFAB47CC,1,84.18,見其他登記事項,鋼筋混凝土造,106年1月25日,十四層,
RPOPMLOKJIMFFAB47CC,1,69.83,見其他登記事項,鋼筋混凝土造,106年1月25日,十四層,
RPVOMLOKJIMFFCB28CC,1,135.79,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPVOMLOKJIMFFCB28CC,1,130.72,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPTTMLPKJIMFFBB58CC,1,98.56,見其他登記事項,鋼筋混凝土造,105年7月17日,二十八層,
RPTTMLPKJIMFFBB58CC,1,76.54,見其他登記事項,鋼筋混凝土造,105年7月17日,二十八層,
RPOOMLPKJIMFFCB67CC,10,125.27,住家用,鋼筋混凝土造,96年12月26日,十四層,
RPOOMLPKJIMFFCB67CC,10,85.99,見其他登記事項,鋼筋混凝土造,96年12月26日,十四層,
RPTNMLPKJIMFFAB87CC,22,19.27,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTNMLPKJIMFFAB87CC,22,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTNMLPKJIMFFAB87CC,22,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTNMLPKJIMFFAB87CC,22,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTNMLPKJIMFFAB87CC,22,1.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTOMLPKJIMFFAB97CC,23,26.74,住家用,鋼筋混凝土造,83年6月25日,十二層,
RPTOMLPKJIMFFAB97CC,23,10.09,共有部份,鋼筋混凝土造,83年6月25日,十二層,
RPPSMLPKJIMFFBB08CC,36,100.00,住商用,鋼筋混凝土造,71年2月26日,三層,
RPUOMLPKJIMFFAB08CC,,150.60,商業用,見其他登記事項,,三層,
RPRNMLPKJIMFFAB67CC,40,69.30,商業用,鋼筋混凝土造,67年2月25日,四層,
RPRNMLPKJIMFFAB67CC,40,44.52,住家用,鋼筋混凝土造,67年2月25日,四層,
RPRNMLPKJIMFFAB67CC,40,42.42,住家用,鋼筋混凝土造,67年2月25日,四層,
RPRNMLPKJIMFFAB67CC,40,42.42,住家用,鋼筋混凝土造,67年2月25日,四層,
RPUNMLPKJIMFFAB97CC,22,19.18,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPUNMLPKJIMFFAB97CC,22,3.58,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPUNMLPKJIMFFAB97CC,22,4.03,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPUNMLPKJIMFFAB97CC,22,.96,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPUNMLPKJIMFFAB97CC,22,1.40,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTPMLPKJIMFFAB08CC,23,14.44,見其他登記事項,鋼筋混凝土造,84年3月28日,十二層,
RPTPMLPKJIMFFAB08CC,23,112.12,見其他登記事項,鋼筋混凝土造,84年3月28日,十二層,
RPTPMLPKJIMFFAB08CC,23,18.44,見其他登記事項,鋼筋混凝土造,84年3月28日,十二層,
RPXNMLPKJIMFFIB56DC,1,75.29,見其他登記事項,鋼筋混凝土造,106年3月7日,十五層,
RPXNMLPKJIMFFIB56DC,1,55.76,見其他登記事項,鋼筋混凝土造,106年3月7日,十五層,
RPOOMLPKJIMFFIB38DC,12,206.53,見其他登記事項,鋼筋混凝土造,94年6月29日,四層,
RPWNMLQKJIMFFAB28CC,1,87.90,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPWNMLQKJIMFFAB28CC,1,79.93,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPQPMLPKJIMFFAB77CC,19,298.66,住家用,鋼筋混凝土造,87年10月30日,二十四層,
RPSNMLQKJIMFFCB08CC,1,135.79,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPSNMLQKJIMFFCB08CC,1,127.30,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPSOMLQKJIMFFAB97CC,11,85.01,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPSOMLQKJIMFFAB97CC,11,13.11,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPSOMLQKJIMFFAB97CC,11,23.92,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPVOMLQKJIMFFBB38CC,27,125.39,住家用,鋼筋混凝土造,80年1月4日,十層,
RPVOMLQKJIMFFBB38CC,27,24.50,共有部份,鋼筋混凝土造,80年1月4日,十層,
RPVNMLRKJIMFFCB48CC,22,152.83,住商用,鋼筋混凝土造,84年10月28日,十二層,
RPTNMLQKJIMFFCB18CC,1,123.33,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPTNMLQKJIMFFCB18CC,1,121.08,見其他登記事項,鋼筋混凝土造,105年12月3日,二十一層,
RPPRMLRKJIMFFCB28CC,1,132.76,見其他登記事項,鋼筋混凝土造,106年3月21日,二十八層,
RPPRMLRKJIMFFCB28CC,1,94.05,見其他登記事項,鋼筋混凝土造,106年3月21日,二十八層,
RPTOMLRKJIMFFBB28CC,34,72.62,住商用,鋼筋混凝土造,72年9月24日,四層,
RPVOMLRKJIMFFBB48CC,34,45.43,住家用,鋼筋混凝土造,72年9月24日,四層,
RPWOMLRKJIMFFBB58CC,34,72.62,住商用,鋼筋混凝土造,72年9月24日,四層,
RPQOMLRKJIMFFBB97CC,24,132.87,住商用,鋼筋混凝土造,82年10月18日,七層,
RPQOMLRKJIMFFBB97CC,24,30.59,共有部份,鋼筋混凝土造,82年10月18日,七層,
RPRPMLKLJIMFFAB47CC,28,146.28,見其他登記事項,鋼筋混凝土造,78年5月5日,五層,
RPQPMLRKJIMFFBB08CC,17,168.63,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPQPMLRKJIMFFBB08CC,17,40.12,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPQPMLRKJIMFFBB08CC,17,46.49,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPSNMLKLJIMFFDB67CC,38,111.10,住商用,加強磚造,68年6月5日,二層,
RPTNMLKLJIMFFDB77CC,1,197.73,工業用,見其他登記事項,105年12月30日,一層,
RPRNMLKLJIMFFCB47CC,2,765.32,見其他登記事項,鋼筋混凝土造,104年5月1日,四層,
