編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLOKJIMFFCC47CA,24,90.05,住家用,鋼筋混凝土造,82年9月27日,七層,二層
RPOOMLOKJIMFFCC47CA,24,10.89,共用部份,鋼筋混凝土造,82年9月27日,七層,
RPOOMLOKJIMFFCC47CA,24,5.42,共用部份,鋼筋混凝土造,82年9月27日,七層,
RPQNMLOKJIMFFCC57CA,21,100.70,住家用,鋼筋混凝土造,85年11月7日,七層,六層
RPQNMLOKJIMFFCC57CA,21,7.09,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPQNMLOKJIMFFCC57CA,21,6.37,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPQNMLOKJIMFFCC57CA,21,.63,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPUNMLKLJIMFFCC67CA,43,53.70,住家用,鋼筋混凝土加強磚造,63年4月30日,四層,四層
RPXOMLKLJIMFFCC08CA,,42.70,住家用,木造,,一層,一層
RPVOMLNLJIMFFCC18CA,41,56.44,商業用,鋼筋混凝土加強磚造,66年2月8日,四層,一層 騎樓
SPVOMLNLJIMFFCC28CA,41,56.44,住家用,鋼筋混凝土加強磚造,66年2月8日,四層,二層
RPQOMLTLJIMFFCC28CA,2,86.39,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,五層
RPQOMLTLJIMFFCC28CA,2,4.80,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPQOMLTLJIMFFCC28CA,2,43.34,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPQOMLTLJIMFFCC28CA,2,42.95,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPTNMLKMJIMFFCC67CA,3,87.07,見其他登記事項,鋼筋混凝土造,104年4月2日,八層,八層
RPTNMLKMJIMFFCC67CA,3,5.58,見其他登記事項,鋼筋混凝土造,104年4月2日,八層,
RPTNMLKMJIMFFCC67CA,3,79.72,見其他登記事項,鋼筋混凝土造,104年4月2日,八層,
RPUNMLNKJIMFFBC77CA,22,36.84,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPTNMLQKJIMFFBC97CA,37,67.87,住家用,鋼筋混凝土造,70年2月2日,四層,地下層
RPXNMLOKJIMFFBC18CA,19,23.42,住家用,鋼筋混凝土造,88年1月14日,十六層,九層
RPXNMLOKJIMFFBC18CA,19,5.59,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLOKJIMFFBC18CA,19,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLOKJIMFFBC18CA,19,1.35,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLOKJIMFFBC18CA,19,.63,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLOKJIMFFBC18CA,19,.26,共用部份,鋼筋混凝土造,88年1月14日,十六層,
