鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
後壁區,土地,上茄苳段上茄苳小段1081~1110地號,1740.0,,特定農業區,農牧用地,1061103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1914000,1100,,0.0,0,,RPRNMLNKJIMFFED87CA
後壁區,房地(土地+建物),臺南市後壁區後?里後?1~30號,616.37,,鄉村區,乙種建築用地,1060926,土地1建物1車位0,全,一層,透天厝,住家用,木造,0340101,30.87,1,1,1,有,無,5966493,193278,,0.0,0,,RPQOMLOJKIMFFED97CA
官田區,土地,西庄段151~180地號,161.0,,鄉村區,乙種建築用地,1061016,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1607100,9982,,0.0,0,,RPVNMLQKJIMFFFD68CA
麻豆區,土地,埤頭段631~660地號,568.1,工,,,1061010,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7711700,13575,,0.0,0,,RPWNMLQKJIMFFFD78CA
六甲區,土地,七甲段1~30地號,801.0,農,,,1061029,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7269000,9075,,0.0,0,,RPWNMLRKJIMFFFD88CA
佳里區,房地(土地+建物),臺南市佳里區鎮山里鎮山61~90號,82.0,住,,,1061023,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840421,167.39,4,2,2,有,無,3700000,22104,,0.0,0,,RPXNMLNKJIMFFGD68CA
七股區,土地,三合段91~120地號,1527.0,,特定農業區,農牧用地,1061012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2590000,1696,,0.0,0,,RPVNMLOKJIMFFGD58CA
東山區,土地,崎子頭段1141~1170地號,6350.0,,山坡地保育區,農牧用地,1061009,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,118,,0.0,0,,RPWNMLRKJIMFFED78CA
後壁區,土地,白沙屯段2041~2070地號,29.5,,特定農業區,交通用地,1061013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45725,1550,,0.0,0,政府部門協議價購,RPWNMLKLJIMFFED18CA
後壁區,土地,白沙屯段2041~2070地號,88.5,,特定農業區,交通用地,1061013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,137175,1550,,0.0,0,政府部門協議價購,RPXNMLKLJIMFFED28CA
南區,房地(土地+建物)+車位,臺南市南區新興路537巷1~30號,61.92,住,,,1061101,土地1建物1車位2,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841214,222.56,3,2,2,有,有,5350000,24038,坡道平面,0.0,0,,RPSNMLLLJIMFFCD67CA
東區,房地(土地+建物)+車位,臺南市東區崇德十一街31~60號,16.46,住,,,1061019,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810125,93.37,3,2,2,有,有,4100000,43911,升降機械,0.0,0,,RPSOMLKLJIMFFCD67CA
