鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,4.02,其他,,,1061016,土地1建物1車位0,四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,43.660000000000004,1,0,1,有,有,有,9000,206,,0.0,0,,RPQOMLNKJIMFFCD87CC
東區,房地(土地+建物),臺南市東區裕農路361~390號,16.46,其他,,,1061102,土地1建物1車位0,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0841227,141.37,3,2,2,有,有,有,15000,106,,0.0,0,出租包含一個坡道平面車位,坪數內含在公設,無法準確分出車位持分面積,RPVOMLOKJIMFFCD48CC
北區,房地(土地+建物),臺南市北區中華北路二段194巷50弄31~60號,89.53,住,,,1061111,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0910510,246.43,4,2,5,有,無,無,36000,146,,0.0,0,,RPROMLOKJIMFFAD87CC
永康區,土地,大灣段3481~3510地號,0.0,農,,,1061111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,0,,0.0,0,,RPPNMLPKJIMFFKD68CC
永康區,建物,臺南市永康區忠義街60巷1~30號,0.0,商,,,1061110,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840331,49.34,1,1,1,有,有,有,8500,172,,0.0,0,,RPXNMLPKJIMFFKD86CC
東區,建物,臺南市東區裕農路121巷2弄1~30號,0.0,住,,,1061110,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0611105,86.82,4,3,2,有,無,無,12000,138,,0.0,0,,RPSNMLPKJIMFFCD18CC
東區,房地(土地+建物),臺南市東區慶東街31~60號,19.57,其他,,,1061019,土地2建物1車位0,一層,11,店面(店鋪),商業用,鋼筋混凝土構造,0800322,388.7,0,0,0,無,無,有,35000,90,,0.0,0,,RPPNMLQKJIMFFCD97CC
東區,建物,臺南市東區東成街200巷61~90號,0.0,住,,,1061022,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0750822,113.82,4,2,2,有,無,有,18000,158,,0.0,0,,RPPPMLQKJIMFFCD18CC
中西區,房地(土地+建物),臺南市中西區府前路二段235巷1~30號,72.7,商,,,1061110,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0701214,183.08,6,2,4,有,無,無,15000,82,,0.0,0,,RPXOMLQKJIMFFAD68CC
中西區,土地,青年段61~90地號,1299.3,商,,,1061113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,52000,40,,0.0,0,,RPOPMLQKJIMFFAD87CC
中西區,建物,臺南市中西區頂美三街151~180號,0.0,住,,,1061019,土地0建物1車位1,五層,18,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051026,174.98000000000002,3,2,2,有,有,有,38000,217,坡道平面,0.0,0,,RPRNMLRKJIMFFAD08CC
安平區,房地(土地+建物),臺南市安平區安北街121~150號,81.49,住,,,1061116,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0870117,43.41,0,1,1,有,無,無,33000,760,,0.0,0,,RPPOMLRKJIMFFAD97CC
安平區,房地(土地+建物),臺南市安平區育平路181~210號,23.37,住,,,1061117,土地1建物1車位0,見其他登記事項,17,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840729,140.7,2,2,2,有,無,有,22000,156,,0.0,0,,RPQNMLTKJIMFFAD18CC
北區,房地(土地+建物),臺南市北區北安路一段176巷1~30號,0.0,商,,,1061114,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0951129,53.68,2,1,1,有,無,有,11000,205,,0.0,0,,RPTNMLKLJIMFFAD67CC
永康區,建物,臺南市永康區大橋一街223巷61~90號,0.0,住,,,1061116,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701110,86.99,5,1,3,有,無,無,15000,172,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPUNMLKLJIMFFKD78CC
東區,建物,臺南市東區大學路18巷1~30號,0.0,住,,,1061103,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0680417,133.21,4,2,3,有,無,有,30000,225,,0.0,0,,RPRNMLKLJIMFFCD67CC
南區,建物,臺南市南區國華街一段108巷1~30號,0.0,住,,,1061114,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0680517,74.13,3,1,1,有,無,無,11500,155,,0.0,0,,RPTNMLKLJIMFFCD87CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,3.17,其他,,,1061024,土地1建物1車位0,十四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,59.989999999999995,1,1,1,有,有,有,7500,125,,0.0,0,租金含管理費。,RPTOMLKLJIMFFCD97CC
