編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLPKJIMFFAF97CA,1,86.27,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,十二層
RPROMLPKJIMFFAF97CA,1,46.38,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPROMLPKJIMFFAF97CA,1,44.59,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPQNMLOKJIMFFAF67CA,45,103.23,住家用,加強磚造,61年9月25日,三層,二層
RPUQMLPKJIMFFAF48CA,,66.05,住家用,加強磚造,,四層,一層 平台
RPOOMLPKJIMFFAF67CA,1,58.93,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,八層
RPOOMLPKJIMFFAF67CA,1,28.98,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPWNMLPKJIMFFAF38CA,1,101.99,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,十八層
RPWNMLPKJIMFFAF38CA,1,54.85,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPWNMLPKJIMFFAF38CA,1,44.59,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPPQMLOKJIMFFAF87CA,38,92.17,住家用,鋼筋混凝土造,69年1月22日,五層,三層
RPXNMLOKJIMFFAF38CA,20,37.09,共有部份,見其他登記事項,86年7月29日,三十五層,
RPXNMLOKJIMFFAF38CA,20,22.28,見其他登記事項,鋼筋混凝土造,86年7月29日,三十五層,
RPXNMLOKJIMFFAF38CA,20,3.58,共有部份,見其他登記事項,86年7月29日,三十五層,
RPXNMLOKJIMFFAF38CA,20,140.62,住家用,鋼筋混凝土造,86年7月29日,二十七層,六層
RPUPMLNLJIMFFAF28CA,22,28.49,住家用,鋼筋混凝土造,84年9月5日,十九層,九層
RPUPMLNLJIMFFAF28CA,22,7.36,共有部份,鋼筋混凝土造,84年9月5日,十九層,
RPTRMLPKJIMFFBF58CA,,67.70,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,十一層
RPTRMLPKJIMFFBF58CA,,59.71,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,
RPWPMLQKJIMFFAF68CA,8,14.87,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPWPMLQKJIMFFAF68CA,8,.09,見其他登記事項,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPWPMLQKJIMFFAF68CA,8,26.75,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPWPMLQKJIMFFAF68CA,8,.01,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPWPMLQKJIMFFAF68CA,8,98.99,住家用,鋼骨鋼筋混凝土造,98年8月10日,二十九層,五層
RPWPMLQKJIMFFAF68CA,8,38.62,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPURMLPKJIMFFBF68CA,,95.75,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,八層
RPURMLPKJIMFFBF68CA,,71.85,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,
RPSNMLOKJIMFFBF97CA,13,.04,見其他登記事項,鋼筋混凝土造,93年4月15日,七層,
RPSNMLOKJIMFFBF97CA,13,54.59,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPSNMLOKJIMFFBF97CA,13,14.00,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPSNMLOKJIMFFBF97CA,13,83.88,住家用,鋼筋混凝土造,93年4月15日,十一層,七層
RPQNMLOKJIMFFBF77CA,5,94.88,見其他登記事項,鋼筋混凝土造,101年8月23日,十五層,二層
RPQNMLOKJIMFFBF77CA,5,23.56,見其他登記事項,鋼筋混凝土造,101年8月23日,十五層,
RPQNMLOKJIMFFBF77CA,5,46.86,見其他登記事項,鋼筋混凝土造,101年8月23日,十五層,
RPUQMLOKJIMFFBF48CA,5,118.05,見其他登記事項,鋼筋混凝土造,101年4月25日,十七層,十層
RPUQMLOKJIMFFBF48CA,5,19.96,見其他登記事項,鋼筋混凝土造,101年4月25日,十七層,
RPUQMLOKJIMFFBF48CA,5,54.19,見其他登記事項,鋼筋混凝土造,101年4月25日,十七層,
RPQQMLOKJIMFFBF08CA,11,145.22,住家用,鋼筋混凝土造,95年8月25日,十九層,八層
RPQQMLOKJIMFFBF08CA,11,35.57,共有部分,鋼筋混凝土造,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,11,12.71,共有部分,見其他登記事項,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,11,3.53,共有部分,鋼筋混凝土造,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,11,34.38,共有部分,鋼筋混凝土造,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,11,2.07,共有部分,鋼筋混凝土造,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,11,6.65,見其他登記事項,鋼筋混凝土造,95年8月25日,十九層,
RPQQMLOKJIMFFBF08CA,10,.99,見其他登記事項,鋼筋混凝土造,96年8月17日,十八層,
RPQQMLOKJIMFFBF08CA,10,2.44,共有部分,鋼筋混凝土造,96年8月17日,十九層,
RPROMLQKJIMFFBF18CA,4,77.41,見其他登記事項,鋼筋混凝土造,102年12月13日,二十五層,
RPVRMLPKJIMFFBF78CA,,95.75,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,十二層
RPVRMLPKJIMFFBF78CA,,71.85,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,
RPWRMLPKJIMFFBF88CA,,67.52,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,六層
RPWRMLPKJIMFFBF88CA,,59.62,見其他登記事項,鋼筋混凝土造,106年7月5日,十五層,
RPVQMLOKJIMFFBF58CA,9,72.14,住家用,鋼筋混凝土造,97年7月29日,十九層,十三層
RPVQMLOKJIMFFBF58CA,9,1.28,共有部分,鋼筋混凝土造,97年7月29日,十九層,
