編號,車位類別,車位價格,車位面積平方公尺
RPROMLPKJIMFFAF97CA,坡道平面,2300000,44.59
RPWNMLPKJIMFFAF38CA,坡道平面,2100000,44.59
RPXNMLOKJIMFFAF38CA,坡道機械,0,
RPTRMLPKJIMFFBF58CA,坡道平面,1400000,30.36
RPWPMLQKJIMFFAF68CA,坡道平面,0,38.72
RPURMLPKJIMFFBF68CA,坡道平面,1350000,30.36
RPSNMLOKJIMFFBF97CA,坡道平面,0,39.12
RPQNMLOKJIMFFBF77CA,坡道平面,0,
RPUQMLOKJIMFFBF48CA,坡道平面,0,32.56
RPQQMLOKJIMFFBF08CA,坡道平面,0,34.38
RPROMLQKJIMFFBF18CA,升降機械,0,38.70
RPROMLQKJIMFFBF18CA,升降機械,0,38.70
RPVRMLPKJIMFFBF78CA,坡道平面,1350000,30.36
RPWRMLPKJIMFFBF88CA,坡道平面,1400000,30.36
RPVQMLOKJIMFFBF58CA,坡道平面,0,39.18
RPOSMLPKJIMFFBF18CA,坡道平面,1400000,30.36
RPQUMLPKJIMFFBF58CA,坡道平面,1700000,39.78
RPXRMLPKJIMFFBF98CA,坡道平面,1200000,26.19
RPPPMLRKJIMFFBF18CA,坡道平面,0,32.12
RPOQMLKLJIMFFBF57CA,坡道平面,1900000,37.17
RPXOMLRLJIMFFBF98CA,坡道平面,0,40.49
RPXOMLRLJIMFFBF98CA,坡道平面,0,40.48
RPXOMLRLJIMFFBF98CA,坡道平面,0,40.49
RPQSMLRLJIMFFBF68CA,坡道平面,0,41.16
RPUNMLRLJIMFFBF58CA,坡道平面,1900000,36.99
RPXOMLNLJIMFFBF58CA,坡道平面,2200000,39.97
RPTNMLSLJIMFFBF58CA,坡道平面,2000000,22.66
RPQQMLSLJIMFFBF58CA,坡道平面,1500000,29.04
RPUQMLSLJIMFFBF98CA,坡道平面,1500000,35.92
RPUNMLSLJIMFFBF68CA,坡道平面,0,22.66
RPVNMLSLJIMFFBF78CA,坡道平面,1900000,20.85
RPVQMLQJKIMFFBF78CA,坡道平面,1700000,36.80
RPVRMLQJKIMFFBF88CA,坡道平面,1600000,36.80
RPQSMLQJKIMFFBF48CA,坡道平面,1850000,36.80
RPTRMLQJKIMFFBF68CA,坡道平面,1900000,36.80
RPUSMLQJKIMFFBF88CA,坡道平面,1700000,36.80
RPWSMLQJKIMFFBF09CA,坡道平面,2100000,36.80
SPPTMLQJKIMFFBF58CA,坡道平面,1800000,36.80
RPVSMLQJKIMFFBF98CA,坡道平面,1900000,36.80
RPOTMLQJKIMFFBF38CA,坡道平面,2000000,36.80
RPSTMLQJKIMFFBF78CA,坡道平面,1700000,36.80
RPQTMLQJKIMFFBF58CA,坡道平面,0,36.80
RPQTMLQJKIMFFBF58CA,坡道平面,0,36.80
RPTTMLQJKIMFFBF88CA,坡道平面,1800000,36.80
RPRTMLQJKIMFFBF68CA,坡道平面,1600000,36.80
