編號,車位類別,車位價格,車位面積平方公尺
RPRTMLPKJIMFFBF68CB,坡道平面,0,26.26
RPSTMLPKJIMFFBF78CB,坡道平面,0,26.26
RPOTMLPKJIMFFBF38CB,坡道平面,0,26.26
RPVSMLPKJIMFFBF98CB,坡道平面,0,26.26
RPXSMLPKJIMFFBF56CB,坡道平面,0,22.65
RPTTMLPKJIMFFBF88CB,坡道平面,0,26.26
RPVTMLPKJIMFFBF09CB,坡道平面,0,26.26
RPPTMLPKJIMFFBF48CB,坡道平面,0,26.26
RPXNMLKLJIMFFEF58CB,坡道平面,1550000,29.11
RPWSMLPKJIMFFBF09CB,坡道平面,0,26.26
RPQTMLPKJIMFFBF58CB,坡道平面,0,26.26
RPOOMLKLJIMFFEF77CB,坡道平面,1550000,29.11
RPROMLKLJIMFFEF08CB,坡道平面,1500000,29.11
RPQOMLKLJIMFFEF97CB,坡道平面,1400000,29.11
RPSOMLKLJIMFFEF18CB,坡道平面,1200000,29.11
RPPOMLKLJIMFFEF87CB,坡道平面,1300000,29.11
RPVOMLKLJIMFFEF48CB,坡道平面,1450000,29.11
RPVOMLKLJIMFFEF48CB,坡道機械,750000,14.55
RPOPMLKLJIMFFEF87CB,坡道平面,1500000,29.11
RPUOMLKLJIMFFEF38CB,坡道平面,1300000,29.11
RPPPMLKLJIMFFEF97CB,坡道平面,1400000,29.11
RPXOMLKLJIMFFEF68CB,坡道平面,1500000,29.11
RPTPMLKLJIMFFEF38CB,坡道平面,1500000,29.11
RPWOMLKLJIMFFEF58CB,坡道平面,1400000,29.11
RPRPMLKLJIMFFEF18CB,坡道平面,1500000,29.11
RPQPMLKLJIMFFEF08CB,坡道平面,1500000,29.11
RPWPMLKLJIMFFEF68CB,坡道機械,950000,14.55
RPSPMLKLJIMFFEF28CB,坡道平面,1550000,29.11
RPVPMLKLJIMFFEF58CB,坡道機械,950000,14.55
RPUPMLKLJIMFFEF48CB,坡道平面,1200000,29.11
RPXPMLKLJIMFFEF78CB,坡道平面,1000000,29.11
RPTOMLKLJIMFFEF28CB,坡道平面,1400000,29.11
RPPQMLKLJIMFFEF08CB,坡道機械,950000,14.55
RPSQMLKLJIMFFEF38CB,坡道平面,1450000,29.11
RPQQMLKLJIMFFEF18CB,坡道機械,630000,14.55
RPTQMLKLJIMFFEF48CB,坡道機械,800000,14.55
RPVQMLKLJIMFFEF68CB,坡道平面,1250000,29.11
