鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義市新榮路61~90號,70.0,住,,,1061026,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0560112,110.09,4,2,3,有,無,3850000,34971,,0.0,0,二親等間特殊關係間之交易。,RPPNMLOKJIMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市信興街73巷3弄1~30號,123.0,住,,,1060912,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1030605,250.96,3,2,3,有,無,14100000,56184,,0.0,0,,RPOOMLOKJIMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路181~210號,4.76,住,,,1061016,土地0建物1車位0,八層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,40.03,1,1,1,有,無,950000,23732,,0.0,0,,RPRNMLPKJIMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市吉林街1~30號,90.0,住,,,1061019,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670125,108.11,8,4,3,有,無,3200000,29599,,0.0,0,,RPUNMLPKJIMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新?481~510號,12.04,住,,,1061019,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720708,38.43,1,1,1,有,有,1200000,31226,,0.0,0,,RPWNMLPKJIMFFAI68CA
嘉義市,土地,下路頭段421~450地號,477.0,其他,,,1061018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12354300,25900,,0.0,0,協議價購,RPQNMLQKJIMFFAI18CA
嘉義市,土地,下路頭段61~90地號,61.0,其他,,,1061018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1340780,21980,,0.0,0,協議價購,RPRNMLQKJIMFFAI28CA
嘉義市,土地,劉厝段劉厝小段301~330地號,350.0,住,,,1060928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5355000,15300,,0.0,0,,RPQNMLRKJIMFFAI28CA
嘉義市,建物,嘉義市嘉義市北門街61~90號,0.0,,,,1060926,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0620228,272.79,4,2,4,有,無,496200,1819,,0.0,0,,RPRNMLRKJIMFFAI38CA
嘉義市,土地,北園段1501~1530地號,68.0,住,,,1061002,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,686800,10100,,0.0,0,,RPSNMLRKJIMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市福全街1~30號,72.0,住,,,1060905,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1060629,167.45,3,2,1,有,無,11500000,68677,,0.0,0,,RPTNMLRKJIMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市文化路432巷31~60號,25.18,住,,,1061020,土地1建物2車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801125,137.51999999999998,3,2,3,有,有,2200000,15998,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLNLJIMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路31~60號,97.0,住,,,1060927,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0700616,275.92,4,1,4,有,無,12800000,46390,,0.0,0,,RPOOMLNLJIMFFAI87CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路781~810號,14.18,住,,,1061031,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,119.81,2,2,2,有,有,4300000,36967,坡道機械,14.31,400000,,RPVOMLNLJIMFFAI58CA
嘉義市,土地,北社尾段保安小段691~720地號,88.42,住,,,1061025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8550000,96698,,0.0,0,,RPSNMLRLJIMFFAI58CA
嘉義市,土地,港子坪段港坪小段121~150地號,309.0,住,,,1061107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21490000,69547,,0.0,0,,RPTNMLSLJIMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街1~30號,111.73,住,,,1060803,土地5建物2車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1020605,203.41,4,2,5,有,有,13500000,66368,,0.0,0,,RPTNMLKKKIMFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路331~360號,6.98,住,,,1061028,土地1建物2車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,54.42,1,1,1,有,無,850000,15619,,0.0,0,,RPWNMLRKJIMFFAI09EA
嘉義市,房地(土地+建物),嘉義市嘉義市新生路601~630號,296.0,住,,,1060921,土地2建物2車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1041209,574.27,4,2,6,有,無,70000000,121894,,0.0,0,,RPVNMLPKJIMFFAI78EA
嘉義市,房地(土地+建物),嘉義市嘉義市水源地33之91~120號,132.0,住,,,1060912,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1050421,299.44,4,2,5,有,無,20000000,66791,,0.0,0,,RPPNMLKKKIMFFAI57CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市遠東街151~180號,15.28,商,,,1061003,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820526,142.88,3,2,2,有,有,4250000,29745,坡道機械,0.0,0,,RPQNMLKKKIMFFAI67CA
