編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLQKJIMFFAI28CA,下路頭段,61.00,都市：其他
RPQNMLQKJIMFFAI18CA,下路頭段,477.00,都市：其他
RPSNMLRKJIMFFAI48CA,北園段,68.00,都市：住
RPQNMLRKJIMFFAI28CA,劉厝段劉厝小段,350.00,都市：住
RPUNMLPKJIMFFAI48CA,北社尾段保安小段,90.00,都市：住
RPPNMLOKJIMFFAI87CA,白川段,70.00,都市：住
RPRNMLPKJIMFFAI18CA,短竹段,4.76,都市：住
RPWNMLPKJIMFFAI68CA,盧厝段,12.04,都市：住
RPSNMLRLJIMFFAI58CA,北社尾段保安小段,88.42,都市：住
RPTNMLSLJIMFFAI78CA,港子坪段港坪小段,309.00,都市：住
RPXNMLNLJIMFFAI68CA,埤子頭段,25.18,都市：住
RPVOMLNLJIMFFAI58CA,遠東段,14.18,都市：住
RPPOMLLKKIMFFAI77CA,竹圍子段,39.75,都市：住
RPWNMLRKJIMFFAI09EA,短竹段,6.98,都市：住
RPQNMLKKKIMFFAI67CA,竹圍子段中興小段,15.28,都市：商
RPPNMLPLJIMFFAI08CA,民族段二小段,14.67,都市：住
RPPNMLPLJIMFFAI08CA,民族段二小段,12.00,都市：住
RPPNMLPLJIMFFAI08CA,民族段二小段,32.00,都市：住
RPPNMLPLJIMFFAI08CA,民族段二小段,11.00,都市：住
RPPNMLPLJIMFFAI08CA,民族段二小段,3.00,都市：住
RPPNMLPLJIMFFAI08CA,民族段二小段,1.00,都市：住
RPTNMLMJKIMFFAI08CA,東川段,12.44,都市：住
RPVNMLPKJIMFFAI78EA,台斗坑段,148.00,都市：住
RPVNMLPKJIMFFAI78EA,台斗坑段,148.00,都市：住
RPOOMLOKJIMFFAI87CA,下路頭段,123.00,都市：住
RPXNMLPJKIMFFAI78CA,盧東段,29.66,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,34.52,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,11.97,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,32.40,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,102.92,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,.44,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,.39,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,4.43,都市：農
RPXNMLPJKIMFFAI78CA,盧東段,1.83,都市：農
RPUNMLOJKIMFFAI38CA,盧厝段,598.00,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,32.12,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,37.38,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,12.96,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,111.04,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,.48,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,.42,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,4.80,都市：農
RPWNMLRJKIMFFAI88CA,盧東段,1.98,都市：農
RPPNMLSJKIMFFAI28CA,盧東段,32.12,都市：農
RPPNMLSJKIMFFAI28CA,盧東段,37.38,都市：農
RPPNMLSJKIMFFAI28CA,盧東段,12.96,都市：農
RPPNMLSJKIMFFAI28CA,盧東段,111.04,都市：農
