編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLPKJIMFFAK18CA,南湖段,33.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPRNMLOKJIMFFEK68CA,八櫃段,3171.17,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOKJIMFFEK48CA,西湖段,437.63,非都市：山坡地保育區 ; 非都市編定：林業用地
RPPNMLOKJIMFFEK48CA,西湖段,2915.42,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOKJIMFFEK48CA,西湖段,221.01,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLOKJIMFFDK38CA,龍西段,4.57,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,4.65,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,4.50,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,4.32,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,11.74,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,5.09,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,22.94,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,4.83,都市：住
RPOOMLOKJIMFFDK38CA,龍西段,4.76,都市：住
RPRNMLOKJIMFFBK38CA,福南段,1390.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOLJIMFFEK88CA,八櫃段,1273.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQOMLNKJIMFFFK68CA,內灣段,4132.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLNKJIMFFFK78CA,內灣段,4035.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPKJIMFFBK38CA,恭敬段,10.50,都市：住
RPQNMLPKJIMFFBK38CA,恭敬段,18.30,都市：住
RPSOMLNKJIMFFFK88CA,內灣段,5787.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLKMJIMFFBK68CA,福安段,44.20,都市：住
RPXNMLKMJIMFFBK78CA,福安段,44.02,都市：住
RPSNMLOKJIMFFFK88CA,大河底段,6658.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTOMLNKJIMFFFK98CA,內灣段,1560.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLNKJIMFFFK48CA,義民段,8.21,都市：住
RPPOMLNKJIMFFFK58CA,觀音段,98.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMLJIMFFFK88CA,下林坪段,3.50,非都市：山坡地保育區 ; 非都市編定：交通用地
RPTNMLMLJIMFFFK88CA,下林坪段,105.50,非都市：山坡地保育區 ; 非都市編定：交通用地
RPVNMLKMJIMFFFK98CA,文化段,151.01,都市：住
RPXNMLOJKIMFFCK09CA,社柑段,24.68,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLOJKIMFFCK09CA,社柑段,24.68,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLSJKIMFFFK86CA,四灣段,1302.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLSJKIMFFFK86CA,四灣段,707.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLSJKIMFFFK86CA,四灣段,181.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLSJKIMFFFK86CA,四灣段,66.50,非都市：山坡地保育區 ; 非都市編定：交通用地
SPUNMLSJKIMFFFK96CA,四灣段,386.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLNKKIMFFBK48DA,出礦坑段,574.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,134.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,412.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,97.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,1044.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,231.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKIMFFBK48DA,出礦坑段,301.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
