編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNKJIMFFAO66CC,36,155.93,住商用,鋼筋混凝土造,71年2月25日,五層,
RPOPMLNKJIMFFAO68CC,19,138.59,住家用,鋼筋混凝土造,87年7月10日,七層,
RPOPMLNKJIMFFAO68CC,19,36.41,共有部分,鋼筋混凝土造,87年7月10日,七層,
RPOPMLNKJIMFFAO68CC,19,15.32,共有部分,鋼筋混凝土造,87年7月10日,七層,
RPRPMLNKJIMFFAO98CC,24,262.61,住家用,鋼筋混凝土造,83年1月20日,三層,
RPTPMLNKJIMFFAO56CC,13,30.98,見其他登記事項,鋼筋混凝土造,94年2月20日,四層,
RPTPMLNKJIMFFAO56CC,13,35.94,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPTPMLNKJIMFFAO56CC,13,10.87,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPSPMLNKJIMFFAO09CC,17,32.40,住家用,鋼筋混凝土造,89年4月17日,十四層,
RPSPMLNKJIMFFAO09CC,17,9.30,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPVPMLNKJIMFFAO76CC,3,68.60,見其他登記事項,鋼筋混凝土造,103年8月29日,十五層,
RPQPMLNKJIMFFAO88CC,27,85.05,住家用,鋼筋混凝土造,80年4月10日,五層,
RPQPMLNKJIMFFAO88CC,27,5.80,共有部分,鋼筋混凝土造,80年4月10日,五層,
RPVPMLNKJIMFFAO76CC,3,17.95,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPVPMLNKJIMFFAO76CC,3,50.35,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPSNMLOKJIMFFAO98CC,26,20.18,住家用,鋼筋混凝土造,80年12月2日,五層,
RPSNMLOKJIMFFAO98CC,21,6.43,見其他登記事項,鋼筋混凝土造,86年2月3日,五層,
RPWOMLOKJIMFFAO86CC,2,522.00,見其他登記事項,見其他登記事項,104年11月5日,二層,
RPWOMLOKJIMFFAO86CC,2,69.26,共有部分,見其他登記事項,104年11月5日,二層,
RPWOMLOKJIMFFAO86CC,2,15.45,共有部分,見其他登記事項,104年11月5日,二層,
RPWOMLOKJIMFFAO86CC,2,31.96,共有部分,見其他登記事項,104年11月5日,二層,
RPPPMLNKJIMFFAO78CC,10,17.66,見其他登記事項,鋼筋混凝土造,96年12月5日,十一層,
RPPPMLNKJIMFFAO78CC,10,11.91,見其他登記事項,鋼筋混凝土造,96年12月5日,十一層,
RPTNMLOKJIMFFAO56DC,14,373.64,見其他登記事項,鋼筋混凝土造,92年10月28日,三層,
RPUNMLRKJIMFFAO86CC,4,93.26,見其他登記事項,鋼筋混凝土造,102年12月11日,十五層,
RPUNMLRKJIMFFAO86CC,4,17.84,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPUNMLRKJIMFFAO86CC,4,25.44,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPVOMLKLJIMFFAO09CC,19,227.51,見其他登記事項,鋼筋混凝土造,88年1月11日,四層,
RPXNMLQKJIMFFAO07CC,23,104.43,住家用,鋼筋混凝土造,83年7月13日,十二層,
RPXNMLQKJIMFFAO07CC,23,8.36,,鋼筋混凝土造,83年8月13日,十二層,
RPXNMLQKJIMFFAO07CC,,19.63,共有部分,鋼筋混凝土造,,十二層,
RPVPMLKLJIMFFAO56CC,6,53.98,見其他登記事項,鋼筋混凝土造,101年2月21日,十一層,
RPVPMLKLJIMFFAO56CC,6,29.10,共有部分,鋼筋混凝土造,101年2月21日,十一層,
