編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPKJIMFFCQ98CA,37,183.15,住商用,鋼筋混凝土加強磚造,69年12月15日,三層,一層 二層 三層 騎樓
RPRNMLLLJIMFFCQ88CA,36,82.40,住家用,鋼筋混凝土加強磚造,70年10月12日,一層,一層
RPQOMLPKJIMFFCQ56CA,24,166.35,住家用,鋼筋混凝土造,82年5月20日,四層,一層 二層 三層 四層 騎樓
RPUNMLOKJIMFFDQ86CA,25,92.92,住家用,鋼筋混凝土加強磚造,81年6月29日,二層,一層 二層
RPVNMLPKJIMFFDQ17DA,2,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPQNMLKKKIMFFDQ78CA,37,100.12,住家用,鋼筋混凝土加強磚造,69年3月24日,二層,一層 二層
RPXNMLNKJIMFFBQ86CA,,204.85,見其他登記事項,鋼筋混凝土造,106年6月7日,四層,一層 二層 三層 四層
RPPNMLPKJIMFFBQ88CA,10,207.88,見其他登記事項,鋼筋混凝土造,97年4月8日,四層,一層 二層 三層 四層 地下一層
RPPNMLPKJIMFFBQ88CA,10,4.62,見其他登記事項,鋼筋混凝土造,97年4月8日,三層,
RPPNMLPKJIMFFBQ88CA,10,28.89,停車空間,鋼筋混凝土造,97年4月8日,四層,
RPPNMLPKJIMFFBQ88CA,10,207.88,見其他登記事項,鋼筋混凝土造,97年4月8日,四層,一層 二層 三層 四層 地下一層
RPPNMLPKJIMFFBQ88CA,10,4.62,見其他登記事項,鋼筋混凝土造,97年4月8日,三層,
RPPNMLPKJIMFFBQ88CA,10,28.89,停車空間,鋼筋混凝土造,97年4月8日,四層,
RPPNMLSKJIMFFCQ66CA,24,210.77,住家用,鋼筋混凝土造,82年12月15日,四層,一層 二層 三層 四層
RPXNMLRKJIMFFDQ47CA,,186.46,住家用,鋼筋混凝土造,106年8月2日,三層,一層 二層 三層 見其他登記事項
RPSNMLOKJIMFFCQ76EA,24,159.75,住家用,鋼筋混凝土造,82年11月3日,三層,一層 二層 三層 電梯樓梯間
RPWNMLKMJIMFFCQ96EA,,228.76,見其他登記事項,鋼筋混凝土造,106年8月3日,三層,一層 二層 三層 見其他登記事項
RPQNMLMLJIMFFCQ88CA,27,156.94,住家用,見其他登記事項,79年12月13日,三層,一層 二層 三層 電梯樓梯間
RPSNMLKMJIMFFCQ56EA,,206.26,見其他登記事項,鋼筋混凝土造,106年8月3日,三層,一層 二層 三層 見其他登記事項
RPPOMLPKJIMFFDQ56CA,18,9.74,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPPOMLPKJIMFFDQ56CA,18,68.11,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,三層
RPPOMLPKJIMFFDQ56CA,18,.59,見其他登記事項,鋼筋混凝土造,88年5月31日,一層,
RPPOMLPKJIMFFDQ56CA,18,68.11,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,三層
RPPOMLPKJIMFFDQ56CA,18,9.74,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPPOMLPKJIMFFDQ56CA,18,.59,見其他登記事項,鋼筋混凝土造,88年5月31日,一層,
RPSNMLQKJIMFFDQ86CA,22,111.96,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,一層 二層 三層
RPSNMLQKJIMFFDQ86CA,22,24.44,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPSNMLQKJIMFFDQ86CA,22,16.60,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPUNMLRLJIMFFDQ27CA,1,214.90,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPPOMLPKJIMFFCQ09CA,24,90.80,住家用,鋼筋混凝土造,82年12月14日,七層,三層
RPPOMLPKJIMFFCQ09CA,24,9.47,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPPOMLPKJIMFFCQ09CA,24,8.92,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPPOMLQKJIMFFCQ56CA,23,167.38,住家用,鋼筋混凝土造,83年8月18日,三層,一層 二層 三層 電梯樓梯間
RPQNMLQLJIMFFBQ56CA,11,17.36,住家用,鋼筋混凝土造,95年8月28日,八層,五層
RPQNMLQLJIMFFBQ56CA,11,4.31,共有部份,鋼筋混凝土造,95年8月28日,,
RPQNMLQLJIMFFBQ56CA,11,6.83,共有部份,鋼筋混凝土造,95年8月28日,,
RPROMLQKJIMFFCQ76CA,24,98.79,住家用,鋼筋混凝土造,82年12月14日,七層,四層
RPROMLQKJIMFFCQ76CA,24,7.89,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPROMLQKJIMFFCQ76CA,24,5.84,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPPNMLRLJIMFFBQ56CA,12,16.18,住家用,鋼筋混凝土造,94年10月3日,十層,二層
RPPNMLRLJIMFFBQ56CA,12,.10,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPPNMLRLJIMFFBQ56CA,12,8.53,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPTNMLQJKIMFFBQ76CA,40,92.00,住家用,鋼筋混凝土加強磚造,66年10月28日,二層,一層 二層
RPQNMLRKJIMFFCQ66CA,,201.44,住家用,鋼筋混凝土造,106年6月15日,四層,一層 二層 三層 四層
RPPNMLMLJIMFFBQ78DA,33,33.80,商業用,見其他登記事項,73年6月16日,一層,一層 騎樓
RPSNMLSLJIMFFCQ17DA,26,177.09,住家用,鋼筋混凝土加強磚造,80年9月2日,三層,一層 二層 三層 電梯樓梯間
RPRNMLTKJIMFFBQ86CA,,221.81,住家用,鋼筋混凝土造,106年5月12日,四層,一層 二層 三層 四層
RPSNMLMLJIMFFDQ56CA,24,33.00,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,三層
RPSNMLMLJIMFFDQ56CA,24,1.97,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPSNMLMLJIMFFDQ56CA,24,5.20,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPSNMLMLJIMFFDQ56CA,24,10.70,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPQNMLMLJIMFFEQ66EA,24,161.79,住家用,鋼筋混凝土造,82年9月6日,三層,一層 二層 三層
RPVNMLLKKIMFFCQ86EA,35,69.53,住家用,鋼筋混凝土加強磚造,71年12月31日,二層,一層 二層
RPSNMLLLJIMFFBQ88CA,35,112.40,住家用,鋼筋混凝土加強磚造,71年6月15日,二層,一層 二層 騎樓
RPVNMLPJKIMFFDQ07CA,24,87.94,住家用,鋼筋混凝土造,82年7月20日,四層,一層 二層 三層 四層
RPQNMLPKKIMFFBQ09CA,11,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPQNMLPKKIMFFBQ09CA,11,4.20,共有部份,鋼筋混凝土造,95年8月28日,,
RPQNMLPKKIMFFBQ09CA,11,5.78,共有部份,鋼筋混凝土造,95年8月28日,,
RPRNMLPKKIMFFBQ56CA,11,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPRNMLPKKIMFFBQ56CA,11,5.78,共有部份,鋼筋混凝土造,95年8月28日,,
