編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLOKJIMFFAT86CA,新林段,22.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKJIMFFAT86CA,新林段,808.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKJIMFFAT86CA,新林段,13.01,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOKJIMFFAT86CA,新林段,3.25,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLRKJIMFFAT86CA,勝興段,18.00,都市：住
RPSOMLRKJIMFFAT07CA,勝興段,16.00,都市：住
RPROMLRKJIMFFAT96CA,勝興段,19.00,都市：住
RPQNMLOJKIMFFBT56CA,新莊段,2843.01,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOJKIMFFBT56CA,新莊段,2595.26,非都市：一般農業區 ; 非都市編定：農牧用地
RPVOMLQKJIMFFAT27CA,勝興段,31.85,都市：住
RPTNMLPJKIMFFBT96CA,泰山段,554.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLPJKIMFFBT96CA,泰山段,309.31,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLOKJIMFFCT27CA,蓬萊段,1240.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOKJIMFFBT09CA,新高段,102.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLJIMFFCT98CA,牛角灣段,1479.91,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLNKJIMFFCT17CA,壽比段,6.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLQKJIMFFCT76CA,美和段,17.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLQKJIMFFCT76CA,美和段,76.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRLJIMFFCT96CA,富春段,67.63,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLPKJIMFFDT96CA,壽元段,523.49,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPKJIMFFDT96CA,壽元段,.97,非都市：鄉村區 ; 非都市編定：交通用地
RPUNMLRLJIMFFCT47CA,明德段,23.39,都市：住
RPQNMLMLJIMFFET76CA,牡丹灣段,114.69,非都市：山坡地保育區 ; 非都市編定：林業用地
RPVNMLNLJIMFFET37CA,恆東段,504.34,都市：農
RPWNMLNLJIMFFET47CA,恆東段,541.62,都市：農
RPXNMLNLJIMFFET57CA,恆東段,519.99,都市：農
RPOOMLNLJIMFFET76CA,恆東段,359.04,都市：農
RPQNMLOLJIMFFET96CA,德和段,342.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLJIMFFFT66CA,內寮村段,3382.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLJIMFFFT66CA,內寮村段,4845.55,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLJIMFFFT66CA,內寮村段,4374.48,非都市：一般農業區 ; 非都市編定：農牧用地
