編號,車位類別,車位價格,車位面積平方公尺
RPXNMLOKKIMFFAA97CA,升降平面,0,41.09
RPRNMLMLJIMFFBA27CA,一樓平面,0,
RPXNMLRLJIMFFAA28CA,坡道平面,0,
RPSOMLTKKIMFFBA18CA,升降平面,0,33.05
RPQNMLOJKIMFFCA37CA,坡道平面,0,
RPQNMLOJKIMFFCA37CA,坡道平面,0,
RPQNMLOJKIMFFCA37CA,坡道平面,0,
RPVOMLTKKIMFFBA48CA,升降平面,0,33.05
RPVOMLTKKIMFFBA48CA,升降平面,0,33.05
RPVOMLTKKIMFFBA48CA,升降平面,0,33.05
RPVOMLTKKIMFFBA48CA,升降平面,0,33.05
RPVNMLPJKIMFFCA97CA,坡道平面,2500000,33.33
RPTNMLPJKIMFFCA77CA,坡道平面,0,33.33
RPTNMLPJKIMFFCA77CA,坡道平面,0,33.33
RPRPMLNKKIMFFCA67CA,坡道機械,1100000,13.36
RPSNMLLJKIMFFCA27CA,坡道平面,0,40.25
RPSNMLLJKIMFFCA27CA,坡道平面,0,40.25
RPRPMLRLJIMFFCA08CA,坡道平面,0,42.28
RPUOMLTKKIMFFBA38CA,升降平面,0,33.05
RPUOMLTKKIMFFBA38CA,升降平面,0,33.05
RPUOMLTKKIMFFBA38CA,升降平面,0,33.05
RPUOMLTKKIMFFBA38CA,升降平面,0,36.25
RPSNMLNLJIMFFDA67CA,升降機械,1000000,5.77
RPUNMLPJKIMFFCA87CA,坡道平面,3100000,33.33
RPXOMLMLJIMFFDA18CA,坡道平面,1350000,
RPVNMLPLJIMFFDA18CA,坡道平面,2500000,
RPXNMLPJKIMFFCA18CA,坡道平面,0,33.33
RPXNMLPJKIMFFCA18CA,坡道平面,0,33.33
RPVPMLNKKIMFFCA08CA,坡道機械,1200000,13.36
RPPQMLLLJIMFFEA57CA,坡道平面,0,22.69
RPSNMLMLJIMFFFA77CA,坡道機械,0,
RPROMLMLJIMFFEA67CA,升降機械,0,
RPVNMLNLJIMFFFA18CA,坡道平面,3750000,
RPUNMLNLJIMFFFA08CA,坡道平面,2500000,
RPUNMLNLJIMFFFA08CA,坡道平面,3750000,
RPWNMLNLJIMFFFA28CA,坡道平面,3900000,
RPWNMLNLJIMFFFA28CA,坡道平面,3900000,
RPWNMLNLJIMFFFA28CA,坡道平面,3900000,
RPSNMLLJKIMFFFA57CA,坡道平面,0,19.00
RPSNMLLJKIMFFFA57CA,升降平面,0,19.00
RPOOMLMLJIMFFEA37CA,坡道平面,0,40.53
RPWOMLTLJIMFFDA78CA,坡道平面,0,
RPWOMLLLJIMFFEA18DA,坡道平面,2800000,39.27
RPUQMLLLJIMFFEA18DA,坡道平面,2500000,39.85
RPUOMLKMJIMFFEA97DA,坡道平面,2500000,32.96
RPWNMLOLJIMFFCA18DA,坡道平面,2500000,15.02
RPTQMLRLJIMFFEA68DA,坡道平面,3500000,55.98
RPQNMLSLJIMFFEA18DA,坡道平面,2500000,29.74
RPWOMLRLJIMFFCA58DA,一樓平面,2800000,12.77
RPVOMLKLKIMFFCA87DA,坡道機械,0,
RPPNMLRLJIMFFFA97CA,塔式車位,2300000,3.55
RPTNMLNLJIMFFFA97CA,坡道平面,3900000,
RPSNMLPKKIMFFFA08CA,坡道平面,0,34.62
RPSNMLPKKIMFFFA08CA,坡道平面,0,34.62
RPTOMLRJKIMFFEA28CA,坡道平面,0,23.72
RPTOMLRJKIMFFEA28CA,坡道平面,0,23.72
RPVNMLMLJIMFFEA97CA,坡道平面,0,26.26
RPPNMLNLJIMFFEA47CA,塔式車位,0,1.67
RPPNMLNLJIMFFEA47CA,坡道平面,0,37.25
RPPOMLNLJIMFFEA57CA,坡道平面,2300000,35.24
RPQOMLMLJIMFFEA57CA,坡道平面,0,12.57
RPWNMLMLJIMFFEA08CA,坡道平面,0,
RPXNMLOLJIMFFDA28CA,坡道平面,2450000,40.04
RPPPMLNLJIMFFDA57CA,升降平面,0,
RPXOMLRJKIMFFDA58CA,坡道平面,0,38.91
RPXOMLRJKIMFFDA58CA,坡道平面,0,38.91
RPPOMLQKKIMFFCA67CA,坡道平面,3000000,45.66
RPXNMLQKKIMFFCA38CA,坡道平面,3000000,45.66
RPXNMLNLJIMFFDA18CA,坡道平面,0,
RPQOMLQKKIMFFCA77CA,坡道平面,3500000,45.66
