編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLMLJIMFFAB87CA,40,35.28,住家用,鋼筋混凝土造,66年6月25日,六層,四層
RPSNMLMLJIMFFAB37CA,34,81.78,見其他登記事項,鋼筋混凝土造,72年6月23日,五層,五層
RPOOMLMLJIMFFAB07CA,23,32.25,住家用,鋼筋混凝土造,83年9月24日,十三層,七層
RPOOMLMLJIMFFAB07CA,23,10.38,見其他登記事項,鋼筋混凝土造,83年9月24日,十三層,
RPWOMLLLJIMFFAB77CA,34,73.08,見其他登記事項,鋼筋混凝土造,73年4月23日,七層,五層
RPPOMLNLJIMFFAB27CA,16,55.24,共有部份,鋼筋混凝土造,90年12月25日,九層,
RPPOMLNLJIMFFAB27CA,16,88.96,見其他登記事項,鋼筋混凝土造,90年12月25日,九層,六層
RPOPMLOLJIMFFAB37CA,16,93.22,見其他登記事項,鋼筋混凝土造,90年12月25日,九層,二層
RPOPMLOLJIMFFAB37CA,16,56.70,共有部份,鋼筋混凝土造,90年12月25日,九層,
RPTOMLLLJIMFFAB47CA,20,63.55,見其他登記事項,鋼筋混凝土造,86年9月18日,二十一層,五層
RPTOMLLLJIMFFAB47CA,20,13.85,見其他登記事項,鋼筋混凝土造,86年9月18日,二十一層,
RPTOMLLLJIMFFAB47CA,20,11.95,共有部份,鋼筋混凝土造,86年9月18日,二十一層,
RPROMLKMJIMFFAB27CA,23,20.89,住家用,鋼筋混凝土造,84年1月13日,十九層,十層
RPROMLKMJIMFFAB27CA,23,3.23,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPROMLKMJIMFFAB27CA,23,7.91,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPWNMLNLJIMFFAB87CA,2,92.39,見其他登記事項,鋼筋混凝土造,104年10月15日,九層,八層
RPWNMLNLJIMFFAB87CA,2,83.06,見其他登記事項,鋼筋混凝土造,104年10月15日,九層,
RPSOMLRJKIMFFAB87CA,37,374.86,住商用,鋼筋混凝土造,70年1月12日,四層,一層 二層 三層 四層 騎樓 地下層
RPOPMLSJKIMFFAB67CA,40,35.28,住家用,鋼筋混凝土造,66年6月25日,六層,五層
RPUNMLSKKIMFFAB18CA,24,225.10,住商用,鋼筋混凝土造,82年9月14日,八層,一層 二層 騎樓
RPUNMLSKKIMFFAB18CA,24,53.18,見其他登記事項,鋼筋混凝土造,82年9月14日,八層,
RPSNMLQJKIMFFAB67CA,1,87.90,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,六層
RPSNMLQJKIMFFAB67CA,1,.41,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPSNMLQJKIMFFAB67CA,1,74.94,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPSPMLPKKIMFFAB87CA,22,48.87,見其他登記事項,鋼筋混凝土造,84年6月1日,十二層,八層
RPSPMLPKKIMFFAB87CA,22,22.70,見其他登記事項,鋼筋混凝土造,84年6月1日,十二層,
RPOPMLSKKIMFFAB77CA,11,105.93,見其他登記事項,鋼筋混凝土造,96年1月23日,十九層,七層
RPOPMLSKKIMFFAB77CA,11,24.57,見其他登記事項,鋼筋混凝土造,96年1月23日,十九層,
RPOPMLSKKIMFFAB77CA,11,41.63,見其他登記事項,鋼筋混凝土造,96年1月23日,十九層,
RPPQMLMLJIMFFBB47CA,,123.27,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,二層
RPPQMLMLJIMFFBB47CA,,79.69,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,
RPRQMLMLJIMFFBB67CA,,110.09,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,十層
RPRQMLMLJIMFFBB67CA,,75.46,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,
RPVPMLMLJIMFFBB97CA,,123.27,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,十四層
RPVPMLMLJIMFFBB97CA,,81.68,見其他登記事項,鋼筋混凝土造,106年8月1日,十五層,
