鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南區,房地(土地+建物),臺中市南區五權南路295巷1~30號,24.71,住,,,1061115,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700224,75.09,0,0,0,無,無,無,15000,200,,0.0,0,,RPVNMLLLJIMFFAB77CC
南區,房地(土地+建物),臺中市南區東興路一段1~30號,1.93,住,,,1061024,土地1建物0車位0,十五層,32,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951026,51.019999999999996,1,0,1,有,有,有,7200,141,,0.0,0,此建物隔成三間套房，所以租賃面積會除3。,RPVOMLLLJIMFFAB87CC
西區,建物,臺中市西區華美街348巷1~30號,0.0,住,,,1061026,土地0建物1車位0,見其他登記事項,6,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850906,123.72,2,2,1,有,有,有,30000,242,,0.0,0,,RPSPMLLLJIMFFAB67CC
北區,建物,臺中市北區臺中市北區文心路四段181~210號,20.0,住,,,1061120,土地0建物1車位0,二層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0860203,405.96,0,0,0,無,無,無,66000,163,,0.0,0,,RPXNMLLLJIMFFBB08CC
北區,房地(土地+建物),臺中市北區衛道路61~90號,8.16,住,,,1061110,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830531,73.59,2,2,2,有,無,有,7000,95,,0.0,0,,RPOOMLLLJIMFFBB27CC
北屯區,房地(土地+建物),臺中市北屯區崇德十路一段271~300號,946.57,住,,,1061101,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0880122,1436.03,8,2,2,有,無,有,200000,139,,0.0,0,,RPPOMLLLJIMFFBB37CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,8.69,商,,,1061106,土地2建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,91.00999999999999,2,1,1,有,有,有,19000,209,,0.0,0,,RPOQMLLLJIMFFBB47CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.37,商,,,1061107,土地2建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,68.09,0,0,0,無,有,有,15000,220,,0.0,0,,RPRQMLLLJIMFFBB77CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,6.09,商,,,1061107,土地2建物1車位0,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,67.4,0,0,0,無,有,有,15000,223,,0.0,0,,RPSQMLLLJIMFFBB87CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,7.3,商,,,1061024,土地2建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,83.97,0,0,0,無,無,有,16000,191,,0.0,0,,RPTQMLLLJIMFFBB97CC
