編號,車位類別,車位價格,車位面積平方公尺
RPTNMLKMJIMFFAE67CA,坡道平面,0,16.66
RPTNMLKMJIMFFAE67CA,坡道平面,0,16.66
RPPNMLMJKIMFFAE27CA,坡道平面,1500000,22.55
RPQNMLOLJIMFFAE67CA,升降平面,0,
RPSNMLQJKIMFFAE97CA,升降機械,1050000,21.71
RPPPMLPJKIMFFAE77CA,坡道機械,0,
RPXNMLNLJIMFFAE28CA,坡道機械,0,
RPXNMLNLJIMFFAE28CA,坡道機械,0,
RPWNMLTKKIMFFAE78CA,升降平面,0,
RPWNMLTLJIMFFAE78CA,坡道平面,1700000,27.01
RPWNMLTLJIMFFAE78CA,坡道平面,1700000,27.01
RPRNMLOKKIMFFAE77CA,坡道平面,0,30.50
RPSNMLLKKIMFFAE57CA,坡道平面,0,25.77
RPVNMLTKKIMFFAE68CA,坡道平面,0,
RPSNMLKMJIMFFAE57CA,坡道平面,0,
RPQOMLMLJIMFFBE67CA,坡道機械,0,
RPWPMLPJKIMFFBE58CA,坡道平面,0,12.65
RPUNMLNLJIMFFBE08CA,坡道平面,800000,22.92
RPRNMLSKKIMFFBE28CA,坡道平面,0,39.90
SPTNMLPLJIMFFCE38CA,坡道平面,0,
RPTNMLPLJIMFFCE28CA,坡道平面,0,
RPWNMLKMJIMFFCE18CA,坡道機械,0,10.72
RPROMLPJKIMFFCE08CA,坡道機械,0,
RPTNMLQJKIMFFCE28CA,坡道機械,0,8.16
RPTNMLQJKIMFFCE28CA,坡道平面,0,15.25
RPROMLQJKIMFFCE18CA,坡道平面,0,15.25
RPPOMLQJKIMFFCE97CA,坡道平面,0,15.25
RPPOMLQJKIMFFCE97CA,坡道平面,0,13.96
RPUNMLQJKIMFFCE38CA,坡道平面,0,13.96
RPQOMLQJKIMFFCE08CA,坡道平面,0,15.25
RPUOMLRJKIMFFCE58CA,坡道機械,0,
RPUOMLQJKIMFFCE48CA,坡道平面,0,13.96
RPTOMLQJKIMFFCE38CA,坡道平面,0,13.96
RPOOMLQJKIMFFCE87CA,坡道平面,0,13.96
RPVNMLQJKIMFFCE48CA,坡道平面,0,15.25
RPVOMLQJKIMFFCE58CA,坡道平面,0,15.25
RPWNMLQJKIMFFCE58CA,坡道平面,0,15.25
RPQNMLQLJIMFFDE18CA,坡道機械,0,
RPPNMLTLJIMFFDE38CA,坡道機械,0,
RPUOMLOLJIMFFDE48CA,坡道平面,0,
RPWNMLSJKIMFFDE88CA,坡道平面,0,22.07
RPVPMLLLJIMFFEE48CA,坡道機械,0,
RPWNMLPJKIMFFDE58CA,坡道機械,0,
RPPOMLSKKIMFFDE38CA,坡道平面,1500000,22.12
RPSOMLMLJIMFFEE18CA,坡道平面,0,36.19
RPSPMLLLJIMFFEE18CA,坡道機械,0,
RPWOMLMLJIMFFEE58CA,坡道平面,0,11.16
RPQNMLNLJIMFFEE97CA,坡道機械,0,13.75
RPSOMLLLJIMFFEE08CA,坡道平面,0,
RPQPMLLJKIMFFEE87CA,坡道機械,1100000,6.26
RPVNMLOLJIMFFEE58CA,坡道平面,0,
RPVNMLOLJIMFFEE58CA,坡道平面,0,
RPTNMLOLJIMFFEE38CA,坡道平面,0,
RPTNMLOLJIMFFEE38CA,坡道平面,0,
RPRPMLLJKIMFFEE97CA,坡道機械,1100000,6.26
RPTPMLMJKIMFFEE28CA,坡道平面,0,
RPRPMLMJKIMFFEE08CA,坡道平面,0,
RPQPMLMJKIMFFEE97CA,坡道平面,0,
RPSPMLMJKIMFFEE18CA,坡道平面,0,
RPPPMLLJKIMFFEE77CA,坡道機械,1100000,6.26
RPUPMLMJKIMFFEE38CA,坡道平面,0,
RPXPMLMJKIMFFEE68CA,坡道平面,0,
RPWPMLMJKIMFFEE58CA,坡道平面,0,
RPOQMLMJKIMFFEE87CA,坡道平面,0,
RPPQMLOJJHNFFEE08CA,坡道平面,0,
RPXOMLMJKIMFFEE58CA,坡道平面,0,28.69
RPPNMLNLJIMFFFE97CA,坡道機械,0,
RPPNMLMJKIMFFFE77CA,坡道平面,0,
RPPNMLTJKIMFFFE48CA,坡道平面,0,
RPVNMLSJKIMFFFE98CA,坡道平面,0,
RPSPMLRJKIMFFEE68CA,坡道機械,0,8.76
RPTNMLOLJIMFFFE48CA,坡道平面,0,
RPPRMLSKKIMFFFE88CA,坡道平面,0,20.17
RPPRMLSKKIMFFFE88CA,坡道平面,0,20.17
RPSNMLNLJIMFFGE38CA,坡道平面,0,19.35
RPTRMLSKKIMFFFE66CA,坡道平面,0,20.17
RPTRMLSKKIMFFFE66CA,坡道平面,0,19.44
RPQNMLLLKIMFFFE97CA,坡道平面,1300000,20.17
RPSRMLSKKIMFFFE56CA,坡道平面,0,19.44
RPSRMLSKKIMFFFE56CA,坡道平面,0,20.17
RPORMLSKKIMFFFE78CA,坡道平面,0,20.17
RPORMLSKKIMFFFE78CA,坡道平面,0,19.44
RPQRMLSKKIMFFFE98CA,坡道平面,0,20.17
RPQRMLSKKIMFFFE98CA,坡道平面,0,20.17
RPWOMLLJKIMFFGE58CA,坡道機械,0,
RPSPMLSLJIMFFGE09CA,坡道機械,0,
RPVNMLMJKIMFFGE48CA,坡道平面,0,
RPTNMLNJKIMFFGE38CA,坡道平面,0,
RPOSMLPJKIMFFGE58CA,坡道平面,0,
RPTNMLPJKIMFFGE58CA,坡道平面,0,
RPTNMLPJKIMFFGE58CA,坡道平面,0,
RPPSMLPJKIMFFGE68CA,坡道平面,0,
RPXRMLPJKIMFFGE76CA,坡道平面,0,
RPXPMLPJKIMFFGE56CA,坡道平面,0,19.35
RPVRMLPJKIMFFGE56CA,坡道平面,0,
RPWRMLPJKIMFFGE66CA,坡道平面,0,
RPQSMLPJKIMFFGE78CA,坡道平面,0,
RPVNMLOJKIMFFGE78DA,坡道平面,0,
RPTNMLRKKIMFFIE09CA,升降機械,0,12.52
RPRNMLLKKIMFFGE08CA,坡道機械,750000,6.05
RPRSMLPJKIMFFGE88CA,坡道平面,0,
RPSSMLPJKIMFFGE98CA,坡道平面,0,
RPUSMLPJKIMFFGE56CA,坡道平面,0,
RPRRMLPJKIMFFGE78CA,坡道平面,0,
RPWSMLPJKIMFFGE76CA,坡道平面,0,
RPPNMLQJKIMFFGE28CA,坡道平面,0,
RPPPMLQJKIMFFGE48CA,坡道平面,0,
RPUOMLPJKIMFFGE78CA,坡道平面,0,
RPUOMLPJKIMFFGE78CA,坡道平面,0,
RPPNMLNJKIMFFGE97CA,坡道平面,0,
RPTSMLPJKIMFFGE09CA,坡道平面,0,
RPVSMLPJKIMFFGE66CA,坡道平面,0,
RPPPMLMJKIMFFGE08CA,坡道平面,0,
RPQPMLMJKIMFFGE18CA,坡道平面,0,
RPTPMLMJKIMFFGE48CA,坡道平面,0,
RPXSMLPJKIMFFGE86CA,坡道平面,0,
RPQNMLTLJIMFFGE78CA,坡道平面,0,15.54
RPSPMLMJKIMFFGE38CA,坡道平面,0,
RPRPMLMJKIMFFGE28CA,坡道平面,0,
RPPNMLTLJIMFFGE68CA,坡道平面,0,15.54
RPTNMLKMJIMFFGE28CA,坡道平面,1250000,24.54
RPQNMLKMJIMFFGE97CA,坡道平面,1150000,21.06
RPPPMLQJKIMFFEE28CA,坡道平面,0,
RPXOMLKMJIMFFEE58CA,坡道平面,0,
RPOOMLSLJIMFFEE38CA,坡道平面,0,25.09
RPPNMLRLJIMFFEE28CA,坡道機械,0,
RPOPMLPJKIMFFEE08CA,坡道平面,0,
RPUNMLQJKIMFFEE58CA,坡道機械,0,7.54
