鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061111,土地0建物1車位0,二十一層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,127.34,3,2,2,有,無,有,13000,102,,0.0,0,,RPQNMLLLJIMFFBE67CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061111,土地0建物1車位0,八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,127.34,3,2,2,有,無,有,13000,102,,0.0,0,,RPRNMLLLJIMFFBE77CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1061115,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.64,2000,,RPSNMLLLJIMFFBE87CC
新興區,建物,高雄市新興區球庭路61~90號,0.0,,,,1061029,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010509,113.14,2,1,1,有,有,有,19999,177,,0.0,0,含稅,RPWNMLLLJIMFFBE28CC
苓雅區,房地(土地+建物),高雄市苓雅區忠孝二路91~120號,77.0,商,,,1061115,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0540803,38.13,0,0,0,無,無,無,29000,761,,0.0,0,,RPOOMLLLJIMFFBE57CC
前金區,建物,高雄市前金區中華三路151~180號,0.0,商,,,1061116,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0720415,130.98,0,0,0,無,無,無,35000,267,,0.0,0,,RPPNMLLLJIMFFAE47CC
鼓山區,房地(土地+建物),高雄市鼓山區臨海一路1~30號,100.0,商,,,1061030,土地4建物1車位0,見其它登記事項,2,店面(店鋪),住商用,見使用執照,0371131,168.97,0,0,0,無,無,無,28000,166,,0.0,0,,RPTOMLLLJIMFFAE97CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路361~390號,28.72,住,,,1061106,土地1建物1車位1,二十一層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030212,326.58,4,2,3,有,無,有,45000,138,坡道平面,0.0,0,,RPUOMLLLJIMFFAE08CC
前鎮區,房地(土地+建物),高雄市前鎮區民權二路211~240號,4.66,商,,,1061023,土地1建物1車位0,見其它登記事項,27,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0860527,157.43,0,0,0,無,無,無,30000,191,,0.0,0,,RPRNMLLLJIMFFCE87CC
前鎮區,土地,愛群段2791~2820地號,64.0,商,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,234,,0.0,0,,RPTOMLLLJIMFFCE18CC
