編號,車位類別,車位價格,車位面積平方公尺
RPSNMLLLJIMFFBE87CC,坡道平面,2000,14.64
RPUOMLLLJIMFFAE08CC,坡道平面,0,
RPTPMLLLJIMFFCE28CC,坡道平面,0,
RPQNMLMLJIMFFAE67CC,坡道平面,0,
RPOOMLNLJIMFFAE67CC,坡道平面,0,
RPOPMLNLJIMFFCE97CC,坡道平面,0,28.44
RPVPMLNLJIMFFEE88CC,坡道機械,0,
RPRNMLOLJIMFFEE38CC,坡道平面,0,19.17
RPROMLOLJIMFFEE48CC,坡道機械,0,8.75
RPXNMLOLJIMFFAE58CC,坡道平面,0,26.50
RPUNMLSLJIMFFAE68CC,坡道平面,0,
RPVNMLRLJIMFFBE78CC,坡道平面,1700,12.66
RPUNMLRLJIMFFBE68CC,坡道平面,1700,12.66
RPXOMLSLJIMFFEE86CC,升降機械,0,
RPPNMLKMJIMFFCE67CC,坡道平面,0,
RPVOMLSLJIMFFGE86CC,坡道平面,0,
RPXNMLTLJIMFFBE56CC,坡道機械,0,
