編號,車位類別,車位價格,車位面積平方公尺
RPQPMLMLJIMFFIF78CC,坡道平面,0,39.83
RPROMLMLJIMFFGF58CC,坡道平面,0,36.97
RPOPMLLLJIMFFEF08CC,坡道平面,0,37.76
RPQPMLMLJIMFFBF08CC,坡道平面,0,
RPRQMLMLJIMFFDF48CC,坡道機械,0,
RPSQMLMLJIMFFBF38CC,坡道平面,0,38.70
RPPRMLMLJIMFFBF18CC,坡道平面,0,
RPQOMLNLJIMFFDF28CC,坡道平面,0,
RPQPMLNLJIMFFBF18CC,坡道平面,0,34.54
RPXQMLMLJIMFFAF78CC,坡道平面,0,29.55
RPXQMLMLJIMFFAF78CC,坡道平面,0,29.55
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPPOMLNLJIMFFDF18CC,坡道平面,0,
RPUNMLNLJIMFFIF09CC,坡道平面,0,19.85
RPOPMLOLJIMFFDF48EC,坡道平面,3000,69.33
RPTOMLOLJIMFFDF88EC,坡道機械,2000,21.35
RPSNMLQLJIMFFBF48CC,坡道平面,0,23.94
RPSNMLQLJIMFFBF48CC,坡道平面,0,23.94
RPQUMLRLJIMFFBF09CC,坡道平面,0,
RPQQMLRLJIMFFBF68CC,坡道平面,0,22.73
RPQQMLRLJIMFFBF68CC,坡道平面,0,22.73
RPPOMLSLJIMFFGF98CC,坡道平面,0,
RPRNMLSLJIMFFHF56CC,坡道平面,0,
RPRTMLRLJIMFFBF09CC,坡道平面,0,
RPWOMLSLJIMFFEF86CC,坡道平面,0,33.30
RPQOMLSLJIMFFEF88CC,坡道平面,0,29.75
RPQOMLSLJIMFFEF88CC,坡道平面,0,29.75
RPVOMLRLJIMFFEF66CC,升降機械,0,
RPPPMLSLJIMFFBF58CC,坡道平面,0,33.63
RPTNMLSLJIMFFDF98CC,坡道平面,0,28.11
RPRRMLSLJIMFFBF98CC,坡道平面,0,
RPRPMLSLJIMFFBF78CC,坡道平面,0,
RPTQMLSLJIMFFBF09CC,坡道平面,0,
RPQRMLSLJIMFFBF88CC,坡道平面,0,
RPQPMLSLJIMFFBF68CC,坡道平面,0,
RPOSMLSLJIMFFBF78CC,坡道平面,0,
RPQSMLSLJIMFFBF98CC,坡道平面,0,
RPUSMLSLJIMFFBF76CC,坡道平面,0,
RPWSMLSLJIMFFBF96CC,坡道平面,0,
RPPSMLSLJIMFFBF88CC,坡道平面,0,
RPSSMLSLJIMFFBF56CC,坡道平面,0,
RPSUMLSLJIMFFBF76CC,坡道平面,0,38.70
RPTPMLTLJIMFFBF56DC,升降機械,0,
RPTPMLTLJIMFFBF56DC,升降平面,0,
RPRNMLTLJIMFFGF56CC,坡道機械,0,13.84
RPRNMLTLJIMFFGF56CC,坡道機械,0,13.84
RPPTMLSLJIMFFBF98CC,坡道平面,0,
RPQNMLKMJIMFFEF08CC,坡道平面,0,34.42
RPQNMLKMJIMFFHF38CC,坡道機械,0,
RPWNMLTLJIMFFDF76CC,坡道機械,0,27.82
RPWNMLTLJIMFFDF76CC,坡道機械,0,27.82
