編號,車位類別,車位價格,車位面積平方公尺
RPUNMLOLJIMFFBG38CA,坡道平面,0,
RPROMLRLJIMFFBG48CA,坡道平面,450000,
RPQNMLOKKIMFFBG97CA,坡道平面,0,
RPVOMLSLJIMFFBG98CA,坡道平面,0,
RPTNMLRLJIMFFBG58CA,坡道平面,0,
RPQOMLOJKIMFFBG97CA,坡道平面,1100000,42.93
RPQOMLOJKIMFFBG97CA,坡道平面,1100000,42.93
RPPNMLMKKIMFFBG67CA,坡道平面,0,
RPSNMLSLJIMFFBG58CA,坡道平面,0,
RPPNMLRJKIMFFAG97CA,坡道平面,0,
RPPOMLSLJIMFFBG58EA,坡道平面,0,
RPRNMLNJKIMFFBG87CA,坡道平面,0,
RPQNMLNJKIMFFBG77CA,坡道平面,0,
RPQNMLKMJIMFFBG67CA,坡道平面,0,
RPXNMLPJKIMFFBG68CA,坡道平面,0,
RPRPMLQJKIMFFBG38CA,坡道平面,1000000,35.53
RPWOMLQJKIMFFBG78CA,坡道平面,1100000,35.53
RPQPMLQJKIMFFBG28CA,坡道平面,0,
RPVOMLOJKIMFFBG48CA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPSNMLLJKIMFFAG87EA,坡道平面,0,
RPSNMLLJKIMFFAG87EA,坡道機械,0,
RPPNMLMLKIMFFBG87DA,坡道平面,800000,31.86
RPQNMLMLKIMFFBG97DA,坡道平面,800000,31.86
RPWNMLPJKIMFFBG58CA,坡道平面,0,51.11
