鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段91~120號,21.84,住,,,1061001,土地1建物2車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0921208,149.28,3,2,2,有,有,8100000,54260,坡道平面,0.0,0,,RPWNMLMLJIMFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區民生路61~90號,5.1,商,,,1061001,土地3建物1車位0,四層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830318,46.48,1,1,1,有,有,2250000,48408,,0.0,0,,RPUOMLMLJIMFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國際路一段98巷31~60號,20.91,住,,,1061001,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840120,167.49,3,2,2,有,有,6800000,40599,坡道平面,0.0,0,,RPTPMLMLJIMFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路631~660號,9.47,住,,,1061001,土地2建物2車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,113.94,3,2,1,有,有,5500000,48271,坡道平面,0.0,0,,RPUPMLMLJIMFFAH38CA
桃園區,土地,富國段991~1020地號,143.0,農,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3450000,24126,,0.0,0,,RPXPMLNLJIMFFAH78CA
桃園區,土地,埔子段埔子小段1741~1770地號,94.5,其他,,,1061001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2222640,23520,,0.0,0,(包含)公共設施保留地之交易。,RPOQMLNLJIMFFAH97CA
桃園區,土地,中路三段1411~1440地號,379.56,其他,,,1061001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9862487,25984,,0.0,0,(包含)公共設施保留地之交易。,RPPQMLNLJIMFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文二街1~30號,25.74,商,,,1041001,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060801,194.59,3,2,2,有,有,22150000,135360,坡道平面,44.25,1800000,,RPPQMLOLJIMFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文二街1~30號,25.65,商,,,1030901,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060801,194.38,3,2,2,有,有,22430000,138746,坡道平面,44.25,1600000,預售時買賣價,RPUQMLOLJIMFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文二街1~30號,25.65,商,,,1030701,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060801,194.38,3,2,2,有,有,24010000,147938,坡道平面,44.25,1800000,預售時買賣價,RPQRMLOLJIMFFAH38CA
