編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLMLJIMFFAH38CA,14,89.46,住家用,鋼筋混凝土造,92年12月8日,九層,二層
RPWNMLMLJIMFFAH38CA,14,.14,見其他登記事項,鋼筋混凝土造,92年12月8日,九層,一層 騎樓
RPWNMLMLJIMFFAH38CA,14,.00,共有部份,鋼筋混凝土造,92年12月8日,九層,
RPWNMLMLJIMFFAH38CA,14,37.49,共有部份,鋼筋混凝土造,92年12月8日,九層,
RPWNMLMLJIMFFAH38CA,14,22.19,共有部份,鋼筋混凝土造,92年12月8日,九層,
RPQRMLOLJIMFFAH38CA,3,106.00,住家用,鋼筋混凝土造,106年8月1日,十一層,七層
RPQRMLOLJIMFFAH38CA,3,4.61,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPQRMLOLJIMFFAH38CA,3,10.25,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPQRMLOLJIMFFAH38CA,3,29.26,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPQRMLOLJIMFFAH38CA,3,44.25,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPWOMLNLJIMFFAH58CA,37,87.65,住家用,鋼筋混凝土造,70年3月16日,五層,五層
RPSOMLRLJIMFFAH58CA,25,88.96,住家用,鋼筋混凝土造,82年2月17日,六層,二層
RPSOMLRLJIMFFAH58CA,25,11.46,共有部份,鋼筋混凝土造,82年2月17日,六層,
RPSOMLRLJIMFFAH58CA,25,14.22,共有部份,鋼筋混凝土造,82年2月17日,六層,
RPSOMLRLJIMFFAH58CA,25,15.08,共有部份,鋼筋混凝土造,82年2月17日,六層,
RPUPMLNLJIMFFAH48CA,2,58.38,住家用,鋼筋混凝土造,104年4月27日,十五層,十四層
RPUPMLNLJIMFFAH48CA,2,63.27,見其他登記事項,鋼筋混凝土造,104年4月27日,十五層,
RPTPMLMLJIMFFAH28CA,23,120.27,住家用,鋼筋混凝土造,84年1月20日,十三層,十一層
RPTPMLMLJIMFFAH28CA,23,6.28,共有部份,鋼筋混凝土造,84年1月30日,十三層,
RPTPMLMLJIMFFAH28CA,23,27.51,共有部份,鋼筋混凝土造,84年1月20日,十三層,
RPTPMLMLJIMFFAH28CA,23,13.43,共有部份,鋼筋混凝土造,84年1月20日,十三層,
RPUOMLMLJIMFFAH28CA,24,36.05,住家用,鋼筋混凝土造,83年3月18日,九層,四層
RPUOMLMLJIMFFAH28CA,24,4.05,共有部份,鋼筋混凝土造,83年3月18日,九層,
RPUOMLMLJIMFFAH28CA,24,6.37,共有部份,鋼筋混凝土造,83年3月18日,九層,
RPUQMLOLJIMFFAH68CA,3,106.00,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,五層
RPUQMLOLJIMFFAH68CA,3,4.61,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPUQMLOLJIMFFAH68CA,3,10.25,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPUQMLOLJIMFFAH68CA,3,29.26,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPUQMLOLJIMFFAH68CA,3,44.25,見其他登記事項,鋼筋混凝土造,106年8月1日,十一層,
RPUPMLMLJIMFFAH38CA,20,62.53,住家用,鋼筋混凝土造,86年9月1日,十七層,十六層
RPUPMLMLJIMFFAH38CA,20,4.94,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPUPMLMLJIMFFAH38CA,20,12.68,共有部份,鋼筋混凝土造,86年9月1日,十七層,
RPUPMLMLJIMFFAH38CA,10,.11,見其他登記事項,鋼筋混凝土造,96年8月22日,十二層,地下二層
RPUPMLMLJIMFFAH38CA,10,33.67,共有部份,鋼筋混凝土造,96年8月22日,十二層,
RPRQMLRLJIMFFAH68CA,19,204.65,見其他登記事項,鋼筋混凝土造,88年1月21日,十三層,六層
RPRQMLRLJIMFFAH68CA,19,68.24,共有部份,鋼筋混凝土造,88年1月21日,十三層,
RPRQMLRLJIMFFAH68CA,19,33.58,共有部份,鋼筋混凝土造,88年1月21日,十三層,
RPQOMLPJKIMFFAH08CA,6,84.37,住家用,鋼筋混凝土造,100年5月2日,十二層,七層
RPQOMLPJKIMFFAH08CA,6,25.96,見其他登記事項,鋼筋混凝土造,100年5月2日,十二層,
RPQOMLPJKIMFFAH08CA,6,52.87,見其他登記事項,鋼筋混凝土造,100年5月2日,十二層,
RPTPMLRLJIMFFAH78CA,13,.01,見其他登記事項,鋼筋混凝土造,93年7月20日,十三層,一層
