鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物),龍鳳段151~180地號,22.51,住,,,1051201,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.99,0,0,0,無,無,5780000,64951,,0.0,0,,RPPPMLSLJIMFFAH58CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,25.34,住,,,1051001,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,2,2,1,有,無,6500000,50873,坡道平面,33.02,1400000,,RPQPMLSLJIMFFAH68CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,25.34,住,,,1051101,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,2,2,1,有,無,6400000,49875,坡道平面,33.02,1400000,,RPRPMLSLJIMFFAH78CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,25.34,住,,,1060101,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,2,2,1,有,無,6550000,51870,坡道平面,33.02,1350000,,RPSPMLSLJIMFFAH88CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,25.34,住,,,1051201,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,2,2,1,有,無,6530000,51172,坡道平面,33.02,1400000,,RPTPMLSLJIMFFAH98CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,25.34,住,,,1051201,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.27,2,2,1,有,無,6430000,50673,坡道平面,33.02,1350000,,RPUPMLSLJIMFFAH09CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,31.75,住,,,1060301,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.8,0,0,0,無,無,9800000,67318,坡道平面,33.02,1400000,,RPWNMLTLJIMFFAH56CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,34.58,住,,,1060501,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.38,3,2,2,有,無,8270000,51123,坡道平面,33.02,1350000,,RPOOMLTLJIMFFAH48CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,34.58,住,,,1051101,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.57,3,2,2,有,無,8710000,52383,坡道平面,33.02,1400000,,RPPOMLTLJIMFFAH58CB
桃園區,房地(土地+建物)+車位,龍鳳段151~180地號,34.58,住,,,1051101,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.57,3,2,2,有,無,8900000,53744,坡道平面,33.02,1400000,,RPSOMLTLJIMFFAH88CB
