編號,車位類別,車位價格,車位面積平方公尺
RPVNMLPLJIMFFBJ88CA,坡道平面,0,25.02
RPVNMLPLJIMFFBJ88CA,坡道平面,0,25.02
RPXOMLLJKIMFFBJ68CA,坡道平面,1200000,27.08
RPXOMLLJKIMFFBJ68CA,坡道平面,1200000,27.08
RPROMLQJKIMFFBJ58CA,坡道平面,0,31.00
RPROMLQJKIMFFBJ58CA,坡道平面,0,33.10
RPQNMLMLJIMFFBJ08CA,坡道平面,0,33.06
RPPPMLQJKIMFFBJ48CA,坡道平面,0,30.01
RPVNMLMKKIMFFBJ58CA,一樓平面,0,
RPVNMLMKKIMFFBJ58CA,一樓平面,0,
RPXNMLMKKIMFFBJ78CA,一樓平面,0,
RPXNMLMKKIMFFBJ78CA,一樓平面,0,
RPUNMLSLJIMFFCJ56CA,坡道平面,0,30.09
RPQOMLOLJIMFFCJ48CA,坡道平面,900000,30.40
RPPOMLNLJIMFFBJ18CA,坡道平面,1200000,23.77
RPPOMLNLJIMFFBJ18CA,坡道平面,1200000,23.77
RPPOMLNLJIMFFBJ18CA,坡道平面,1200000,23.77
RPOOMLNLJIMFFBJ08CA,坡道平面,1200000,23.77
RPQOMLNLJIMFFBJ28CA,坡道平面,1300000,23.77
RPQOMLNLJIMFFBJ28CA,坡道平面,1300000,23.77
RPQOMLNLJIMFFBJ28CA,坡道平面,1300000,23.77
RPROMLTLJIMFFDJ56CA,坡道平面,0,
RPRNMLNLJIMFFBJ38DA,坡道平面,0,33.89
RPRNMLNLJIMFFBJ38DA,坡道平面,0,33.89
RPOPMLOLJIMFFDJ48CA,一樓平面,0,
RPSPMLSKKIMFFBJ09CA,坡道平面,0,39.43
RPUNMLPJKIMFFCJ78CA,坡道平面,0,
RPSOMLSKKIMFFBJ98CA,坡道平面,0,
RPSOMLSKKIMFFBJ98CA,坡道平面,0,
RPWNMLOLJIMFFBJ88CA,坡道平面,0,
RPWNMLOLJIMFFBJ88CA,坡道平面,0,
RPWNMLPLJIMFFBJ98CA,坡道平面,0,25.02
RPWNMLPLJIMFFBJ98CA,坡道平面,0,25.02
RPSQMLKMJIMFFBJ48CA,坡道平面,0,34.12
RPSQMLKMJIMFFBJ48CA,坡道平面,0,34.12
RPQQMLTLJIMFFBJ09CA,坡道平面,0,
RPTQMLKMJIMFFBJ58CA,坡道平面,0,34.12
