鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
竹北市,建物,新竹縣竹北市莊敬六街1~30號,0.0,商,,,1061103,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,42.27,1,0,1,有,有,有,8000,189,,0.0,0,租金含管理費,RPVNMLLLJIMFFBJ68CC
竹北市,建物,新竹縣竹北市六家五路二段181~210號,0.0,住,,,1061103,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980504,121.56,3,2,2,有,有,有,20000,165,坡道平面,0.0,0,租金含管理費,RPWNMLLLJIMFFBJ78CC
竹北市,建物,新竹縣竹北市成功六街31~60號,0.0,住,,,1061110,土地0建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941109,167.51,3,2,2,有,有,有,20000,119,坡道平面,0.0,0,租金含管理費,RPXNMLLLJIMFFBJ88CC
竹北市,建物,新竹縣竹北市光明九路61~90號,0.0,商,,,1061105,土地0建物1車位1,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0910419,118.39,3,2,2,有,有,無,16000,135,坡道平面,0.0,0,,RPOOMLLLJIMFFBJ08CC
竹北市,建物,新竹縣竹北市成功八路181~210號,0.0,住,,,1061109,土地0建物1車位1,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,154.22,3,2,2,有,有,有,28500,185,坡道平面,0.0,0,租金含管理費.稅金.二代健保,RPPOMLLLJIMFFBJ18CC
竹北市,建物,新竹縣竹北市自強七街1~30號,0.0,住,,,1061113,土地0建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0921231,117.06,3,2,2,有,有,有,20000,171,坡道平面,0.0,0,租金含管理費,RPQOMLLLJIMFFBJ28CC
竹北市,建物,新竹縣竹北市勝利六街1~30號,0.0,商,,,1061115,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931018,156.09,4,2,2,有,有,有,26000,167,坡道平面,0.0,0,租金含管理費,RPROMLLLJIMFFBJ38CC
竹北市,建物,新竹縣竹北市勝利十一路241~270號,0.0,商,,,1061115,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051101,110.49,2,2,1,有,有,有,18500,167,坡道平面,0.0,0,租金含管理費,RPSOMLLLJIMFFBJ48CC
竹北市,建物,新竹縣竹北市縣政二路571~600號,0.0,住,,,1061109,土地0建物1車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0940721,1793.68,19,1,5,有,無,有,250000,139,,0.0,0,本案包含地下一層租賃每年租金107.6.1~111.5.31租金25萬元111.6.1~114.5.31租金25萬7500元114.6.1~116.8.31租金27萬元,RPTOMLLLJIMFFBJ58CC
竹北市,建物,新竹縣竹北市嘉興三街1~30號,0.0,住,,,1061119,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060615,131.45,2,2,1,有,有,有,20000,152,坡道平面,0.0,0,租金含管理費,RPVOMLLLJIMFFBJ78CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市新和路1~30號,15.38,住,,,1061120,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040603,67.08,3,2,2,有,有,有,25000,373,坡道平面,32.12,0,,RPVNMLNLJIMFFBJ88CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市新和路1~30號,15.38,住,,,1061120,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040603,67.08,3,2,2,有,有,有,25000,373,坡道平面,20.53,0,,RPXNMLNLJIMFFBJ09CC
竹北市,建物,新竹縣竹北市嘉豐五路二段91~120號,0.0,住,,,1061103,土地0建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980626,293.05,3,2,3,有,有,有,47250,161,坡道平面,0.0,0,,RPVNMLSLJIMFFBJ76CC
竹北市,建物,新竹縣竹北市文興路151~180號,0.0,商,,,1061109,土地0建物1車位2,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000510,296.15999999999997,3,2,3,有,有,有,52500,177,坡道平面,0.0,0,,RPXNMLSLJIMFFBJ96CC
