編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOOMLLLJIMFFBJ08CC,縣福段,.00,都市：商
RPTOMLLLJIMFFBJ58CC,翰林段,.00,都市：住
RPXNMLLLJIMFFBJ88CC,公園段,.00,都市：住
RPWNMLLLJIMFFBJ78CC,隘興段,.00,都市：住
RPSOMLLLJIMFFBJ48CC,莊敬段,.00,都市：商
RPVOMLLLJIMFFBJ78CC,莊敬段,.00,都市：住
RPPOMLLLJIMFFBJ18CC,自強段,.00,都市：住
RPQOMLLLJIMFFBJ28CC,公園段,.00,都市：住
RPXNMLSLJIMFFBJ96CC,自強段,.00,都市：商
RPVNMLLLJIMFFBJ68CC,大學段,.00,都市：商
RPVNMLNLJIMFFBJ88CC,站後段,15.38,都市：住
RPXNMLNLJIMFFBJ09CC,站後段,15.38,都市：住
RPROMLLLJIMFFBJ38CC,大學段,.00,都市：商
RPVNMLSLJIMFFBJ76CC,家興段,.00,都市：住
