編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLMKKIMFFAM18CA,37,86.21,住家用,鋼筋混凝土加強磚造,69年12月25日,一層,一層
RPPNMLNLJIMFFAM28CA,49,73.04,住家用,鋼筋混凝土加強磚造,58年1月13日,二層,一層 二層
RPVNMLLLJIMFFAM68CA,24,77.93,住家用,鋼筋混凝土造,82年11月10日,十四層,九層
RPVNMLLLJIMFFAM68CA,24,13.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPVNMLLLJIMFFAM68CA,24,8.47,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPVNMLLLJIMFFAM68CA,24,.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPVNMLLLJIMFFAM68CA,24,7.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPRNMLRJKIMFFAM78CA,23,176.47,住家用,鋼筋混凝土造,84年1月6日,三層,一層 二層 三層 屋頂突出物
RPPNMLNLJIMFFBM38CA,41,80.80,住家用,加強磚造,65年11月29日,一層,一層
RPSNMLMLJIMFFBM58CA,24,88.65,住家用,鋼筋混凝土造,83年3月16日,九層,一層
RPSNMLMLJIMFFBM58CA,24,45.46,見其他登記事項,鋼筋混凝土造,83年3月16日,九層,
RPVNMLSLJIMFFCM96CA,45,41.88,住家用,磚造,62年2月1日,一層,一層
RPSNMLTLJIMFFCM76CA,22,116.85,住家用,鋼筋混凝土造,84年7月13日,三層,一層 二層 三層
RPPOMLTLJIMFFCM56CA,19,41.63,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,四層
RPPOMLTLJIMFFCM56CA,19,18.27,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,
RPPNMLOKKIMFFCM58CA,37,121.27,住家用,鋼筋混凝土加強磚造,69年4月8日,二層,一層 二層 騎樓
RPPNMLOLJIMFFDM68CA,37,92.23,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層 騎樓
RPWNMLKLKIMFFCM98CA,38,100.40,住商用,鋼筋混凝土造,68年11月28日,二層,一層 二層 騎樓
RPPNMLMLJIMFFAM28DA,27,304.43,農舍,見其他登記事項,80年2月13日,一層,一層
RPVNMLNLJIMFFBM09DA,39,41.94,住商用,鋼筋混凝土造,67年10月17日,三層,一層 二層 三層 騎樓
RPWNMLSKKIMFFDM17CA,21,185.65,住家用,鋼筋混凝土造,86年1月10日,四層,一層 二層 三層 四層
RPWNMLSKKIMFFDM17CA,21,72.25,見其他登記事項,鋼筋混凝土造,86年1月10日,一層,
RPPOMLRLJIMFFCM98CA,24,80.79,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,五層
RPPOMLRLJIMFFCM98CA,24,38.94,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPROMLRLJIMFFCM56CA,4,93.40,住家用,磚造,102年7月30日,二層,一層 二層
RPRNMLQJKIMFFCM88CA,9,136.75,住家用,鋼骨鋼筋混凝土造,97年7月31日,三層,一層 二層 三層
RPPNMLSLJIMFFBM88CA,1,21.26,商業用,鋼筋混凝土造,105年9月22日,四層,一層
RPPNMLSLJIMFFBM88CA,1,436.68,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層
RPPNMLSLJIMFFBM88CA,1,399.29,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層
RPPNMLSLJIMFFBM88CA,1,1192.22,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,二層
RPPNMLSLJIMFFBM88CA,1,1192.22,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,三層
RPPNMLSLJIMFFBM88CA,1,1192.22,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,四層
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPNMLSLJIMFFBM88CA,1,153.96,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,
RPPOMLKMJIMFFAM18CA,9,29.16,住家用,見其他登記事項,98年1月21日,三層,三層
RPPOMLKMJIMFFAM18CA,9,15.61,住家用,見其他登記事項,98年1月21日,四層,
SPPOMLKMJIMFFAM28CA,9,29.97,住家用,見其他登記事項,98年1月21日,三層,三層
SPPOMLKMJIMFFAM28CA,9,16.05,住家用,見其他登記事項,98年1月21日,四層,
RPUNMLSLJIMFFAM66CA,1,170.29,見其他登記事項,鋼筋混凝土造,105年8月1日,三層,一層 二層 三層 屋頂突出物
RPRNMLTLJIMFFAM09CA,35,88.54,住商用,鋼筋混凝土加強磚造,71年8月30日,二層,一層 二層 三層
RPSNMLRJKIMFFAM88CA,48,82.60,住家用,鋼筋混凝土加強磚造,59年3月18日,二層,一層 二層
RPSNMLRJKIMFFAM88CA,48,94.59,住家用,鋼筋混凝土加強磚造,59年3月18日,二層,一層 二層
RPQNMLRLJIMFFBM88CA,1,39.47,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPQNMLRLJIMFFBM88CA,1,47.46,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,九層
RPRNMLKLKIMFFAM28CA,,170.36,見其他登記事項,鋼筋混凝土造,106年8月29日,三層,一層 二層 三層 屋頂突出物
RPPOMLSLJIMFFCM09CA,37,90.00,住商用,加強磚造,69年12月26日,二層,一層 二層
RPTNMLLJKIMFFBM48CA,1,78.28,商業用,鋼筋混凝土造,105年12月29日,十二層,一層 見其他登記事項
RPTNMLLJKIMFFBM48CA,1,37.92,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPVNMLOLJIMFFCM56CA,15,148.50,見其他登記事項,見其他登記事項,91年12月17日,一層,一層
RPSNMLTLJIMFFBM66CA,28,210.65,住家用,加強磚造,78年5月31日,二層,一層 二層 地下層
RPRNMLLJKIMFFBM28CA,1,83.92,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,一層 見其他登記事項
RPRNMLLJKIMFFBM28CA,1,40.67,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPWNMLRLJIMFFCM96CA,22,101.12,見其他登記事項,鋼筋混凝土造,84年10月2日,七層,七層
RPWNMLRLJIMFFCM96CA,22,47.80,見其他登記事項,鋼筋混凝土造,84年10月2日,七層,
RPPNMLQJKIMFFDM78CA,41,90.72,住家用,鋼筋混凝土加強磚造,66年1月18日,二層,一層 二層
RPPNMLTLJIMFFDM56CA,24,94.79,見其他登記事項,鋼筋混凝土造,82年4月29日,五層,三層
RPPNMLTLJIMFFDM56CA,24,21.34,見其他登記事項,鋼筋混凝土造,82年4月29日,五層,
RPQNMLKMJIMFFEM68DA,21,153.44,住商用,鋼筋混凝土造,85年5月2日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLOJKIMFFEM88CA,36,103.64,住商用,鋼筋混凝土加強磚造,71年4月14日,四層,一層 二層 三層 四層 騎樓
RPWNMLOLJIMFFCM76DA,32,120.79,住家用,鋼筋混凝土造,74年7月13日,二層,一層 二層 騎樓
RPUNMLRLJIMFFAM66DA,25,162.29,住家用,鋼筋混凝土造,82年1月13日,三層,一層 二層 三層 騎樓
RPQOMLSLJIMFFCM56CA,37,166.39,住家用,鋼筋混凝土造,69年5月19日,三層,一層 二層 三層 騎樓
RPUNMLMLKIMFFCM98CA,24,81.78,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,六層
RPUNMLMLKIMFFCM98CA,24,39.59,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPVNMLRLJIMFFCM86CA,37,117.71,住家用,鋼筋混凝土造,69年12月24日,一層,一層 騎樓
RPSNMLLJKIMFFBM38CA,1,80.76,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,一層 見其他登記事項
RPSNMLLJKIMFFBM38CA,1,39.12,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPUNMLOJKIMFFAM78CA,1,203.70,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPRNMLKMJIMFFAM28CA,76,49.59,住家用,木造,30年12月1日,一層,一層
RPWOMLPKKIMFFAM66CA,,135.23,見其他登記事項,鋼筋混凝土造,106年5月19日,三層,一層 二層 三層
RPQOMLLJKIMFFBM28CA,24,81.04,住家用,鋼筋混凝土造,82年12月21日,十二層,八層
RPQOMLLJKIMFFBM28CA,24,12.76,見其他登記事項,鋼筋混凝土造,82年12月21日,十二層,
RPSNMLRLJIMFFBM09CA,24,171.64,農舍,鋼造,82年4月3日,一層,一層
RPOOMLRJKIMFFBM68CA,11,211.14,住商用,鋼筋混凝土造,96年2月5日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLOJKIMFFAM28CA,36,58.32,住商用,鋼筋混凝土加強磚造,70年10月1日,二層,一層 二層 騎樓
RPXNMLRJKIMFFCM96CA,30,137.16,住家用,鋼筋混凝土造,76年6月8日,二層,一層 二層 騎樓
RPSOMLTLJIMFFCM86CA,28,111.82,住家用,加強磚造,78年12月19日,二層,一層 二層 屋頂突出物 夾層
RPSOMLTLJIMFFCM86CA,28,111.82,住家用,加強磚造,78年12月19日,二層,一層 二層 屋頂突出物 夾層
RPSNMLPLKIMFFCM09CA,,267.07,見其他登記事項,鋼筋混凝土造,106年5月23日,四層,一層 二層 三層 四層 見其他登記事項
RPWOMLOJKIMFFCM66CA,33,244.29,住商用,鋼筋混凝土造,73年8月29日,二層,一層 二層 騎樓
RPRNMLKMJIMFFEM68CA,89,63.96,住家用,磚造,17年7月15日,一層,一層
RPPOMLOJKIMFFCM58CA,,229.35,見其他登記事項,鋼筋混凝土造,106年5月23日,四層,一層 二層 三層 四層
RPTNMLLJKIMFFCM58CA,9,83.88,見其他登記事項,鋼筋混凝土造,97年8月5日,三層,一層 二層 三層 屋頂突出物
RPQNMLOKKIMFFCM68CA,44,72.71,住家用,鋼筋混凝土加強磚造,62年7月31日,二層,一層 二層
RPVNMLNKKIMFFBM98CA,1,245.40,住家用,鋼筋混凝土造,106年4月7日,四層,一層 二層 三層 四層
RPPNMLMKKIMFFBM28CA,18,481.63,住商用,鋼筋混凝土造,88年8月26日,三層,一層 二層 三層
RPRNMLMJJHNFFBM28CA,,204.59,住家用,鋼筋混凝土造,106年8月28日,四層,一層 二層 三層 四層
RPPOMLLJKIMFFBM18CA,24,167.69,住家用,鋼筋混凝土造,82年9月14日,三層,一層 二層 三層 電梯樓梯間
RPSNMLQJKIMFFAM78CA,2,249.26,住家用,鋼筋混凝土造,104年12月10日,四層,一層 二層 三層 四層
RPTNMLNKKIMFFAM68CA,1,153.53,住家用,鋼筋混凝土造,106年3月2日,三層,一層 二層 三層
RPPNMLNJKIMFFAM18CA,24,147.48,住家用,鋼筋混凝土造,82年8月2日,三層,一層 二層 三層
RPSOMLLJKIMFFBM48CA,39,89.83,住家用,鋼筋混凝土造,68年4月19日,二層,一層 二層
RPVNMLSJKIMFFAM66CA,14,154.99,住家用,鋼筋混凝土造,92年12月9日,四層,一層 二層 三層 四層
RPOOMLLJKIMFFBM08CA,37,94.76,住家用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層
RPUNMLLJKIMFFBM58CA,1,91.61,商業用,鋼筋混凝土造,105年12月29日,十二層,一層 見其他登記事項
RPUNMLLJKIMFFBM58CA,1,110.40,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPSNMLKMJIMFFBM48CA,,204.14,住家用,鋼筋混凝土造,106年8月28日,四層,一層 二層 三層 四層
RPTNMLMLKIMFFAM68CA,3,.31,住家用,鋼筋混凝土造,103年10月23日,一層,
RPTNMLMLKIMFFAM68CA,3,178.21,見其他登記事項,鋼筋混凝土造,103年10月23日,四層,一層 二層 三層 四層
RPUOMLTLJIMFFCM07CA,44,44.48,住家用,鋼筋混凝土加強磚造,63年1月6日,三層,一層 二層 三層
RPUOMLTLJIMFFCM07CA,44,44.48,住家用,鋼筋混凝土加強磚造,63年1月6日,三層,一層 二層 三層
RPQNMLMLKIMFFEM78CA,1,304.22,見其他登記事項,見其他登記事項,105年7月30日,三層,一層 二層 三層 見其他登記事項
RPPNMLMLKIMFFEM68CA,1,304.22,見其他登記事項,見其他登記事項,105年7月30日,三層,一層 二層 三層 見其他登記事項
RPTNMLPLKIMFFCM56CA,42,67.38,住家用,鋼筋混凝土加強磚造,64年7月3日,二層,一層 二層
RPRNMLMLKIMFFEM88CA,1,304.22,見其他登記事項,見其他登記事項,105年7月30日,三層,一層 二層 三層 見其他登記事項
RPSNMLRLKIMFFCM76DA,21,148.88,見其他登記事項,鋼筋混凝土造,85年5月27日,三層,一層 二層 三層 騎樓
RPPNMLLJKIMFFDM28CA,44,120.96,住商用,鋼筋混凝土加強磚造,62年5月8日,三層,一層 二層 三層 騎樓
RPPNMLQJKIMFFEM88CA,43,41.42,住家用,磚造,63年7月10日,一層,一層
RPQNMLRJKIMFFDM98CA,2,187.68,見其他登記事項,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 屋頂突出物
RPVNMLRJKIMFFCM76CA,11,211.95,見其他登記事項,鋼筋混凝土造,95年12月19日,四層,一層 二層 三層 四層
