鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
芬園鄉,土地,新縣庄段91~120地號,689.22,,特定農業區,農牧用地,1061004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1720000,2496,,0.0,0,親友、員工或其他特殊關係間之交易。本土地不臨路。,RPRNMLOLJIMFFAN68CA
彰化市,土地,西門口段91~120地號,1248.59,其他,,,1061109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,4405,,0.0,0,(包含)公共設施保留地之交易。,RPWNMLLLJIMFFAN88CA
彰化市,土地,古夷段901~930地號,200.68,住,,,1061113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13960000,69563,,0.0,0,,RPWNMLMLJIMFFAN98CA
秀水鄉,土地,西興段1741~1770地號,230.0,住,,,1061020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15728200,68383,,0.0,0,,RPXNMLMLJIMFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市彰水路99巷31~60號,78.0,住,,,1061027,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790719,146.48,5,2,3,有,無,6200000,42327,,0.0,0,,RPTOMLMLJIMFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化市中山路三段301~330號,10.29,住,,,1061103,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870327,77.82,3,2,1,有,有,3250000,41763,,0.0,0,含增建或未登記建物。,RPQOMLSLJIMFFAN09CA
芬園鄉,房地(土地+建物),彰化縣芬園鄉進安路18巷1~30號,48.51,,山坡地保育區,丙種建築用地,1061110,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0700121,78.96,3,2,3,有,無,1230000,15578,,0.0,0,親友、員工或其他特殊關係間之交易。為尊重權利人隱私權主張，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士申報登錄 。本申報書內容經權利人確認無誤 。,RPSOMLOJKIMFFAN78CA
彰化市,土地,福山段751~780地號,1363.52,,山坡地保育區,丙種建築用地,1061023,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,14668,,0.0,0,,RPSOMLPJKIMFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化市金馬路三段646巷151~180號,1694.0,農,,,1061016,土地1建物1車位0,一層，二層,二層,農舍,農舍,鋼造,0840114,284.6,2,1,1,有,無,33000000,,,0.0,0,含增建或未登記建物。,RPXOMLQJKIMFFAN86CA
彰化市,房地(土地+建物),彰化縣彰化市互助一街31~60號,87.18,,山坡地保育區,特定目的事業用地,1061026,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700626,86.87,6,3,3,有,無,4800000,55255,,0.0,0,,RPVOMLPKKIMFFAN66CA
彰化市,土地,中華段541~570地號,47.18,其他,,,1061019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,733104,15538,,0.0,0,公共設施保留地之交易。,RPPOMLSKKIMFFAN98CA
彰化市,土地,南興段1~30地號,179.0,其他,,,1061019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1090110,6090,,0.0,0,公共設施保留地之交易。,RPROMLSKKIMFFAN56CA
伸港鄉,土地,福安段271~300地號,76.18,,一般農業區,農牧用地,1061006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,576000,7561,,0.0,0,特殊情形之交易。,RPTNMLRLJIMFFBN66CA
伸港鄉,土地,福安段271~300地號,77.15,,一般農業區,農牧用地,1061006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,583500,7563,,0.0,0,特殊情形之交易。,RPUNMLRLJIMFFBN76CA
和美鎮,土地,和厝段61~90地號,551.0,,特定農業區,農牧用地,1061102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5160000,9365,,0.0,0,,RPPNMLLJKIMFFBN18CA
和美鎮,房地(土地+建物),彰化縣和美鎮北明路115巷1~30號,145.08,,特定農業區,甲種建築用地,1061020,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060414,202.42,5,3,6,有,無,7500000,37052,,0.0,0,建商與地主合建案。含兩個車位。,RPTNMLOKKIMFFBN98CA
和美鎮,房地(土地+建物),彰化縣和美鎮北明路115巷1~30號,129.04,,特定農業區,甲種建築用地,1061020,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060414,186.17,4,3,4,有,無,6900000,37063,,0.0,0,建商與地主合建案。附贈廚具一組。含一個車位。,RPVNMLOKKIMFFBN56CA
鹿港鎮,土地,鹿工段31~60地號,42164.44,,工業區,丁種建築用地,1061025,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,441664367,10475,,0.0,0,,RPOOMLOLJIMFFCN68CA
鹿港鎮,土地,鹿洋段1441~1470地號,452.9,,特定農業區,農牧用地,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160000,2561,,0.0,0,備註：增值稅由承買人負擔金額129777元。,RPPNMLRLJIMFFCN98CA
鹿港鎮,土地,文開段451~480地號,89.8,商,,,1061110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,55679,,0.0,0,備註：1.含未辦保存建物乙棟一併移轉。2.增值稅金額285092元由承買人負擔。,RPQNMLNLJIMFFCN68CA
鹿港鎮,土地,鹿工段31~60地號,4719.2,,工業區,丁種建築用地,1061025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49414743,10471,,0.0,0,,RPWNMLOLJIMFFCN76CA
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮文化街1~30號,21.72,住,,,1061106,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820522,127.24,3,2,2,有,有,4300000,33794,坡道平面,0.0,0,,RPTNMLKMJIMFFCN78CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂厝巷61~90號,105.56,住,,,1061101,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060517,183.27,4,3,3,有,無,8960000,48890,,0.0,0,,RPSNMLKKKIMFFCN58CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂厝巷61~90號,104.21,住,,,1061101,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060517,183.09,4,3,3,有,無,8600000,46971,,0.0,0,,RPVNMLKKKIMFFCN88CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂厝巷61~90號,123.03,住,,,1061101,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060517,186.61,4,3,3,有,無,9390000,50319,,0.0,0,,RPWOMLKKKIMFFCN09CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮安順街1~30號,107.0,住,,,1061025,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040519,289.6,6,2,4,有,無,16000000,55249,,0.0,0,,RPTNMLPKKIMFFCN56CA
員林市,土地,員林段151~180地號,77.0,住,,,1061016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,41558,,0.0,0,土地為?地，道路狹小、無建築線，出售給鄰地。,RPPNMLMLJIMFFDN58CA
員林市,房地(土地+建物),彰化縣員林市南平四街1~30號,95.25,住,,,1061023,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051004,296.69,4,2,5,有,無,23000000,77522,,0.0,0,,RPTNMLMLJIMFFDN98CA
永靖鄉,土地,同安段691~720地號,1350.45,,特定農業區,農牧用地,1061009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3360000,2488,,0.0,0,,RPTNMLNLJIMFFDN09CA
永靖鄉,土地,永美段421~450地號,1963.0,,特定農業區,農牧用地,1060907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14600000,7438,,0.0,0,,RPPNMLOLJIMFFDN78CA
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段61~90號,67.25,商,,,1061017,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0650108,111.3,3,1,2,有,無,5200000,46721,,0.0,0,,RPSNMLOLJIMFFDN09CA
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段61~90號,62.28,商,,,1061017,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650108,112.18,3,1,2,有,無,4700000,41897,,0.0,0,,RPTNMLOLJIMFFDN56CA
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉山腳路31~60號,44.2,,鄉村區,乙種建築用地,1061030,土地4建物2車位0,二層，機械房,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970403,199.47,8,0,8,有,有,6200000,31082,其他,0.0,0,,RPRNMLRLJIMFFDN66CA
大村鄉,土地,犁頭厝段361~390地號,1277.66,,山坡地保育區,丙種建築用地,1061030,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18990000,14863,,0.0,0,,RPPNMLSLJIMFFDN56CA
員林市,房地(土地+建物),彰化縣員林市萬興街47巷1~30號,116.94,住,,,1061018,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060301,180.81,4,3,3,有,無,13100000,72452,,0.0,0,,RPWNMLTLJIMFFDN37CA
員林市,土地,三義段631~660地號,85.94,住,,,1060819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6230000,72492,,0.0,0,,RPXNMLTLJIMFFDN47CA
員林市,房地(土地+建物),彰化縣員林市萬興街31~60號,127.22,住,,,1061018,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060301,307.53,5,3,6,有,無,22000000,71538,,0.0,0,含增建部份。,RPOOMLTLJIMFFDN66CA
員林市,房地(土地+建物),彰化縣員林市員集路二段244巷60弄91~120號,80.17,,鄉村區,乙種建築用地,1061024,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0961101,148.18,4,3,3,有,無,5550000,37454,,0.0,0,,RPPNMLNJKIMFFDN58CA
員林市,房地(土地+建物),彰化縣員林市成功東路191巷61~90號,115.0,住,,,1061025,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740810,164.99,5,2,3,有,無,10500000,63640,,0.0,0,,RPQNMLNJKIMFFDN68CA
大村鄉,土地,鎮安段1111~1140地號,1858.8,,特定農業區,農牧用地,1061013,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6400000,3443,,0.0,0,,RPPOMLOJKIMFFDN78CA
