編號,車位類別,車位價格,車位面積平方公尺
RPQPMLSLJIMFFAO66CA,坡道平面,1250000,28.10
RPXNMLPLJIMFFAO86CA,坡道平面,900000,25.00
RPRPMLMLJIMFFAO78CA,坡道平面,0,28.81
RPUOMLOLJIMFFAO56CA,坡道平面,0,
RPUOMLOLJIMFFAO56CA,坡道平面,0,
RPSPMLSLJIMFFAO86CA,坡道平面,1100000,33.07
RPSPMLSLJIMFFAO86CA,坡道平面,1100000,33.07
RPROMLRLJIMFFAO56CA,坡道平面,0,
RPWNMLPLJIMFFAO76CA,坡道平面,0,25.00
RPWNMLPLJIMFFAO76CA,坡道平面,0,25.00
RPTPMLSLJIMFFAO96CA,坡道平面,1100000,33.07
RPTPMLSLJIMFFAO96CA,坡道平面,1100000,33.07
RPUPMLSLJIMFFAO07CA,坡道平面,0,25.00
RPUPMLSLJIMFFAO07CA,坡道平面,0,25.00
RPXNMLMKKIMFFAO56CA,升降機械,0,11.00
RPXOMLRLJIMFFAO17CA,坡道平面,0,
RPXNMLTJKIMFFAO17CA,坡道平面,0,33.07
RPOOMLTJKIMFFAO98CA,坡道平面,0,
RPTOMLRLJIMFFAO86DA,坡道平面,1150000,31.52
RPTOMLRLJIMFFAO86DA,坡道平面,1150000,31.52
RPVQMLTKKIMFFAO37CA,升降機械,1000000,9.19
RPUPMLSKKIMFFAO07CA,升降機械,1000000,9.19
RPQPMLNKKIMFFAO78CA,坡道平面,0,27.17
RPQPMLNKKIMFFAO78CA,坡道平面,0,31.49
RPXPMLPJKIMFFAO96CA,坡道平面,0,
RPOPMLLLKIMFFAO48CA,坡道機械,800000,7.00
RPUNMLOJKIMFFAO98CA,升降機械,0,
RPPOMLOLJIMFFAO68CA,坡道平面,0,
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPVNMLOLJIMFFAO56CA,坡道平面,1300000,32.90
RPXNMLOLJIMFFAO76CA,坡道平面,1300000,32.90
RPXNMLOLJIMFFAO76CA,坡道平面,1300000,32.90
RPXNMLOLJIMFFAO76CA,坡道平面,1300000,32.90
RPXNMLOLJIMFFAO76CA,坡道平面,1300000,32.90
RPOOMLOLJIMFFAO58CA,坡道平面,1200000,32.89
RPOOMLOLJIMFFAO58CA,坡道平面,1200000,32.89
RPOOMLOLJIMFFAO58CA,坡道平面,1200000,32.89
RPSOMLOLJIMFFAO98CA,坡道平面,1250000,29.76
RPTOMLOLJIMFFAO09CA,坡道平面,1500000,29.76
RPVNMLLJKIMFFAO78CA,坡道平面,0,33.78
RPOOMLLJKIMFFAO18CA,坡道平面,0,
RPSOMLKMJIMFFAO68CA,坡道平面,1300000,
RPSOMLKMJIMFFAO68CA,坡道平面,1300000,
RPRNMLKKKIMFFAO38CA,坡道平面,0,
RPRNMLKKKIMFFAO38CA,坡道平面,0,
RPTNMLPJKIMFFAO98CA,坡道平面,0,
RPTNMLPJKIMFFAO98CA,坡道平面,0,
RPTPMLSJKIMFFAO86CA,一樓平面,680000,
RPXNMLSKKIMFFAO17CA,坡道平面,0,
RPTNMLMKKIMFFAO78CA,一樓平面,1000000,
RPSOMLSJKIMFFAO66CA,坡道平面,0,
RPRNMLQJKIMFFAO88CA,坡道平面,0,33.71
RPRNMLQJKIMFFAO88CA,坡道平面,0,33.71
RPSNMLQJKIMFFAO98CA,坡道平面,0,31.52
RPSNMLQJKIMFFAO98CA,坡道平面,0,31.52
