╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
д╗╕}╢m,дgжa,┤фз└╝dмq┤фм№дpмq301~330жa╕╣,1524.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061108,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1045000,686,,0.0,0,,RPTNMLOLJIMFFBQ66CA
╕qж╦╢m,дgжa,╖╦мwмq╖╦мwдpмq361~390жa╕╣,91.18,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061113,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,3290,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLOLJIMFFBQ86CA
д╗╕}╢m,дgжa,│╜╝dмq211~240жa╕╣,498.98,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061031,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,80000,160,,0.0,0,зtл╪кле╝лOжs╡n░O┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбCбC,RPRNMLNLJIMFFBQ98CA
д╗╕}╢m,дgжa,д╗дцз└мqд╗дцдpмq781~810жa╕╣,1249.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061110,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,986710,790,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLNLJIMFFBQ56CA
кFе█╢m,дgжa,о▀дl▒[мqкF▒[дpмq1441~1470жa╕╣,175.33,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,550000,3137,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLNKKIMFFBQ56CA
╖╦дf╢m,дgжa,дW▒[мq151~180жa╕╣,1789.5,,пSйw╣A╖~░╧,╣Aкке╬жa,1061102,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2147400,1200,,0.0,0,,RPUNMLOLJIMFFCQ86CA
╖╦дf╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эе╗нэз°14╛Fнэдl╕Ї1~30╕╣,66.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061027,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0730611,98.47,4,2,2,ж│,╡L,928000,9424,,0.0,0,,RPVNMLOLJIMFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┬∙║╓з°12╛F┬∙║╓61~90╕╣,85.56,жэ,,,1061106,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0930130,192.67,8,1,9,ж│,╡L,5090000,26418,,0.0,0,,RPQNMLPLJIMFFCQ56CA
╖s┤ф╢m,дgжa,е├╕Sмq451~480жa╕╣,42.22,жэ,,,1061109,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,467468,11072,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPXNMLLLJIMFFCQ86CA
е┴╢п╢m,дgжa,┬╫жммq1021~1050жa╕╣,174.62,,пSйw╣A╖~░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,2863,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLMLJIMFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкў┐│з°┤fжw╡є48л╤1~30╕╣,101.56,жэ,,,1061001,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0701217,112.31,3,2,3,ж│,╡L,3580000,31876,,0.0,0,,RPPOMLNKKIMFFCQ98CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOеллn╖sи╜е_┤ф╕ЇдGмq134л╤31~60╕╣,76.04,жэ,,,1061028,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0900222,141.73,4,1,3,ж│,╡L,4800000,33867,,0.0,0,,RPUNMLMLJIMFFDQ76CA
д╙лOел,дgжa,кF╖sмq781~810жa╕╣,84.68,жэ,,,1061016,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1000000,11809,,0.0,0,,RPVNMLMLJIMFFDQ86CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mмh╢mз°11╛FмhдlкL301~330╕╣,63.94,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060801,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0671230,91.64,3,2,2,ж│,╡L,2200000,24007,,0.0,0,,RPWNMLTKKIMFFDQ67CA
▒Ўдs╢m,дgжa,┬∙╖╦мq121~150жa╕╣,1023.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1061102,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,196,,0.0,0,ж│жXи╓и╧е╬дзецйЎбC,RPVNMLMLJIMFFEQ96CA
▒Ўдs╢m,дgжa,дjйWмq151~180жa╕╣,4.67,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061025,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,225000,48180,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPWNMLMLJIMFFEQ07CA
▒Ўдs╢m,дgжa,└s▓┤кLмq421~450жa╕╣,1741.0,,дsйYжaлOи|░╧,кL╖~е╬жa,1061106,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,280000,161,,0.0,0,,RPPNMLPLJIMFFEQ66CA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°╞W╛Ї211~240╕╣,80.22,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061110,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060627,198.03,4,2,5,ж│,╡L,8500000,42923,,0.0,0,,RPTNMLSJKIMFFEQ27CA
│└пє╢m,дgжa,мIнэ╝dмqмIоaдpмq451~480жa╕╣,2653.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061111,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3636000,1371,,0.0,0,,RPPNMLMLJIMFFDQ98DA
ж╦▒T╢m,дgжa,┬╨Рkкўмq931~960жa╕╣,4150.74,,дsйYжaлOи|░╧,╣Aкке╬жa,1061205,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,800000,193,,0.0,0,,RPUNMLLKKIMFFEQ86DA
дjкL┬э,дgжa,енкLмq1~30жa╕╣,77.58,░╙,,,1061108,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3059755,39440,,0.0,0,дT╡е┐╦╢R╜ц,RPPNMLOLJIMFFCQ56EA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mддйMз°к└╖╛31~60╕╣,181.39,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061028,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060803,228.76,4,2,5,ж│,╡L,7000000,30600,,0.0,0,,RPXNMLKMJIMFFCQ07EA
