鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路一段119巷1~30號,35.97,住,,,1061101,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751001,179.02999999999997,4,2,2,有,有,46000000,256955,坡道平面,0.0,0,,RPPNMLOJKIMFFAA07CA
文山區,車位,臺北市文山區中崙路25巷1~30號,0.04,住,,,1061121,土地0建物0車位1,一層,七層,其他,見其他登記事項,鋼筋混凝土造,0990812,18.4,0,0,0,有,有,500000,,升降機械,18.39,500000,親友、員工或其他特殊關係間之交易。,RPSNMLOJKIMFFAA37CA
文山區,車位,臺北市文山區景華街121~150號,4.48,住,,,1061103,土地0建物0車位1,地下三層,十層,其他,停車空間,鋼骨鋼筋混凝土造,0910821,52.22,0,0,0,有,有,2450000,,坡道平面,0.0,2450000,,RPUNMLOJKIMFFAA57CA
文山區,房地(土地+建物),臺北市文山區景福街133巷1~30號,27.8,住,,,1061028,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700610,97.67,3,2,1,有,無,13200000,135149,,0.0,0,,RPXNMLPJKIMFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,38.92,住,,,1061116,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,315.70000000000005,4,2,2,有,無,63200000,224309,坡道平面,41.97,1800000,(1)新屋委由物業公司管理(2)車位總價180萬土地款1116000房屋款684000,RPPNMLQJKIMFFAA27CA
文山區,房地(土地+建物),臺北市文山區萬盛街61~90號,13.2,住,,,1061115,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050816,79.91,1,2,1,有,有,16690000,208860,,0.0,0,,RPWNMLQJKIMFFAA97CA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段97巷1~30號,28.0,住,,,1061102,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600906,70.09,3,2,2,有,無,14600000,208304,,0.0,0,含增建或未登記建物。,RPWOMLQJKIMFFAA08CA
文山區,車位,臺北市文山區興隆路四段165巷1~30號,4.67,住,,,1061123,土地0建物0車位1,地下二層,七層,其他,見使用執照,鋼筋混凝土造,0890211,38.37,0,0,0,有,無,1500000,,坡道平面,0.0,1500000,,RPPNMLPJKIMFFAA17CA
中正區,房地(土地+建物)+車位,臺北市中正區中華路二段81巷31~60號,34.94,住,,,1061114,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050629,178.27,3,2,2,有,有,33800000,237508,坡道平面,44.38,2000000,車位總價200萬(土地款120萬房屋款80萬),RPSNMLOKKIMFFAA47CA
文山區,房地(土地+建物),臺北市文山區汀州路四段1~30號,24.91,商,,,1061121,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,88.21,3,2,1,有,無,9680000,109738,,0.0,0,,RPRNMLPKKIMFFAA47CA
