編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLPJKIMFFAA97CA,36,97.67,住家用,鋼筋混凝土造,70年6月10日,五層,三層
RPPNMLPJKIMFFAA17CA,18,38.37,見使用執照,鋼筋混凝土造,89年2月11日,七層,地下二層
RPWOMLQJKIMFFAA08CA,46,70.09,住家用,鋼筋混凝土造,60年9月6日,四層,一層
RPWNMLQJKIMFFAA97CA,1,49.79,見其他登記事項,鋼筋混凝土造,105年8月16日,八層,三層
RPWNMLQJKIMFFAA97CA,1,7.83,見其他登記事項,鋼筋混凝土造,105年8月16日,八層,
RPWNMLQJKIMFFAA97CA,1,22.29,見其他登記事項,鋼筋混凝土造,105年8月16日,八層,
RPSNMLOJKIMFFAA37CA,7,.38,見其他登記事項,鋼筋混凝土造,99年8月12日,七層,一層
RPSNMLOJKIMFFAA37CA,7,6.68,見其他登記事項,鋼筋混凝土造,99年8月12日,七層,
RPSNMLOJKIMFFAA37CA,7,11.33,見其他登記事項,鋼筋混凝土造,99年8月12日,七層,
RPUNMLOJKIMFFAA57CA,15,14.16,停車空間,鋼骨鋼筋混凝土造,91年8月21日,十層,地下三層
RPUNMLOJKIMFFAA57CA,15,.50,共有部分,鋼骨鋼筋混凝土造,91年8月21日,十層,
RPUNMLOJKIMFFAA57CA,15,37.56,共有部分,鋼骨鋼筋混凝土造,91年8月21日,十層,
RPUOMLLJKIMFFBA47CA,46,57.15,住家用,鋼筋混凝土造,60年6月30日,四層,四層
RPRNMLPKKIMFFAA47CA,,88.21,住家用,鋼筋混凝土造,,五層,四層
RPPNMLQJKIMFFAA27CA,1,184.49,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,十六層
RPPNMLQJKIMFFAA27CA,1,131.21,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,十七層,
RPSOMLOJKIMFFBA57CA,1,44.04,見其他登記事項,鋼筋混凝土造,105年6月15日,十三層,
RPSOMLOJKIMFFBA57CA,1,45.23,住家用,鋼筋混凝土造,105年6月15日,十三層,十二層
RPSNMLRLKIMFFAA87CA,,112.95,住家用,鋼筋混凝土造,,五層,五層
RPRNMLMKKIMFFBA27CA,40,92.14,住家用,鋼筋混凝土造,66年12月22日,五層,五層
RPVNMLTLKIMFFAA38CA,23,109.52,住家用,鋼筋混凝土造,83年8月9日,五層,一層
RPVNMLTLKIMFFAA38CA,23,8.66,見使用執照,鋼筋混凝土造,83年8月9日,五層,
RPVNMLTLKIMFFAA38CA,23,34.05,見使用執照,鋼筋混凝土造,83年8月9日,五層,
SPSOMLMKKIMFFBA57CA,37,118.04,住家用,鋼筋混凝土造,69年8月22日,七層,七層
SPSOMLMKKIMFFBA57CA,37,32.58,共有部分,鋼筋混凝土造,69年8月22日,七層,
SPSOMLMKKIMFFBA57CA,37,1.93,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPSNMLOKKIMFFAA47CA,1,86.90,見其他登記事項,鋼筋混凝土造,105年6月29日,七層,七層
RPSNMLOKKIMFFAA47CA,1,91.37,見其他登記事項,鋼筋混凝土造,105年6月29日,七層,
RPPOMLRJKIMFFBA57CA,34,92.91,住家用,鋼筋混凝土造,72年8月26日,五層,四層
RPTOMLRJKIMFFBA97CA,39,77.79,住家用,鋼筋混凝土造,68年1月19日,五層,一層
RPWOMLMKKIMFFBA87CA,25,21.21,商業用,鋼筋混凝土造,81年12月2日,九層,五層
RPWOMLMKKIMFFBA87CA,25,9.39,共有部分,鋼筋混凝土造,81年12月2日,九層,
RPPNMLOJKIMFFAA07CA,31,15.11,共有部分,鋼筋混凝土造,75年10月1日,六層,
RPPNMLOJKIMFFAA07CA,31,128.67,住家用,鋼筋混凝土造,75年10月1日,六層,一層
RPPNMLOJKIMFFAA07CA,31,35.25,見使用執照,鋼筋混凝土造,75年10月1日,六層,
RPQNMLKLKIMFFAA96CA,35,90.86,住家用,鋼筋混凝土造,71年10月16日,五層,五層
RPSOMLMKKIMFFBA47CA,37,42.38,住家用,鋼筋混凝土造,69年8月22日,七層,七層
RPSOMLMKKIMFFBA47CA,37,11.71,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPSOMLMKKIMFFBA47CA,37,.68,共有部分,鋼筋混凝土造,69年8月22日,七層,
TPQOMLNJJHNFFBA37CA,1,45.41,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
TPQOMLNJJHNFFBA37CA,1,17.20,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
TPQOMLNJJHNFFBA37CA,1,5.63,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
SPQOMLNJJHNFFBA27CA,1,76.76,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
SPQOMLNJJHNFFBA27CA,1,29.09,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
SPQOMLNJJHNFFBA27CA,1,9.52,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
XPQOMLNJJHNFFBA77CA,1,41.70,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
XPQOMLNJJHNFFBA77CA,1,15.81,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
XPQOMLNJJHNFFBA77CA,1,5.18,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
WPQOMLNJJHNFFBA67CA,1,77.87,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
WPQOMLNJJHNFFBA67CA,1,29.51,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
WPQOMLNJJHNFFBA67CA,1,9.66,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
RPQOMLNJJHNFFBA17CA,1,194.34,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,一層 騎樓
RPQOMLNJJHNFFBA17CA,1,73.90,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
RPQOMLNJJHNFFBA17CA,1,24.12,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
UQQOMLNJJHNFFBA57CA,1,57.87,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,九層
UQQOMLNJJHNFFBA57CA,1,21.92,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
UQQOMLNJJHNFFBA57CA,1,7.18,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
VPQOMLNJJHNFFBA57CA,1,45.42,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
VPQOMLNJJHNFFBA57CA,1,17.20,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
VPQOMLNJJHNFFBA57CA,1,5.63,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
QQQOMLNJJHNFFBA17CA,1,52.92,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
QQQOMLNJJHNFFBA17CA,1,20.07,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
QQQOMLNJJHNFFBA17CA,1,6.56,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
RQQOMLNJJHNFFBA27CA,1,77.22,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,九層
RQQOMLNJJHNFFBA27CA,1,29.26,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
UPQOMLNJJHNFFBA47CA,1,57.87,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
RQQOMLNJJHNFFBA27CA,1,9.58,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
UPQOMLNJJHNFFBA47CA,1,21.92,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
UPQOMLNJJHNFFBA47CA,1,7.18,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
ZPQOMLNJJHNFFBA97CA,1,67.55,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
ZPQOMLNJJHNFFBA97CA,1,8.38,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
ZPQOMLNJJHNFFBA97CA,1,25.59,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
YPQOMLNJJHNFFBA87CA,1,41.92,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,七層
YPQOMLNJJHNFFBA87CA,1,5.20,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
YPQOMLNJJHNFFBA87CA,1,15.89,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
TQQOMLNJJHNFFBA47CA,1,53.27,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,九層
TQQOMLNJJHNFFBA47CA,1,20.19,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
TQQOMLNJJHNFFBA47CA,1,6.61,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
SQQOMLNJJHNFFBA37CA,1,45.41,住家用,鋼骨鋼筋混凝土造,106年4月18日,二十二層,九層
SQQOMLNJJHNFFBA37CA,1,17.20,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
SQQOMLNJJHNFFBA37CA,1,5.63,見其他登記事項,鋼骨鋼筋混凝土造,106年4月18日,二十二層,
