¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¬ü§ø¸ô¤@¬q31~60¸¹,3.45,°Ó,,,1061116,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤Q¥|¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850829,40.870000000000005,1,1,1,¦³,¦³,2800000,68510,,0.0,0,,RPROMLOJKIMFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï´_¿³¸ô¤G¬q31~60¸¹,2.94,¦í,,,1061120,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830526,46.76,1,0,1,¦³,¦³,1800000,38494,,0.0,0,,RPPNMLPJKIMFFAB27CA
¦è°Ï,¤g¦a,³Â¶éÀY¬q1~30¦a¸¹,152.49,¨ä¥L,,,1061114,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7911280,51881,,0.0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPWNMLPJKIMFFAB97CA
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¤½¶é¸ô1~30¸¹,2.51,°Ó,,,1061115,¤g¦a3«Øª«1¨®¦ì0,¤@¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0761216,36.06,0,0,0,µL,¦³,1500000,41597,,0.0,0,,RPQPMLPJKIMFFAB57CA
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¤¤¤s¸ô17¤§1~30¸¹,14.48,°Ó,,,1061028,¤g¦a1«Øª«2¨®¦ì0,¥|¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0661228,96.42,2,2,2,¦³,µL,3150000,32670,,0.0,0,,RPPOMLQJKIMFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô1111~1140¸¹,10.32,¦í,,,1061110,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820513,131.8,3,2,2,¦³,¦³,5800000,44006,¤É­°¥­­±,0.0,0,,RPQPMLQJKIMFFAB67CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°ÏªF«nµó91~120¸¹,6.75,¦í,,,1061113,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤C¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850703,37.42,1,1,1,¦³,µL,1380000,36879,,0.0,0,,RPSPMLQJKIMFFAB87CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¬ü§ø¸ô¤@¬q372«Ñ1~30¸¹,107.0,¦í,,,1061024,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0571030,84.69,2,2,2,¦³,µL,10300000,121620,,0.0,0,,RPOQMLQJKIMFFAB57CA
ªF°Ï,¤g¦a,©|ªZ¬q1021~1050¦a¸¹,47.0,¦í,,,1061106,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4580000,97447,,0.0,0,,RPSNMLRJKIMFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°ÏºÖ¥Ð¤Gµó1~30¸¹,77.0,¦í,,,1061113,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡A¥|¼h,¥|¼h,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0960928,168.6,5,3,3,¦³,µL,17880000,106050,,0.0,0,,RPXNMLRJKIMFFAB28CA
