編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLLJKIMFFJB08CB,育賢段,28.83,都市：住
RPQNMLLJKIMFFJB97CB,育賢段,28.83,都市：住
RPPOMLLJKIMFFJB97CB,育賢段,28.13,都市：住
RPVNMLLJKIMFFJB48CB,育賢段,28.13,都市：住
RPUNMLLJKIMFFJB38CB,育賢段,28.83,都市：住
RPPNMLLJKIMFFJB87CB,育賢段,28.13,都市：住
RPOOMLLJKIMFFJB87CB,育賢段,28.13,都市：住
RPXNMLLJKIMFFJB68CB,育賢段,28.13,都市：住
RPSNMLLJKIMFFJB18CB,育賢段,28.13,都市：住
RPQOMLLJKIMFFJB08CB,育賢段,28.13,都市：住
RPROMLLJKIMFFJB18CB,育賢段,28.13,都市：住
RPSOMLLJKIMFFJB28CB,育賢段,28.83,都市：住
RPOPMLLJKIMFFJB97CB,育賢段,28.13,都市：住
RPVOMLLJKIMFFJB58CB,育賢段,28.13,都市：住
RPWOMLLJKIMFFJB68CB,育賢段,28.83,都市：住
RPXOMLLJKIMFFJB78CB,育賢段,28.83,都市：住
RPQPMLLJKIMFFJB18CB,育賢段,28.13,都市：住
RPSPMLLJKIMFFJB38CB,育賢段,28.13,都市：住
RPRPMLLJKIMFFJB28CB,育賢段,28.83,都市：住
RPOQMLLJKIMFFJB08CB,育賢段,28.13,都市：住
RPUPMLLJKIMFFJB58CB,育賢段,28.83,都市：住
RPSNMLOJKIMFFBB67CB,景美段,27.31,都市：商
RPWOMLPJKIMFFJB09CB,育賢段,28.13,都市：住
RPXOMLPJKIMFFJB56CB,育賢段,28.13,都市：住
RPOPMLPJKIMFFJB38CB,育賢段,28.83,都市：住
RPTNMLQJKIMFFJB78CB,育賢段,23.91,都市：住
RPQPMLPJKIMFFJB58CB,育賢段,28.83,都市：住
RPSNMLQJKIMFFJB68CB,育賢段,23.91,都市：住
RPSPMLPJKIMFFJB78CB,育賢段,28.83,都市：住
RPUNMLQJKIMFFJB88CB,育賢段,23.91,都市：住
RPWNMLQJKIMFFJB09CB,育賢段,24.61,都市：住
RPVNMLQJKIMFFJB98CB,育賢段,23.91,都市：住
RPSOMLQJKIMFFJB78CB,育賢段,23.91,都市：住
RPUOMLPJKIMFFJB88CB,育賢段,28.13,都市：住
RPTOMLQJKIMFFJB88CB,育賢段,23.91,都市：住
RPXOMLQJKIMFFJB66CB,育賢段,23.91,都市：住
RPTPMLQJKIMFFJB98CB,育賢段,22.50,都市：住
RPWOMLQJKIMFFJB56CB,育賢段,23.91,都市：住
RPPPMLQJKIMFFJB58CB,育賢段,22.50,都市：住
RPUPMLQJKIMFFJB09CB,育賢段,22.50,都市：住
RPVOMLQJKIMFFJB09CB,育賢段,23.91,都市：住
RPXQMLQJKIMFFJB86CB,育賢段,22.50,都市：住
RPTPMLQJKIMFFBB18CB,景美段,27.31,都市：商
RPORMLQJKIMFFJB68CB,育賢段,22.50,都市：住
RPOPMLQJKIMFFJB48CB,育賢段,22.50,都市：住
RPSPMLQJKIMFFBB08CB,景美段,27.31,都市：商
RPSQMLQJKIMFFBB18CB,景美段,27.31,都市：商
RPRPMLQJKIMFFBB97CB,景美段,27.31,都市：商
RPQPMLQJKIMFFBB87CB,景美段,27.31,都市：商
RPTQMLQJKIMFFBB28CB,景美段,27.31,都市：商
RPWOMLQJKIMFFBB38CB,景美段,27.31,都市：商
RPQVMLQJKIMFFBB48CB,景美段,27.31,都市：商
RPWQMLQJKIMFFBB58CB,景美段,27.31,都市：商
RPXVMLQJKIMFFBB56CB,景美段,27.31,都市：商
RPXUMLQJKIMFFBB09CB,景美段,27.31,都市：商
RPTVMLQJKIMFFBB78CB,景美段,27.31,都市：商
RPPQMLQJKIMFFBB87CB,景美段,27.31,都市：商
RPSWMLQJKIMFFBB78CB,景美段,20.14,都市：商
RPOWMLQJKIMFFBB38CB,景美段,27.31,都市：商
RPWWMLQJKIMFFBB56CB,景美段,20.14,都市：商
RPWUMLQJKIMFFBB98CB,景美段,27.31,都市：商
RPONNLQJKIMFFBB57CB,景美段,20.14,都市：商
RPTWMLQJKIMFFBB88CB,景美段,20.14,都市：商
RPUWMLQJKIMFFBB98CB,景美段,20.14,都市：商
RPXWMLQJKIMFFBB66CB,景美段,20.14,都市：商
RPPNNLQJKIMFFBB67CB,景美段,20.14,都市：商
RPPWMLQJKIMFFBB48CB,景美段,27.31,都市：商
RPTNNLQJKIMFFBB08CB,景美段,20.14,都市：商
RPQNMLRJKIMFFBB77CB,景美段,20.14,都市：商
RPRNNLQJKIMFFBB87CB,景美段,20.14,都市：商
RPPNMLRJKIMFFBB67CB,景美段,20.14,都市：商
RPRNMLRJKIMFFBB87CB,景美段,20.14,都市：商
RPTOMLRJKIMFFBB18CB,景美段,27.51,都市：商
RPSOMLRJKIMFFBB08CB,景美段,27.51,都市：商
RPSNMLRJKIMFFBB97CB,景美段,20.14,都市：商
RPSNNLQJKIMFFBB97CB,景美段,20.14,都市：商
